Compound.Name,Kovats (d-alkane),Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain
20200803_1535_blob_2_,1927.777778,Homosalate,942,942,1904,C16H22O3,262
20200803_1535_blob_13_,1901.388889,Homosalate,941,942,1904,C16H22O3,262
20200803_1535_blob_170_,2022.900763,"Benzothiazole, 2-phenyl-",932,941,,C13H9NS,211
20200803_1535_blob_560_,1788.607595,"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",931,938,1772,C15H22O2,234
20200803_1535_blob_6_,1987.5,Dibutyl phthalate,928,933,1965,C16H22O4,278
20200803_1535_blob_47_,2010.687023,"Homosalate, TMS derivative",924,927,1998,C19H30O3Si,334
20200803_1535_blob_654_,1455.367232,"Ethanone, 1,1'-(1,4-phenylene)bis-",923,925,1461,C10H10O2,162
20200803_1535_blob_936_,1475.706215,"Ethanone, 1,1'-(1,4-phenylene)bis-",921,924,1461,C10H10O2,162
20200803_1535_blob_958_,1248.78643,Benzothiazole,920,921,1229,C7H5NS,135
20200803_1535_blob_26_,1739.240506,"Benzoic acid, 2-ethylhexyl ester",918,919,1735,C15H22O2,234
20200803_1535_blob_16_,1956.944444,"Hexadecanoic acid, methyl ester",917,927,1926,C17H34O2,270
20200803_1535_blob_687_,1470.056497,"Quinoline, 2,4-dimethyl-",915,915,1454,C11H11N,157
20200803_1535_blob_7_,1837.5,2-Ethylhexyl salicylate,912,915,1811,C15H22O3,250
20200803_1535_blob_764_,1636.708861,2-(Methylmercapto)benzothiazole,907,917,1607,C8H7NS2,181
20200803_1535_blob_398_,1555.932203,"2-Butenedioic acid, dibutyl ester",904,912,,C12H20O4,228
20200803_1535_blob_657_,1751.898734,Methyl tetradecanoate,902,913,1725,C15H30O2,242
20200803_0949_blob_900_,1258.437509,"Benzoic Acid, TMS derivative",896,930,1249,C10H14O2Si,194
20200803_1535_blob_18_,1873.611111,"2-Pentadecanone, 6,10,14-trimethyl-",895,915,1844,C18H36O,268
20200803_1535_blob_106_fb,2077.862595,"Palmitic Acid, TMS derivative",895,900,2050,C19H40O2Si,328
20200803_1535_blob_418_,1990.277778,"1-Hexadecanol, TMS derivative",894,932,1958,C19H42OSi,314
