NIST_Name,My_Name,SSA_name,MDOM_name,Formula,NIST_match_factor_SSA,NIST_reverse_match_factor_SSA,NIST_match_factor_MDOM,NIST_reverse_match_factor_MDOM,vp_mmhg_25C,water_sol_mg_L ,Log_Kow,in_SSA,in_mdom,btz_colors
2(3H)-Benzothiazolone,2(3H)-Benzothiazolone,20200803_1535_blob_1431_,20200929_1128_blob_654,C7H5NOS,702,801,854,870,5.41E-06,2354,2.35,1,1,red4
Benzothiazole,Benzothiazole,20200803_1535_blob_958_,20200929_1319_blob_563,C7H5NS,920,921,900,900,0.0742,1684,2.17,1,1,red1
3-Methyl-3H-benzothiazol-2-one,3-Methyl-3H-benzothiazol-2-one,,20200929_1128_blob_255,C8H7NOS,,,920,923,0.000138,1319,1.98,,1,orangered1
4-Ethyl-5-methylthiazole,4-Ethyl-5-methylthiazole,,20200929_1128_blob_652,C6H9NS,,,668,695,0.593,591.9,2.58,,1,darkorange1
"2-Benzothiazolamine, N-ethyl-","2-Benzothiazolamine, N-ethyl-",20200803_1535_blob_961_,,C9H10N2S,702,751,,,0.000217,142.2,3.04,1,,orange2
2-(Methylmercapto)benzothiazole,2-(Methylmercapto)benzothiazole,20200803_1535_blob_764_,20200929_1128_blob_5,C8H7NS2,907,917,939,939,0.000164,66.61,3.41,1,1,gold1
"Benzothiazole, 2-butyl-",R-Benzothiazole 1,20200803_1535_blob_43_,20200929_1510_blob_694,C11H13NS,866,866,814,825,0.000232,12.8,4.19,1,1,yellow
"Benzothiazole, 2-butyl-",R-Benzothiazole 2,20200803_1535_blob_693_,,C11H13NS,844,872,,,0.000232,12.8,4.19,1,,greenyellow
"Benzothiazole, 2-butyl-",R-Benzothiazole 3,20200803_1535_blob_751_,,C11H13NS,738,789,,,0.000232,12.8,4.19,1,,green1
"Benzothiazole, 2-butyl-",R-Benzothiazole 4,20200803_1535_blob_876_,,C11H13NS,886,886,,,0.000232,12.8,4.19,1,,green4
"Benzothiazole, 2-butyl-",R-Benzothiazole 5,20200803_1535_blob_1016_,,C11H13NS,696,793,,,0.000232,12.8,4.19,1,,turquoise
"Benzothiazole, 2-butyl-",R-Benzothiazole 6,20200803_1535_blob_1217_,,C11H13NS,796,817,,,0.000232,12.8,4.19,1,,turquoise4
"Benzothiazole, 2-phenyl-","Benzothiazole, 2-phenyl- (1)",20200803_1535_blob_170_,,C13H9NS,932,941,,,5.38E-06,8.804,4.26,1,,deepskyblue3
"Benzothiazole, 2-phenyl-","Benzothiazole, 2-phenyl- (2)",,20200929_1128_blob_747,C13H9NS,,,847,866,5.38E-06,8.804,4.26,,1,dodgerblue3
2-o-Tolylbenzothiazole,2-o-Tolylbenzothiazole,20200803_0949_blob_766_,,C14H11NS,758,804,,,1.93E-06,4.81,4.48,1,,blue1
"1,3-Di(2-benzothiazolyl)-1,3-bis(mercaptomethyl)-urea",Mercapto methyl benzothiazolyl type,20200803_1535_blob_690_,,C17H14N4OS4,704,762,,,1.87E-14,0.05096,4.16,1,,blueviolet
3-Ethylbenzothiazolin-2-thione,3-Ethylbenzothiazolin-2-thione,20200803_1535_blob_677_,,C9H9NS2,751,836,,,,,,1,,deeppink3
"5,1-Benzothiazepine-2-one, 3-acetylamino-","5,1-Benzothiazepine-2-one, 3-acetylamino-",,20200929_1128_blob_926,C11H12N2O2S,,,582,583,,,,,1,hotpink1
