File_num,Category,Filter_num,Filter_punches,Bloom,SS_startdate,SS_enddate,Time_sampled_raw,time_sampled_rem,Time_sampled_hr,Time_sampled_number,T_O_D,Punch_num_sample_time_norm,Extracted_Chla,Bulk_HB,Bulk_HB_updated,Event_label,Event_lab_order,Submicron_Isotopes,Sub_iso_z
GCxGC_20200803_1001,Sample,UCB19_A_153,6,3,7/24/2019 7:11,7/24/2019 21:00,13:49,,13:49,0.58,Day,3.45,0.822938994,,4.40E+09,,,,
GCxGC_20200803_1151,Sample,UCB19_A_156,8,3,7/24/2019 21:00,7/25/2019 7:00,10:00,,10:00,0.42,Night,3.33,,,,,,,
GCxGC_20200803_1342,Sample,UCB19_A_157,6,3,7/25/2019 7:00,7/25/2019 21:00,14:00,,14:00,0.58,Day,3.5,0.873363829,,2.50E+09,,,,
GCxGC_20200803_1535,Sample,UCB19_A_158,8,3,7/25/2019 21:00,7/26/2019 7:00,10:00,,10:00,0.42,Night,3.33,,,,,,,
GCxGC_20200803_1728,Sample,UCB19_A_159,6,3,7/26/2019 7:00,7/26/2019 21:00,14:00,,14:00,0.58,Day,3.5,0.802081275,,1.10E+09,,,,
GCxGC_20200803_2259,Sample,UCB19_A_162,8,3,7/26/2019 21:00,7/27/2019 7:00,10:00,,10:00,0.42,Night,3.33,,,,,,,
GCxGC_20200804_0048,Sample,UCB19_A_163,6,3,7/27/2019 7:00,7/27/2019 21:00,14:00,,14:00,0.58,Day,3.5,0.63687488,,1.50E+09,,,,
GCxGC_20200804_0238,Sample,UCB19_A_164,8,3,7/27/2019 21:00,7/28/2019 7:00,10:00,,10:00,0.42,Night,3.33,,,,,,,
GCxGC_20200804_0427,Sample,UCB19_A_165,6,3,7/28/2019 7:00,7/28/2019 21:00,14:00,,14:00,0.58,Day,3.5,0.806984228,9.20E+05,1.80E+09,,,,
GCxGC_20200804_0616,Sample,UCB19_A_166,8,3,7/28/2019 21:00,7/29/2019 7:00,10:00,,10:00,0.42,Night,3.33,,,,,,,
GCxGC_20200804_0806,Sample,UCB19_A_167,6,3,7/29/2019 7:00,7/29/2019 21:00,14:00,1:43,12:17,0.51,Day,3.07,1.698340632,1.60E+06,4.20E+09,,,,
GCxGC_20200804_0955,Sample,UCB19_A_168,8,3,7/29/2019 21:00,7/30/2019 7:00,10:00,,10:00,0.42,Night,3.33,,,,,,,
GCxGC_20200804_1145,Sample,UCB19_A_169,6,3,7/30/2019 7:00,7/30/2019 21:00,14:00,,14:00,0.58,Day,3.5,3.063712629,9.44E+05,2.90E+09,,,-24.78,1.43718593
GCxGC_20200804_1348,Sample,UCB19_A_170,8,3,7/30/2019 21:00,7/31/2019 7:00,10:00,,10:00,0.42,Night,3.33,,,,,,,
GCxGC_20200804_1538,Sample,UCB19_A_171,6,3,7/31/2019 7:00,7/31/2019 21:00,14:00,,14:00,0.58,Day,3.5,11.79763581,5.29E+05,1.50E+09,,,-29.17,-0.768844221
GCxGC_20200804_1728,Sample,UCB19_A_172,8,3,7/31/2019 21:15,8/1/2019 7:00,9:45,,9:45,0.41,Night,3.25,,,,,,,
GCxGC_20200804_1918,Sample,UCB19_A_173,6,3,8/1/2019 7:00,8/1/2019 21:00,14:00,2:10,11:50,0.49,Day,2.96,21.75954166,1.16E+06,2.10E+09,,,,
GCxGC_20200804_2107,Sample,UCB19_A_174,8,3,8/1/2019 21:15,8/2/2019 7:00,9:45,,9:45,0.41,Night,3.25,,,,,,,
GCxGC_20200805_0234,Sample,UCB19_A_177,6,3,8/2/2019 7:00,8/2/2019 21:00,14:00,,14:00,0.58,Day,3.5,18.06253023,2.09E+06,7.60E+09,,,-28.4,-0.381909548
GCxGC_20200805_0423,Sample,UCB19_A_178,8,3,8/2/2019 21:00,8/3/2019 7:00,10:00,,10:00,0.42,Night,3.33,,,,,,,
GCxGC_20200805_0612,Sample,UCB19_A_179,6,3,8/3/2019 7:00,8/3/2019 21:00,14:00,,14:00,0.58,Day,3.5,9.178245166,2.19E+06,5.00E+09,Peak Chla,C,,
