Benzothiazole,,,,,mean norm,,,,,,,,,,,,,,,,,,,,,,,,,
Cal_Point,raw volume,dC10 acid,4-methoxybenzaldehyde,Pentaerythritol 13C,dC10 acid,4-methoxybenzaldehyde,Pentaerythritol 13C,mean_normnorm,vol_normnorm,,Compound,IS1,IS2,IS3,IS1mean,IS2mean,IS3mean,,,,,,,,,,,,,
0,,1,1,1,,,,,0,,Benzothiazole,dC10 acid,4-methoxybenzaldehyde,Pentaerythritol 13C,5347.619554,3792.164546,10883.90677,,,,,,,,,,,,,
2,455.7749084,1614.881221,39.36506809,61693.29382,0.301981322,0.010380633,5.668304141,1.993555365,228.6241538,,2methylmercaptobenzothiazole,dC10 acid,dC16,Pentaerythritol 13C,5347.619554,872.2114569,10883.90677,,,,,,,,,,,,,
4,,,,,0,0,0,0,#DIV/0!,,2Phenylbenzothiazole,dPyrene,dAnthraquinone,dC20,12910.1715,9689.810214,48178.98162,,,,,,,,,,,,,
10,954.0482785,809.7494832,98.63799742,15894.86077,0.151422418,0.026011001,1.460400305,0.545944575,1747.518562,,,,,,,,,,,,,,,,,,,,,
20,2351.931477,517.2526957,163.5736076,9874.60518,0.096725784,0.043134628,0.907266608,0.34904234,6738.241201,,,,,,,,,,,,,,,,,,,,,
40,5391.468486,299.4005149,239.3313433,7330.524615,0.055987624,0.063112067,0.673519607,0.264206433,20406.27257,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2methylmercaptobenzothiazole,,,,,mean norm,,,,,,,normnorm_vols,,,,,,raw volumes,,,,,,,rawnorm vols,,,,,
Cal_Point,raw volume,dC10 acid,dC16,Pentaerythritol 13C,dC10 acid,dC16,Pentaerythritol 13C,mean_normnorm,vol_normnorm,cal_pt_nt_btz,cal_pt_ng,benzothiazole,2-methylmercaptobtz,2-phenylbenzothiazole,,cal_pt_nt_btz,cal_pt_ng,benzothiazole,2-methylmercaptobtz,2-phenylbenzothiazole,,,,,cal_pt_nt_btz,cal_pt_ng,benzothiazole,2-methylmercaptobtz,2-phenylbenzothiazole,btz_4methoxynorm only
0,,1,1,1,,,,,0,0,0,0,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,
2,217.6896243,1614.881221,360.1999422,61693.29382,0.301981322,0.412973184,5.668304141,2.127752882,102.3096367,4,2,,,1985.712312,,4,2,455.7749084,217.6896243,268.3398594,,,,,4,2,0.021584496,0.010257351,0.060406325,
4,,,,,0,0,0,0,#DIV/0!,8,4,#DIV/0!,#DIV/0!,#DIV/0!,,8,4,,,,,,,,8,4,,,,
10,2569.118609,809.7494832,746.5942129,15894.86077,0.151422418,0.855978452,1.460400305,0.822600392,3123.167256,20,10,1747.518562,3123.167256,24537.18604,,20,10,954.0482785,2569.118609,4361.545007,,,,,20,10,0.17033283,0.441651798,0.788046864,9.672218653
20,6891.867931,517.2526957,640.7336315,9874.60518,0.096725784,0.734608135,0.907266608,0.579533509,11892.09566,40,20,6738.241201,11892.09566,68057.21119,,40,20,2351.931477,6891.867931,14685.21743,,,,,40,20,0.66845154,1.874047796,2.243436377,14.37842884
40,16398.90088,299.4005149,295.1006187,7330.524615,0.055987624,0.338336095,0.673519607,0.355947776,46071.08682,80,40,20406.27257,46071.08682,203280.2151,,80,40,5391.468486,16398.90088,49191.17325,,,,,80,40,2.05539183,6.207765652,7.016327947,22.52721442
,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,66.22141503,416.4194618,1235.956747,,,,,,,0.025929651,0.156805668,0.17612893,
2phenylbenzothiazole,,,,,mean norm ,,,,,,,,,,,,,,,,,,,,,,,,,
Cal_Point,,dPyrene,dAnthraquinone,dC20,dPyrene,dAnthraquinone,dC20,mean_normnorm,vol_normnorm,,,,,,,,,,,,,,,,,,,,,
0,,1,1,1,,,,,0,,,,,,,,,,,,,,,,,,,,,
2,268.3398594,1325.618006,650.5068271,11350.61828,0.102680124,0.067133082,0.23559274,0.135135315,1985.712312,,,,,,,,,,,,,,,,,,,,,
4,,,,,0,0,0,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
10,4361.545007,2071.905829,862.9519028,13669.02158,0.160486313,0.089057668,0.283713377,0.177752453,24537.18604,,,,,,,,,,,,,,,,,,,,,
20,14685.21743,2396.443603,1259.65115,15981.48121,0.185624459,0.129997505,0.331710648,0.215777537,68057.21119,,,,,,,,,,,,,,,,,,,,,
40,49191.17325,2432.104059,1837.558944,16763.20788,0.188386658,0.18963828,0.347936119,0.241987019,203280.2151,,,,,,,,,,,,,,,,,,,,,
