BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,quasi_quant,Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
2886,dC14,,,,TRUE,1400,1400,11,caice_ssi,0,689,717,91.73999786,,2886,31.52469444,0.18334676,1.568876332,27.68015853,,,0,0,1
746,dC16,,,,TRUE,1600,1600,12,caice_ssi,0,848,848,55.24000168,,746,38.48355282,0.18334676,50.04364091,664.8402022,,,0,0,1
275,dC36,,,,TRUE,3600,3600,22,caice_ssi,0,895,896,53.18999863,,275,82.64703398,0.387065383,314.9046013,4519.105152,,,0,0,1
39,dC34,,,,TRUE,3400,3400,21,caice_ssi,0,890,892,53.18999863,,39,79.26479554,0.315763865,463.844631,5203.762657,,,0,0,1
32,dC32,,,,TRUE,3200,3200,20,caice_ssi,0,908,908,53.18999863,,32,75.92143341,0.285206072,576.3442594,5845.091393,,,0,0,1
29,dC30,,,,TRUE,3000,3000,19,caice_ssi,0,882,883,53.18999863,,29,72.42256607,0.26483421,599.3812843,7561.516607,,,0,0,1
24,dC28,,,,TRUE,2800,2800,18,caice_ssi,0,904,904,53.18999863,,24,68.61268829,0.254648278,840.6920274,14938.79591,,,0,0,1
19,dC18,,,,TRUE,1800,1800,13,caice_ssi,0,883,884,98.20999908,,19,44.70376144,0.203718623,1004.715973,17107.22344,,,0,0,1
17,dC26,,,,TRUE,2600,2600,17,caice_ssi,0,893,896,53.18999863,,17,64.5695527,0.244462347,1156.790804,30459.60873,,,0,0,1
14,dC24,,,,TRUE,2400,2400,16,caice_ssi,0,844,847,59.52000046,,14,60.21540667,0.234276416,1434.584105,52010.82703,,,0,0,1
12,dC22,,,,TRUE,2200,2200,15,caice_ssi,0,896,901,98.13999939,,12,55.5113739,0.213904554,1559.129601,29729.4585,,,0,0,1
6,dC20,,,,TRUE,2000,2000,14,caice_ssi,0,894,896,57.47000122,,6,50.34082549,0.213904554,2679.834101,32838.20391,,,0,0,1
1,20200803_1535_blob_1_,,,,FALSE,1661.25,1661,99,caice_ssa_final_0803_1535,0,958,958,71.47000122,,0,40.38849171,0.305577934,17661.08389,1368482.577,,,0,0,0
2,20200803_1535_blob_4_,,,,FALSE,1811.034483,1811,100,caice_ssa_final_0803_1535,0,976,976,97.56999969,,0,45.01477187,0.295392003,11663.63226,455178.1512,,,0,0,0
4,20200803_1535_blob_6_,,,,FALSE,1987.586207,1988,103,caice_ssa_final_0803_1535,0,961,961,94.51999664,,0,49.99093876,0.865804146,7359.85369,240614.4913,,,0,0,0
3,20200803_1535_blob_3_fb,,,,FALSE,1493.854749,1493,104,caice_ssa_final_0803_1535,0,955,955,55.86000061,,0,34.79030396,0.254648278,11689.05708,163596.4382,,,0,0,0
5,20200803_1535_blob_2_,,,,FALSE,1925.517241,1928,101,caice_ssa_final_0803_1535,0,955,956,97.33999634,,0,48.24150509,0.682457386,5695.248163,69599.96176,,,0,0,0
8,20200803_1535_blob_10_,,,,FALSE,1960,1960,107,caice_ssa_final_0803_1535,0,964,964,98.51000214,,0,49.21341268,0.295392003,2363.20667,45506.06562,45506.06562,,0,0,0
36,20200803_1535_blob_453_,,,,FALSE,1660,1659,113,caice_ssa_final_0803_1535,0,952,952,70.33000183,,0,40.34961541,1.283427323,478.7259103,40441.97489,40441.97489,,0,0,0
7,"d-C15 alcohol, TMS",,,,FALSE,1868.965517,1869,4,caice_ssi,0,866,866,93.68000031,,0,46.64757663,0.213904554,2463.899944,40386.753,,0,0,0,0
11,20200803_1535_blob_451_,,,,FALSE,2846.938776,2847,148,caice_ssa_final_0803_1535,0,940,940,98.62000275,,0,69.50684328,0.651899593,1537.513363,32600.70657,32600.70657,,0,0,0
10,20200803_1535_blob_16_,,,,FALSE,1957.241379,1957,110,caice_ssa_final_0803_1535,0,954,954,98.98999786,,0,49.13566007,0.397251314,1727.935134,28207.79513,28207.79513,,0,0,0
16,20200803_1535_blob_9_,,,,FALSE,1899.310345,1900,106,caice_ssa_final_0803_1535,0,950,950,98.31999969,,0,47.50285531,1.018593113,1134.48477,24045.71669,24045.71669,,0,0,0
13,20200803_1535_blob_23_fb,,,,FALSE,1613.75,1614,119,caice_ssa_final_0803_1535,0,965,965,98.87999725,,0,38.91119217,0.753758904,1463.661355,23807.82115,,0,0,0,0
22,20200803_1535_blob_18_,,,,FALSE,1873.103448,1874,109,caice_ssa_final_0803_1535,0,933,934,98.23999786,,0,46.76420554,0.590784006,859.5870504,21090.5553,21090.5553,,0,0,0
20,20200803_1535_blob_5_fb,,,,FALSE,2054.135338,2055,102,caice_ssa_final_0803_1535,0,935,935,50.25,,0,51.74037243,0.560226212,930.4762009,18855.57015,,0,0,0,0
9,20200803_1535_blob_21_,,,,FALSE,1527.374302,1527,127,caice_ssa_final_0803_1535,0,946,946,98.05000305,,0,35.95659308,0.387065383,2265.211759,17617.40506,17617.40506,5.234608999,0,0,0
15,20200803_1535_blob_17_,,,,FALSE,1864.827586,1864,111,caice_ssa_final_0803_1535,0,952,952,50.25,,0,46.53094772,0.550040281,1171.156036,17568.15933,17568.15933,5.219976758,0,0,0
645,20200803_1535_blob_638_oil,,,,FALSE,2478.571429,2479,5,caice_ssa_final_0803_1535,0,870,870,54.90000153,,0,61.92596403,0.26483421,106.1168205,17481.65468,17481.65468,5.194273881,0,0,0
103,20200803_0949_blob_595_,,,,FALSE,2544.642857,2544,2,caice_ssa_final_0805_0949,0,886,890,91.66000366,,0,63.36438728,0.397251314,367.6381776,15923.27688,15923.27688,4.731237557,0,0,0
475,20200803_1535_blob_4_,,,,FALSE,1811.034483,1811,100,caice_ssa_final_0803_1535,0,897,900,98.05000305,,0,45.01477187,1.273241392,234.7082961,14328.92406,14328.92406,4.257512079,0,0,0
575,20200803_1535_blob_574_,,,,FALSE,2200,2200,117,caice_ssa_final_0803_1535,0,923,924,97.69999695,,0,55.5113739,0.733387042,165.8132329,12906.77003,12906.77003,3.834951535,0,0,0
21,20200803_1728_blob_152_,,,,FALSE,,1881,27,caice_ssa_0803_1728,0,211,252,6.460000038,,0,22.19438152,2.200161125,909.3037382,12887.39921,12887.39921,3.829195937,0,0,0
18,20200803_1535_blob_30_,,,,FALSE,1746.25,1746,123,caice_ssa_final_0803_1535,0,959,959,98.62999725,,0,43.03208037,0.774130766,1093.964389,12401.54525,12401.54525,3.684835544,0,0,0
38,20200803_1535_blob_622_,,,,FALSE,2576.785714,2577,121,caice_ssa_final_0803_1535,0,916,916,98.05000305,,0,64.06416075,0.672271455,455.1046551,12135.71931,12135.71931,3.605851445,0,0,0
37,d-pyrene,,,,FALSE,2165.413534,2165,10,caice_ssi,0,938,938,98.76000214,,0,54.61721891,0.845432284,468.7474426,11245.1494,,0,0,0,0
376,20200803_1535_blob_443_oil,,,,FALSE,2546.428571,2546,4,caice_ssa_final_0803_1535,0,935,936,98.5,,0,63.40326358,0.224090485,287.752164,11216.95632,11216.95632,3.332862036,0,0,0
633,"d-C22 acid, TMS",,,,FALSE,2648.076923,2649,5,caice_ssi,0,769,807,98.05000305,,0,65.54146029,0.346321659,129.9626156,11216.29508,,0,0,0,0
614,20200803_1535_blob_551_oil,,,,FALSE,2444.642857,2450,10,caice_ssa_final_0803_1535,0,814,828,94.59999847,,0,61.18731426,0.35650759,157.5321029,11067.32534,11067.32534,3.288402614,0,0,0
505,20200803_1535_blob_500_,,,,FALSE,2001.503759,2000,116,caice_ssa_final_0803_1535,0,920,920,52.08000183,,0,50.3797018,0.641713661,212.035382,11016.2546,11016.2546,3.273228111,0,0,0
26,20200803_1535_blob_63_,,,,FALSE,1995.862069,1996,128,caice_ssa_final_0803_1535,0,943,943,98.84999847,,0,50.22419658,0.35650759,802.7680822,9978.607075,9978.607075,2.96491488,0,0,0
637,20200803_1535_blob_623_oil,,,,FALSE,2464.285714,2465,22,caice_ssa_final_0803_1535,0,845,847,35.77999878,,0,61.6149536,0.254648278,120.3461096,9955.69774,9955.69774,2.958107895,0,0,0
45,20200803_1535_blob_134_,,,,FALSE,1891.034483,1892,120,caice_ssa_final_0803_1535,0,951,951,96.54000092,,0,47.26959749,0.875990078,408.247476,9725.257723,9725.257723,2.889637914,0,0,0
148,20200803_1535_blob_29_oil,,,,FALSE,2442.857143,2443,1,caice_ssa_final_0803_1535,0,933,933,50.25,,0,61.14843796,0.213904554,357.6610087,9668.322702,9668.322702,2.872720974,0,0,0
30,20200803_1535_blob_143_,,,,FALSE,1761.25,1761,130,caice_ssa_final_0803_1535,0,947,947,98.05000305,,0,43.49859602,0.875990078,567.6755429,9592.281661,9592.281661,2.850127118,0,0,0
23,20200803_1535_blob_26_,,,,FALSE,1740,1739,114,caice_ssa_final_0803_1535,0,950,950,98.05000305,,0,42.83769885,0.550040281,845.2192555,9453.823247,9453.823247,2.808987367,0,0,0
656,20200803_1535_blob_658_oil,,,,FALSE,2508.928571,2508,18,caice_ssa_final_0803_1535,0,828,828,77.48000336,,0,62.5868612,0.26483421,93.17186986,8918.763552,8918.763552,2.650006615,0,0,0
650,20200803_1535_blob_482_oil,,,,FALSE,2353.719008,2352,9,caice_ssa_final_0803_1535,0,894,897,43.40999985,,0,59.12687016,0.234276416,103.5875204,8138.199362,8138.199362,2.418079818,0,0,0
52,20200803_1535_blob_418_,,,,FALSE,1990.344828,1990,137,caice_ssa_final_0803_1535,0,932,932,98.94999695,,0,50.06869137,0.203718623,422.9857921,7919.789688,7919.789688,2.353184379,0,0,0
617,20200803_1535_blob_33_oil,,,,FALSE,2340.495868,2342,2,caice_ssa_final_0803_1535,0,916,917,98.26999664,,0,58.81585973,0.203718623,160.2631424,7857.554558,7857.554558,2.334692633,0,0,0
28,20200803_1535_blob_106_fb,,,,FALSE,2078.195489,2078,134,caice_ssa_final_0803_1535,0,937,937,98.44000244,,0,52.36239329,0.336135727,599.855993,7835.848642,7835.848642,2.328243216,0,0,0
34,20200803_1535_blob_7_,,,,FALSE,1837.241379,1838,105,caice_ssa_final_0803_1535,0,918,918,98.55999756,,0,45.75342164,0.590784006,537.3618321,7671.055536,7671.055536,2.279278714,0,0,0
31,20200803_1535_blob_31_,,,,FALSE,1806.896552,1807,122,caice_ssa_final_0803_1535,0,956,956,97.62000275,,0,44.89814296,0.723201111,566.4064537,7648.449524,7648.449524,2.272561854,0,0,0
636,20200803_1535_blob_551_oil,,,,FALSE,2450,2450,10,caice_ssa_final_0803_1535,0,853,853,98.05000305,,0,61.30394317,0.244462347,119.6903019,7566.384182,7566.384182,2.248178015,0,0,0
93,20200803_1535_blob_205_,,,,FALSE,2154.887218,2154,135,caice_ssa_final_0803_1535,0,937,937,97.98000336,,0,54.34508479,1.038964976,361.5948625,7550.229774,7550.229774,2.243378102,0,0,0
643,20200803_1535_blob_4_,,,,FALSE,1812.413793,1811,100,caice_ssa_final_0803_1535,0,851,893,97.66000366,,0,45.05364817,1.680678637,107.7855308,7532.90467,7532.90467,2.238230344,0,0,0
655,20200803_1535_blob_655_oil,,,,FALSE,2501.785714,2501,23,caice_ssa_final_0803_1535,0,843,843,75.84999847,,0,62.43135598,0.26483421,95.39460664,7529.446454,7529.446454,2.237202814,0,0,0
695,20200803_1535_blob_707_oil,,,,FALSE,2578.571429,2578,19,caice_ssa_final_0803_1535,0,827,830,50.25,,0,64.10303705,0.285206072,62.60897896,7505.987154,7505.987154,2.230232419,0,0,0
43,d-cholestane,,,,FALSE,2912.244898,2912,8,caice_ssi,0,925,926,98.05000305,,0,70.750885,0.468552832,428.2655846,7447.970419,,0,0,0,0
33,20200803_1535_blob_668_,,,,FALSE,1529.608939,1529,221,caice_ssa_final_0803_1535,0,921,921,98.05000305,,0,36.03434568,1.232497667,527.1527969,7347.847442,7347.847442,2.183244821,0,0,0
642,20200803_1535_blob_541_oil,,,,FALSE,2423.214286,2418,27,caice_ssa_final_0803_1535,0,878,880,61.43999863,,0,60.72079862,0.244462347,109.4496592,7270.547203,7270.547203,2.160276822,0,0,0
441,20200803_1535_blob_471_,,,,FALSE,2148.87218,2150,126,caice_ssa_final_0803_1535,0,909,909,97.51999664,,0,54.18957957,0.713015179,262.826754,7261.850178,7261.850178,2.1576927,0,0,0
238,20200803_1535_blob_97_,,,,FALSE,1881.37931,1881,115,caice_ssa_final_0803_1535,0,917,917,98.05000305,,0,46.99746336,0.468552832,323.3156707,7190.252983,7190.252983,2.136419231,0,0,0
641,20200803_1535_blob_469_oil,,,,FALSE,2376.859504,2377,3,caice_ssa_final_0803_1535,0,893,893,83.55000305,,0,59.67113841,0.224090485,111.2236437,6871.503197,6871.503197,2.041710022,0,0,0
248,20200803_1535_blob_170_,,,,FALSE,2024.06015,2023,124,caice_ssa_final_0803_1535,0,947,947,98.91000366,,0,50.96284635,0.621341799,315.7788388,6794.332826,6794.332826,2.018780611,0,0,0
648,20200803_1535_blob_638_oil,,,,FALSE,2475,2479,5,caice_ssa_final_0803_1535,0,858,859,49.27000046,,0,61.84821143,0.254648278,105.4513988,6767.392725,6767.392725,2.010775977,0,0,0
