BlobID,Compound.Name,Library Name,Library Match Factor,Library Reverse Match Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
2,20200803_1535_blob_2_,caice_ssa_final_0803_1535,999,999,,,,1927.777778,,Homosalate,942,942,1904,C16H22O3,262,,,,
13,20200803_1535_blob_13_,caice_ssa_final_0803_1535,999,999,,,,1901.388889,,Homosalate,941,942,1904,C16H22O3,262,,,,
170,20200803_1535_blob_170_,caice_ssa_final_0803_1535,999,999,,,,2022.900763,,"Benzothiazole, 2-phenyl-",932,941,,C13H9NS,211,T,,,
560,20200803_1535_blob_560_,caice_ssa_final_0803_1535,999,999,,,,1788.607595,,"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",931,938,1772,C15H22O2,234,,,,
6,20200803_1535_blob_6_,caice_ssa_final_0803_1535,999,999,,,,1987.5,,Dibutyl phthalate,928,933,1965,C16H22O4,278,,,,
47,20200803_1535_blob_47_,caice_ssa_final_0803_1535,999,999,,,,2010.687023,,"Homosalate, TMS derivative",924,927,1998,C19H30O3Si,334,,,,
654,20200803_1535_blob_654_,caice_ssa_final_0803_1535,999,999,,,,1455.367232,,"Ethanone, 1,1'-(1,4-phenylene)bis-",923,925,1461,C10H10O2,162,,,,
936,20200803_1535_blob_936_,caice_ssa_final_0803_1535,999,999,,,,1475.706215,,"Ethanone, 1,1'-(1,4-phenylene)bis-",921,924,1461,C10H10O2,162,,,,
958,20200803_1535_blob_958_,caice_ssa_final_0803_1535,999,999,,,,1248.78643,,Benzothiazole,920,921,1229,C7H5NS,135,T,,,
26,20200803_1535_blob_26_,caice_ssa_final_0803_1535,999,999,,,,1739.240506,,"Benzoic acid, 2-ethylhexyl ester",918,919,1735,C15H22O2,234,,,,
16,20200803_1535_blob_16_,caice_ssa_final_0803_1535,999,999,,,,1956.944444,,"Hexadecanoic acid, methyl ester",917,927,1926,C17H34O2,270,,,,
687,20200803_1535_blob_687_,caice_ssa_final_0803_1535,999,999,,,,1470.056497,,"Quinoline, 2,4-dimethyl-",915,915,1454,C11H11N,157,,,,
7,20200803_1535_blob_7_,caice_ssa_final_0803_1535,999,999,,,,1837.5,,2-Ethylhexyl salicylate,912,915,1811,C15H22O3,250,,,,
764,20200803_1535_blob_764_,caice_ssa_final_0803_1535,999,999,,,,1636.708861,,2-(Methylmercapto)benzothiazole,907,917,1607,C8H7NS2,181,T,,,
398,20200803_1535_blob_398_,caice_ssa_final_0803_1535,999,999,,,,1555.932203,,"2-Butenedioic acid, dibutyl ester",904,912,,C12H20O4,228,,,,
657,20200803_1535_blob_657_,caice_ssa_final_0803_1535,999,999,,,,1751.898734,,Methyl tetradecanoate,902,913,1725,C15H30O2,242,,,,
900,20200803_0949_blob_900_,caice_ssa_final_0805_0949,999,999,,,,1258.437509,,"Benzoic Acid, TMS derivative",896,930,1249,C10H14O2Si,194,,,,
18,20200803_1535_blob_18_,caice_ssa_final_0803_1535,999,999,,,,1873.611111,,"2-Pentadecanone, 6,10,14-trimethyl-",895,915,1844,C18H36O,268,,,,
106,20200803_1535_blob_106_fb,caice_ssa_final_0803_1535,999,999,,,,2077.862595,,"Palmitic Acid, TMS derivative",895,900,2050,C19H40O2Si,328,,,,
418,20200803_1535_blob_418_,caice_ssa_final_0803_1535,999,999,,,,1990.277778,,"1-Hexadecanol, TMS derivative",894,932,1958,C19H42OSi,314,,,,
116,20200803_1535_blob_116_,caice_ssa_final_0803_1535,999,999,,,,1789.873418,,"1-Tetradecanol, TMS derivative",892,909,1756,C17H38OSi,286,,,,
1063,20200803_1535_blob_1063_,caice_ssa_final_0803_1535,999,999,,,,1634.177215,,"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",889,893,,C14H18O,202,,,,
981,20200803_0949_blob_981_,caice_ssa_final_0805_0949,999,999,,,,1253.301347,,"Benzoic Acid, TMS derivative",889,924,1249,C10H14O2Si,194,,,,
23,20200803_1535_blob_23_fb,caice_ssa_final_0803_1535,999,999,,,,1613.924051,,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",888,892,1588,C16H30O4,286,,,,
651,20200803_1535_blob_651_,caice_ssa_final_0803_1535,999,999,,,,1654.43038,,"Quinoline, 2,3,4-trimethyl-",887,927,1616,C12H13N,171,,,,
876,20200803_1535_blob_876_,caice_ssa_final_0803_1535,999,999,,,,1616.455696,,"Benzothiazole, 2-butyl-",886,886,,C11H13NS,191,T,,,
83,20200803_1535_blob_83_,caice_ssa_final_0803_1535,999,999,,,,2056.48855,,i-Propyl 14-methyl-pentadecanoate,885,899,,C19H38O2,298,,,,
