BlobID,Compound.Name,Library Name,Library Match Factor,Library Reverse Match Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,description,Group,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
935,20200929_1128_blob_935,caice_mdom_0724_fixed,,,,,,1842.253521,,2-(Methylthio)phenyl isothiocyanate,616,784,,C8H7NS2,181,,btz,Library.Reverse.Match.Factor_chamber,
1053,20200929_1128_blob_1053,caice_mdom_0724_fixed,,,,,,,,"3-Cyano-thiopropionic acid, S-ethyl ester",643,653,,C6H9NOS,143,,btz,Library.Reverse.Match.Factor_chamber,
1193,20200929_1128_blob_1193,caice_mdom_0724_fixed,,,,,,2393.333333,,"Thieno[2,3-b]thiophene, 2-bromo-5-(4-bromo-3-pyrazolyl)-3,4-dimethyl-",656,670,,C11H8Br2N2S2,390,,btz,Library.Reverse.Match.Factor_chamber,
872,20200929_1128_blob_872,caice_mdom_0724_fixed,,,,,,1637.974684,,2-(Methylthio)phenyl isothiocyanate,658,808,,C8H7NS2,181,,btz,Library.Reverse.Match.Factor_chamber,
644,20200929_1128_blob_644,caice_mdom_0724_fixed,,,,,,1942.253521,,"Acetamide, N-(2-mercapto-4,6-dioxo-1-phenyl-1,4,5,6-tetrahydropyrimidin-5-yl)-",670,714,,C12H11N3O3S,277,,btz,Library.Reverse.Match.Factor_chamber,
1083,20200930_1205_blob_1083,caice_mdom_0806,,,,,,2036.641221,,N-(2-Cyano-ethyl)-benzenesulfonamide,689,761,,C9H10N2O2S,210,,btz,Library.Reverse.Match.Factor_chamber,
630,20200930_1548_blob_630,caice_mdom_0812,,,,,,1631.25,,m-Methoxybenzylisothiocyanate,737,824,1619,C9H9NOS,179,,btz,Library.Reverse.Match.Factor_chamber,
804,20200930_1205_blob_804,caice_mdom_0806,,,,,,1581.920904,,Benzenesulfonamide,773,898,1525,C6H7NO2S,157,,btz,Matched,
8,20200929_1128_blob_8,caice_mdom_0724_fixed,,,,,,1816.901408,,N-(2-Cyano-ethyl)-benzenesulfonamide,783,824,,C9H10N2O2S,210,plasticizer,btz,Matched,
622,20200930_1548_blob_622,caice_mdom_0812,,,,,,1868.965517,,N-(2-Cyano-ethyl)-benzenesulfonamide,811,830,,C9H10N2O2S,210,,btz,Matched,
926,20200929_1128_blob_926,caice_mdom_0724_fixed,,,,,,1456.818182,,"5,1-Benzothiazepine-2-one, 3-acetylamino-",582,583,,C11H12N2O2S,236,,btz_c,Matched,
652,20200929_1128_blob_652,caice_mdom_0724_fixed,,,,,,1392.925857,,4-Ethyl-5-methylthiazole,668,695,1005,C6H9NS,127,,btz_c,Matched,
694,20200929_1510_blob_694,caice_mdom_0726,,,,,,1555.681818,,"Benzothiazole, 2-butyl-",814,825,,C11H13NS,191,1086.823881,btz_c,Matched,
747,20200929_1128_blob_747,caice_mdom_0724_fixed,,,,,,2024.615385,,"Benzothiazole, 2-phenyl-",847,866,,C13H9NS,211,,btz_c,Matched,
654,20200929_1128_blob_654,caice_mdom_0724_fixed,,,,,,1706.329114,,2(3H)-Benzothiazolone,854,870,,C7H5NOS,151,,btz_c,Matched,
870,20200929_1700_blob_870,caice_mdom_0730,,,,,,1241.945474,,Benzothiazole,877,884,1229,C7H5NS,135,,btz_c,Matched,
614,20200929_1128_blob_614,caice_mdom_0724_fixed,,,,,,1329.258574,,3-Methylbenzothiophene,917,928,1315,C9H8S,148,,btz_c,Matched,
255,20200929_1128_blob_255,caice_mdom_0724_fixed,,,,,,1608.860759,,3-Methyl-3H-benzothiazol-2-one,920,923,,C8H7NOS,165,,btz_c,Matched,
5,20200929_1128_blob_5,caice_mdom_0724_fixed,,,,,,1637.974684,,2-(Methylmercapto)benzothiazole,939,939,1607,C8H7NS2,181,,btz_c,Matched,
835,20200929_1128_blob_835,caice_mdom_0724_fixed,,,,,,2283.333333,,Bis[4-diethylamino-3-nitropheny]lsulfone,462,594,,C20H26N4O6S,450,,mdom_lib1,Not Matched,
788,20200929_1128_blob_788,caice_mdom_0724_fixed,,,,,,2572.727273,,"Exo-norbornanol, dimethyl(pentafluorophenyl)silyl ether",478,520,,C15H17F5OSi,336,,mdom_lib1,Not Matched,
1686,20200929_1128_blob_1686,caice_mdom_0724_fixed,,,,,,3302.380952,,"Glycine, N-[(3α,5ß)-24-oxo-3-[(trimethylsilyl)oxy]cholan-24-yl]-, methyl ester",496,576,,C30H53NO4Si,519,,mdom_lib1,Not Matched,
1192,20200929_1128_blob_1192,caice_mdom_0724_fixed,,,,,,2280,,"3,19-Epoxyandrost-5-en-7-ol-17-one, 4,4-dimethyl-3-methoxy-16,16-propylenedithio-",500,503,,C25H36O4S2,464,,mdom_lib1,Not Matched,
643,20200929_1128_blob_643,caice_mdom_0724_fixed,,,,,,1918.309859,,"1,3-Dioxolane-4-methanol, 2,2-dimethyl-, acetate",504,728,,C8H14O4,174,,mdom_lib1,Not Matched,
591,20200929_1128_blob_591,caice_mdom_0724_fixed,,,,,,1843.661972,,"benzonitrile, 2,4,6-tribromo-3-hydroxy-",509,720,,C7H2Br3NO,353,,mdom_lib1,Not Matched,
1284,20200929_1128_blob_1284,caice_mdom_0724_fixed,,,,,,2326.666667,,"6,11-Bis(tetrahydrofuran-2,4-dion)-7,10-diazahexadeka-6,10-dien-nickel(ii)",514,558,,C22H30N2NiO6,476,,mdom_lib1,Not Matched,
48,20200929_1128_blob_48,caice_mdom_0724_fixed,,,,,,1895.774648,,"1,2-Dibromo-3,5-bis-trifluoromethylbenzene",520,702,,C8H2Br2F6,370,,mdom_lib1,Not Matched,
590,20200929_1128_blob_590,caice_mdom_0724_fixed,,,,,,1435.227273,,"3-Cyano-thiopropionic acid, S-ethyl ester",523,549,,C6H9NOS,143,,mdom_lib1,Not Matched,
1285,20200929_1128_blob_1285,caice_mdom_0724_fixed,,,,,,1369.345382,,"2,4(1H,3H)-Pyrimidinedione, 5,6-diamino-1-(2-methoxyphenyl)-",526,564,,C11H12N4O3,248,,mdom_lib1,Not Matched,
989,20200929_1128_blob_989,caice_mdom_0724_fixed,,,,,,2161.538462,,"Androst-8-en-3-ol, 4,4,14α-trimethyl-17-(2-bromo-1-methylethyl)-",532,536,,C25H41BrO,436,,mdom_lib1,Not Matched,
28,20200929_1128_blob_28,caice_mdom_0724_fixed,,,,,,1925.352113,,"1,3-Dioxolane-4-methanol, 2,2-dimethyl-, acetate",538,724,,C8H14O4,174,,mdom_lib1,Not Matched,
1474,20200929_1128_blob_1474,caice_mdom_0724_fixed,,,,,,2301.666667,,"1,8-Diazacyclotetradecane-2,9-dione",538,559,2196,C12H22N2O2,226,,mdom_lib1,Not Matched,
1421,20200929_1128_blob_1421,caice_mdom_0724_fixed,,,,,,2902.083333,,Glycyl-L-histidyl-L-lysine acetate,548,556,,C14H24N6O4,340,,mdom_lib1,Not Matched,
751,20200929_1128_blob_751,caice_mdom_0724_fixed,,,,,,2095.384615,,"4-Piperidineacetic acid, 1-acetyl-5-ethyl-2-[3-(2-hydroxyethyl)-1H-indol-2-yl]-α-methyl-, methyl ester",549,563,,C23H32N2O4,400,,mdom_lib1,Not Matched,
1924,20200929_1128_blob_1924,caice_mdom_0724_fixed,,,,,,2070.769231,,"2,8,4-[1,2,3]Propanetriyl-2H-1-benzopyran-9-ol, 2-chlorooctahydro-, stereoisomer",552,589,,C12H17ClO2,228,,mdom_lib1,Not Matched,
1181,20200929_1128_blob_1181,caice_mdom_0724_fixed,,,,,,1535.227273,,"2-Oleoylglycerol, 2TMS derivative",554,567,2744,C27H56O4Si2,500,,mdom_lib1,Not Matched,
607,20200929_1128_blob_607,caice_mdom_0724_fixed,,,,,,2825,,1-Dimethylisopropylsilyloxynonane,558,619,,C14H32OSi,244,,mdom_lib1,Not Matched,
1574,20200929_1128_blob_1574,caice_mdom_0724_fixed,,,,,,1311.573217,,"Estra-1,3,5(10)-trien-17ß-ol",560,617,2259,C18H24O,256,,mdom_lib1,Not Matched,
1376,20200929_1128_blob_1376,caice_mdom_0724_fixed,,,,,,2701.960784,,8-Octadecenal,562,575,,C18H34O,266,,mdom_lib1,Not Matched,
908,20200929_1128_blob_908,caice_mdom_0724_fixed,,,,,,2341.666667,,"2,7-Bis(4-hydroxy-1,5-dihydro-2pyrrol-2-on-3-yl)3,6-diaza-octa-2,6-dien-nickel(ii)",564,625,,C20H28N4NiO4,446,,mdom_lib1,Not Matched,
1601,20200929_1128_blob_1601,caice_mdom_0724_fixed,,,,,,2501.818182,,"N,N'-Pentamethylenebis[s-3-aminopropyl thiosulfuric acid]",564,589,,C11H26N2O6S4,410,,mdom_lib1,Not Matched,
1608,20200929_1128_blob_1608,caice_mdom_0724_fixed,,,,,,1947.887324,,"2-Oleoylglycerol, 2TMS derivative",565,578,2744,C27H56O4Si2,500,,mdom_lib1,Not Matched,
1851,20200929_1128_blob_1851,caice_mdom_0724_fixed,,,,,,3101.123596,,"2,7-Diphenyl-1,6-dioxopyridazino[4,5:2',3']pyrrolo[4',5'-d]pyridazine",565,587,,C20H13N5O2,355,,mdom_lib1,Not Matched,
267,20200929_1128_blob_267,caice_mdom_0724_fixed,,,,,,1786.075949,,Paromomycin,567,569,,C23H45N5O14,615,,mdom_lib1,Not Matched,
759,20200929_1128_blob_759,caice_mdom_0724_fixed,,,,,,1739.240506,,"Pregna-4,9(11)-dien-20-ol-3-on-19-oic acid lactone",569,577,,C21H26O3,326,,mdom_lib1,Not Matched,
1584,20200929_1128_blob_1584,caice_mdom_0724_fixed,,,,,,1736.708861,,"3-Benzyloxybutyric acid, 2-(2-t-butoxycarbonyl-1-methyl-ethoxycarbonyl)-1-methyl-ethyl ester",569,570,,C23H34O7,422,,mdom_lib1,Not Matched,
3,20200929_1128_blob_3,caice_mdom_0724_fixed,,,,,,2201.666667,,"Zirconium, dichloro[(dimethylsilylene)bis[(1,2,3,3a,7a-ⁿ)-1H-inden-1-ylidene]]-",572,613,,C20H18Cl2SiZr,446,,mdom_lib1,Not Matched,
14,20200929_1128_blob_14,caice_mdom_0724_fixed,,,,,,2278.333333,,"Zirconium, dichloro[(dimethylsilylene)bis[(1,2,3,3a,7a-ⁿ)-1H-inden-1-ylidene]]-",572,614,,C20H18Cl2SiZr,446,,mdom_lib1,Not Matched,
955,20200929_1128_blob_955,caice_mdom_0724_fixed,,,,,,1296.409923,,"Acetic acid, 3-acetoxy-1-ethyl-2-nitrobutyl ester",572,655,,C10H17NO6,247,,mdom_lib1,Not Matched,
1020,20200929_1128_blob_1020,caice_mdom_0724_fixed,,,,,,1945.070423,,"1-Nitro-ß-d-arabinofuranose, tetraacetate",573,583,,C13H17NO11,363,,mdom_lib1,Not Matched,
624,20200929_1128_blob_624,caice_mdom_0724_fixed,,,,,,1791.139241,,"2-Bromo-3-methyl-4,5,8-trimethoxy-1-naphthol",575,629,,C14H15BrO4,326,,mdom_lib1,Not Matched,
1737,20200929_1128_blob_1737,caice_mdom_0724_fixed,,,,,,2308.333333,,"4-Carbomethoxy-4-[2-(2-carbomethoxyvinyl)benzyl]-3-methoxy-2,5-cyclohexadien-1-one",575,623,,C20H20O6,356,,mdom_lib1,Not Matched,
1261,20200929_1128_blob_1261,caice_mdom_0724_fixed,,,,,,2320,,"Heptasiloxane, hexadecamethyl-",577,809,1553,C16H48O6Si7,532,,mdom_lib1,Not Matched,
2030,20200929_1128_blob_2030,caice_mdom_0724_fixed,,,,,,1674.683544,,"Dodecanoic acid, 3-hydroxy-",579,580,,C12H24O3,216,,mdom_lib1,Not Matched,
