TimeStart_JD	TimeStop_JD	TimeStart	TimeStop	Midpoint Time	Averaged_Chl_a (ug/L)	Uncertainty
205.2921644	205.3748032	7:00	8:59	8:00	0.69221535	0.082944243
205.3754977	205.4581366	9:00	10:59	10:00	0.663215022	0.107303842
205.458831	205.5414699	11:00	12:59	12:00	0.6978483	0.109620309
205.5421644	205.6248032	13:00	14:59	14:00	0.76047345	0.106617382
205.6254977	205.7081366	15:00	16:59	16:00	0.8197851	0.07896795
205.708831	205.7914699	17:00	18:59	18:00	0.844802025	0.081645136
205.7921644	205.8748032	19:00	20:59	20:00	0.853417125	0.084383208
205.8754977	205.9581366	21:00	22:59	22:00	0.9231663	0.069347216
205.958831	206.0414699	23:00	0:59	0:00	0.92946195	0.084000038
206.0421644	206.1248032	1:00	2:59	2:00	0.91421985	0.062444275
206.1254977	206.2081366	3:00	4:59	4:00	0.883238625	0.088551022
206.208831	206.2914699	5:00	6:59	6:00	0.868659225	0.08783798
206.2921644	206.3748032	7:00	8:59	8:00	0.797988824	0.133400537
206.3754977	206.4581366	9:00	10:59	10:00	0.740758125	0.092567186
206.458831	206.5414699	11:00	12:59	12:00	0.732805725	0.091389959
206.5421644	206.6248032	13:00	14:59	14:00	0.760639125	0.069727546
206.6254977	206.7081366	15:00	16:59	16:00	0.79095765	0.089096505
206.708831	206.7914699	17:00	18:59	18:00	0.81216405	0.048778948
206.7921644	206.8748032	19:00	20:59	20:00	0.836518275	0.062620222
206.8754977	206.9581366	21:00	22:59	22:00	0.8794281	0.065747807
206.958831	207.0414699	23:00	0:59	0:00	0.85789035	0.063968214
207.0421644	207.1248032	1:00	2:59	2:00	0.848778225	0.045046255
207.1254977	207.2081366	3:00	4:59	4:00	0.832873425	0.073744934
207.208831	207.2914699	5:00	6:59	6:00	0.834198825	0.099321292
207.2921644	207.3748032	7:00	8:59	8:00	0.8303883	0.090785954
207.3754977	207.4581366	9:00	10:59	10:00	0.741546578	0.148315629
207.458831	207.5414699	11:00	12:59	12:00	0.7621302	0.123417134
207.5421644	207.6248032	13:00	14:59	14:00	0.81746565	0.092018514
207.6254977	207.7081366	15:00	16:59	16:00	0.87744	0.080657547
207.708831	207.7914699	17:00	18:59	18:00	0.9317814	0.057539854
207.7921644	207.8748032	19:00	20:59	20:00	0.979661475	0.052587288
207.8754977	207.9581366	21:00	22:59	22:00	1.029695325	0.07745736
207.958831	208.0414699	23:00	0:59	0:00	0.99440655	0.080017406
208.0421644	208.1248032	1:00	2:59	2:00	0.9576267	0.067780885
208.1254977	208.2081366	3:00	4:59	4:00	0.943544325	0.056555651
208.208831	208.2914699	5:00	6:59	6:00	0.917699025	0.070150215
208.2921644	208.3748032	7:00	8:59	8:00	0.81547755	0.110372695
208.3754977	208.4581366	9:00	10:59	10:00	0.751807805	0.111570546
208.458831	208.5414699	11:00	12:59	12:00	0.72667575	0.119023508
208.5421644	208.6248032	13:00	14:59	14:00	0.761301825	0.085856899
208.6254977	208.7081366	15:00	16:59	16:00	0.7574913	0.070769514
208.708831	208.7914699	17:00	18:59	18:00	0.77107665	0.097600444
208.7921644	208.8748032	19:00	20:59	20:00	0.759645075	0.090079452
208.8754977	208.9581366	21:00	22:59	22:00	0.751029975	0.082508448
208.958831	209.0414699	23:00	0:59	0:00	0.711599325	0.059568469
209.0421644	209.1248032	1:00	2:59	2:00	0.701327475	0.054020461
209.1254977	209.2081366	3:00	4:59	4:00	0.69221535	0.063950903
209.208831	209.2914699	5:00	6:59	6:00	0.681446475	0.089554331
209.2921644	209.3748032	7:00	8:59	8:00	0.58220715	0.086716104
209.3754977	209.4581366	9:00	10:59	10:00	0.56077483	0.135762709
209.458831	209.5414699	11:00	12:59	12:00	0.535983825	0.106330777
209.5421644	209.6248032	13:00	14:59	14:00	0.5653083	0.090058709
209.6254977	209.7081366	15:00	16:59	16:00	0.61998105	0.115067682
209.708831	209.7914699	17:00	18:59	18:00	0.654938475	0.076194942
209.7921644	209.8748032	19:00	20:59	20:00	0.649968225	0.05372246
209.8754977	209.9581366	21:00	22:59	22:00	0.687410775	0.078928508
209.958831	210.0414699	23:00	0:59	0:00	0.710936625	0.076821538
210.0421644	210.1248032	1:00	2:59	2:00	0.7395984	0.067492789
210.1254977	210.2081366	3:00	4:59	4:00	0.7700826	0.082385072
210.208831	210.2914699	5:00	6:59	6:00	0.7574913	0.09518671
210.2921644	210.3748032	7:00	8:59	8:00	0.624424538	0.097999646
210.3754977	210.4581366	9:00	10:59	10:00	0.6401934	0.113455812
210.458831	210.5414699	11:00	12:59	12:00	0.653944425	0.133170467
210.5421644	210.6248032	13:00	14:59	14:00	0.705966375	0.106903995
210.6254977	210.7081366	15:00	16:59	16:00	0.8230986	0.102018113
210.708831	210.7914699	17:00	18:59	18:00	0.889202925	0.074365376
210.7921644	210.8748032	19:00	20:59	20:00	0.930456	0.076515574
210.8754977	210.9581366	21:00	22:59	22:00	1.05139875	0.073380147
210.958831	211.0414699	23:00	0:59	0:00	1.097953425	0.071612234
211.0421644	211.1248032	1:00	2:59	2:00	1.117834425	0.060334869
211.1254977	211.2081366	3:00	4:59	4:00	1.124792775	0.068327311
211.208831	211.2914699	5:00	6:59	6:00	1.145005125	0.089043521
211.2921644	211.3748032	7:00	8:59	8:00	1.0988775	0.235624556
211.3754977	211.4581366	9:00	10:59	10:00	1.168896449	0.259534436
211.458831	211.5414699	11:00	12:59	12:00	1.240328522	0.233104557
211.5421644	211.6248032	13:00	14:59	14:00	1.463329405	0.165134914
211.6254977	211.7081366	15:00	16:59	16:00	1.851225306	0.208060367
211.708831	211.7914699	17:00	18:59	18:00	2.239121207	0.245135863
211.7921644	211.8748032	19:00	20:59	20:00	2.285291812	0.17366949
211.8754977	211.9581366	21:00	22:59	22:00	2.761759895	0.217604991
211.958831	212.0414699	23:00	0:59	0:00	2.883625166	0.117343361
212.0421644	212.1248032	1:00	2:59	2:00	2.9313662	0.121305034
212.1254977	212.2081366	3:00	4:59	4:00	2.89147731	0.155973241
212.208831	212.2914699	5:00	6:59	6:00	2.809500929	0.222115156
212.2921644	212.3748032	7:00	8:59	8:00	2.377633023	0.228650844
212.3754977	212.4581366	9:00	10:59	10:00	2.417835999	0.257322004
212.458831	212.5414699	11:00	12:59	12:00	2.430224937	0.133398627
212.5421644	212.6248032	13:00	14:59	14:00	2.578647903	0.182266456
212.6254977	212.7081366	15:00	16:59	16:00	3.029046868	0.22986754
212.708831	212.7914699	17:00	18:59	18:00	3.267123867	0.20033384
212.7921644	212.8748032	19:00	20:59	20:00	3.551999642	0.201912901
212.8754977	212.9581366	21:00	22:59	22:00	4.197445858	0.194478171
212.958831	213.0414699	23:00	0:59	0:00	4.282249011	0.149302113
213.0421644	213.1248032	1:00	2:59	2:00	4.418562226	0.150435836
213.1254977	213.2081366	3:00	4:59	4:00	4.456880688	0.143897956
213.208831	213.2914699	5:00	6:59	6:00	4.459393374	0.203442062
213.2921644	213.3748032	7:00	8:59	8:00	4.017474724	0.202388273
213.3754977	213.4581366	9:00	10:59	10:00	4.324650587	0.463354766
213.458831	213.5414699	11:00	12:59	12:00	11.51438749	1.780201305
213.5421644	213.6248032	13:00	14:59	14:00	12.50083419	0.242270447
213.6254977	213.7081366	15:00	16:59	16:00		#DIV/0!
213.708831	213.7914699	17:00	18:59	18:00	18.01998855	1.024068446
213.7921644	213.8748032	19:00	20:59	20:00	20.11280453	0.658275582
213.8754977	213.9581366	21:00	22:59	22:00	23.0036676	0.865884878
213.958831	214.0414699	23:00	0:59	0:00	22.94535	0.425474582
214.0421644	214.1248032	1:00	2:59	2:00	22.4920632	0.379689821
214.1254977	214.2081366	3:00	4:59	4:00	21.454275	0.556067029
214.208831	214.2914699	5:00	6:59	6:00	20.55267165	0.387105978
214.2921644	214.3748032	7:00	8:59	8:00	17.91065243	0.786693116
214.3754977	214.4581366	9:00	10:59	10:00	18.72109453	0.450397148
214.458831	214.5414699	11:00	12:59	12:00	19.64742345	0.48776122
214.5421644	214.6248032	13:00	14:59	14:00	20.53925198	0.476738661
214.6254977	214.7081366	15:00	16:59	16:00	22.06776953	0.664905883
214.708831	214.7914699	17:00	18:59	18:00	23.70496988	0.782229985
214.7921644	214.8748032	19:00	20:59	20:00	24.1600791	0.489830697
