"","Compound.Name","IS_avgvol","IS_medvol"
"1","4-methoxy-benzaldehyde",3792.16454595907,3374.07385971346
"2","chrysene-d",6058.94010889774,5208.02286050799
"3","d-anthraquinone",9689.81021423636,8873.20256941219
"4","d-C10 acid, TMS",5347.61955357293,2901.77508934553
"5","d-C15 alcohol, TMS",30889.8739006451,27188.8119607366
"6","d-C6diacid",5531.04461252305,5531.04461252305
"7","d-cholestane",16317.6637839444,14009.8101740448
"8","d-pyrene",12910.1714953308,10663.518705004
"9","dC16",872.211456879545,626.006184721079
"10","dC18",6967.5044513509,6403.32297250545
"11","dC20",48178.9816229291,40310.0650666907
"12","dC22",45688.3737626684,36511.5949148062
"13","dC24",68331.2015608326,55306.380529017
"14","dC26",41972.471902876,34318.5488171629
"15","dC28",27327.9969480464,18673.0460542892
"16","dC30",15419.0930597785,12776.4592085093
"17","dC32",12591.7496550873,9861.52820033728
"18","dC34",11728.6699573602,9890.68112661507
"19","dC36",10691.1540696298,8125.37591592676
"20","dibenzanthracene-d",595.913208754471,541.863714072967
"21","pentaerythritol-C13",10883.9067718098,7052.50453698629
"22","perylene-d",1273.6970118515,1207.85740264986
