"","Compound.Name","LRI_avg_all","RI2_all","relative_LRI","relative_LRI2"
"1","4-methoxy-benzaldehyde",1269.14642718875,0.946509927678246,5.17470335495832,2.97560027161652
"2","chrysene-d",2519.85373246184,0.742948731549592,10.2742246946698,2.33565267806427
"3","d-anthraquinone",2010.70089025493,0.876333408343158,8.1982507453196,2.75498212077809
"4","d-C10 acid, TMS",1466.14675914774,0.215311438203294,5.97793476851094,0.676887537325076
"5","d-C15 alcohol, TMS",1869.41332405028,0.0688562521530151,7.62217754589174,0.216467547373319
"6","d-C22 acid, TMS",2647.24312852525,0.198319831664976,10.7936307467008,0.623470000380016
"7","d-cholestane",2912.65861951736,0.31359928885231,11.8758119688763,0.985880973669927
"8","d-cholesterol",3201.34231945449,0.319446311733674,13.0528648908906,1.004262611691
"9","d-pyrene",2165.36566514067,0.690326637285194,8.82886697079957,2.17022143069187
"10","dC16",1600,0.0259677482106158,6.52369591921168,0.0816363741881897
"11","dC18",1800,0.0451820440295097,7.33915790911314,0.142041513305818
"12","dC20",2000,0.0596618839481495,8.1546198990146,0.187562658235124
"13","dC22",2200.08026096141,0.0666199117177635,8.97040913773257,0.209437029243535
"14","dC24",2400.15417532309,0.0791438258168068,9.78617249939634,0.248809212360756
"15","dC26",2600,0.0905675715044454,10.601005868719,0.284722729775621
"16","dC28",2800,0.105891744295288,11.4164678586204,0.332898254812724
"17","dC30",3000,0.118963518977402,12.2319298485219,0.373992780244716
"18","dC32",3200,0.139845861989679,13.0473918384234,0.439641859797155
"19","dC34",3400,0.161014022545528,13.8628538283248,0.506189481177222
"20","dC36",3600,0.23173372163111,14.6783158182263,0.728515258915106
"21","dibenzanthracene-d",3266.36965303868,0.922551284172616,13.3180014851033,2.90028004090558
"22","pentaerythritol-C13",1526.04765566732,0.0318147255305995,6.22216928987465,0.100017868975208
"23","perylene-d",2955.21882376303,0.865469871761469,12.0493431131002,2.72082976647317
