"","Compound.Name","LRI_avg_all","RI2_all","relative_LRI","relative_LRI2"
"1","4-methoxy-benzaldehyde",1270.88430076209,0.997953834486014,5.36637925254663,2.45979413043137
"2","chrysene-d",2520.95047970048,0.804019590646497,10.6448528342429,1.98177771504099
"3","d-anthraquinone",2012.26089432196,0.929423760039064,8.49688292437394,2.29087862646975
"4","d-C10 acid, TMS",1467.23189986076,0.294701237746312,6.19546784972152,0.726390690419655
"5","d-C15 alcohol, TMS",1869.29118113552,0.144755663741094,7.89318540279296,0.356799202240082
"6","d-C6diacid",1526.34501797637,0.537924087178213,6.44507626050979,1.32589551393438
"7","d-cholestane",2912.47788931091,0.398125471768743,12.2980989766941,0.981314630787863
"8","d-pyrene",2166.2825406146,0.75233978188426,9.14724784477799,1.85439537944363
"9","dC16",1600,0.112387559453017,6.75608849595975,0.277017081875756
"10","dC18",1800,0.121478799450161,7.60059955795472,0.299425512016051
"11","dC20",2000,0.138283134135205,8.44511061994969,0.3408454679255
"12","dC22",2200,0.157670381274942,9.28962168194466,0.388631883560757
"13","dC24",2400,0.166728029852091,10.1341327439396,0.410957516306139
"14","dC26",2600,0.175756106950161,10.9786438059346,0.433210260158115
"15","dC28",2800.1953125,0.187400139877562,11.8239795857635,0.46191091028801
"16","dC30",3000,0.202924148587082,12.6676659299245,0.5001750705977
"17","dC32",3200,0.21972227393055,13.5121769919195,0.541579721488585
"18","dC34",3400,0.244291705586739,14.3566880539145,0.602139380350014
"19","dC36",3600,0.320548268498093,15.2011991159094,0.790099423564667
"20","dibenzanthracene-d",3270.3256302521,0.973382392435206,13.8091308553678,2.3992295162737
"21","pentaerythritol-C13",1526.68249791217,0.11888912049777,6.44650128820469,0.293042373972321
"22","perylene-d",2958.22529503527,0.926831851499184,12.4912699276531,2.28448999285496
