Column1,Formula,C,H,N,O,S,P,ExactMass,0724.csv,0726.csv,0730.csv,0802.csv,0806.csv,0809.csv,0812.csv,Replication,Latter TPs common,Column2,N/C,O/C,H/C,DBE,DBE/C,NOSC,AI-mod,Column3,Spearmans',ChlA,î(280 nm) L/mg*cm,î(350 nm) L/mg*cm,Slope 350-400,Slope 275-295,SR (Smaller:Larger),E2:E3 (A 250:365 nm),Column4,Column5,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,Column6
1423,C17H16O13,17,16,0,13,0,0,427.0518134,NA,NA,2944,NA,1368.4,NA,4475.4,4,1,,0,0.764705882,0.941176471,10,,0.588235294,0.333333333,,,-0.837255482,0.101902914,-0.080051546,0.870102732,-0.219896795,-0.909476922,0.220441438,,,0,0,3,0,0,0,3
2606,C21H22O11,21,22,0,11,0,0,449.1089342,41107.9,NA,NA,38141.7,NA,32120.6,NA,4,2,,0,0.523809524,1.047619048,11,,0,0.35483871,,,-0.054714693,-0.993226124,-0.99503106,0.997625401,0.997009849,0.97285238,0.996150451,,,0,0,3,0,0,0,3
3319,C23H22O16,23,22,0,16,0,0,553.0835072,4801.7,NA,NA,957.6,NA,1221.7,NA,4,2,,0,0.695652174,0.956521739,13,,0.434782609,0.333333333,,,-0.740399115,-0.625220323,-0.638189409,0.758365894,0.655256958,0.529771082,0.770513974,,,0,0,3,0,0,0,3
4380,C26H28O16,26,28,0,16,0,0,595.1304572,9355.7,NA,NA,8107.2,NA,NA,6363.2,4,2,,0,0.615384615,1.076923077,13,,0.153846154,0.277777778,,,0.046736888,-0.957795312,-0.962754859,0.996761324,0.976960414,0.939103381,0.998656119,,,0,0,3,0,0,0,3
4260,C26H8O18,26,8,0,18,0,0,606.9637864,NA,NA,9032.7,23376.8,693.5,2754,NA,3,1,,0,0.692307692,0.307692308,23,,1.076923077,0.823529412,,,0.837281017,-0.824866426,-0.792077587,0.790687402,0.884808252,-0.024921219,0.803586745,,,1,0,0,0,0,0,1
4661,C27H26O17,27,26,0,17,0,0,621.1097218,4232.2,NA,NA,1644.3,NA,1945.4,NA,4,2,,0,0.62962963,0.962962963,15,,0.296296296,0.351351351,,,-0.76991418,-0.589444564,-0.602876387,0.728246491,0.620578323,0.491044114,0.741030916,,,0,0,3,0,0,0,3
4723,C27H30O15,27,30,0,15,0,0,593.1511926,12213.2,NA,NA,9876.2,NA,9375.7,NA,4,2,,0,0.555555556,1.111111111,13,,0,0.282051282,,,-0.569696851,-0.785151547,-0.795402365,0.885853086,0.808765303,0.707431596,0.894438533,,,0,0,3,0,0,0,3
4755,C27H32O14,27,32,0,14,0,0,579.171928,16290.5,NA,13399.6,NA,NA,NA,10466.4,4,2,,0,0.518518519,1.185185185,12,,-0.148148148,0.25,,,-0.960598789,-0.936820328,-0.933281644,0.863921183,0.982764316,0.7176999,0.988564907,,,0,0,3,0,0,0,3
4785,C27H34O18,27,34,0,18,0,0,645.1672364,2626.8,921.5,NA,NA,NA,NA,891.4,4,2,,0,0.666666667,1.259259259,11,,0.074074074,0.111111111,,,-0.687633011,-0.58281991,-0.600370729,0.969398074,0.670910742,0.302930686,0.810972148,,,0,0,3,0,0,0,3
5021,C28H30O17,28,30,0,17,0,0,637.1410218,8895.1,NA,NA,2796.4,NA,NA,4860.9,4,2,,0,0.607142857,1.071428571,14,,0.142857143,0.282051282,,,-0.790363483,-0.315587532,-0.332409271,0.507375655,0.387174813,0.258873452,0.531856126,,,0,0,3,0,0,0,3
