File_num,Category,Sample_Number,Sample_Time,amt_sampled_cm3,Quant_category,Extracted_Chla,Bulk_HB,T_O_D,Usable,Event,,,,,,,,,,
,Sample,g27,7/24/2019 13:59,2016,1,0.725469902,4.40E+09,Day,T,,,,,,,,,,,
,Sample,g32,7/27/2019 6:08,2000,1,,,Night,T,,,,,,,,,,,
,Sample,g33,7/27/2019 14:13,2000,1,0.656432382,1.50E+09,Day,T,,,,,,,,,,,
,Sample,g36,7/30/2019 13:34,2000,1,1.589375316,2.90E+09,Day,T,,,,,,,,,,,
,Sample,g38,7/31/2019 13:56,2000,1,2.848445838,1.50E+09,Day,T,,,,,,,,,,,
,Sample,g41,8/2/2019 6:13,2000,1,,,Night,T,,,,,,,,,,,
,Sample,g43,8/2/2019 13:36,2000,1,17.464382,7.60E+09,Day,T,,,,,,,,,,,
,Sample,g46,8/3/2019 13:50,2100,2,18.74240276,5.00E+09,Day,T,Peak Chla,,,,,,,,,,
,Sample,g48,8/4/2019 13:41,2000,2,6.753826262,4.20E+09,Day,T,,,,,,,,,,,
,Sample,g49,8/5/2019 13:34,2000,2,14.61165707,4.60E+09,Day,T,,,,,,,,,,,
,Sample,g50,8/6/2019 5:20,2000,2,,,Night,T,,,,,,,,,,,
,Sample,g52,8/6/2019 13:39,2000,2,4.327583712,9.60E+09,Day,T,,,,,,,,,,,
,Sample,g53,8/7/2019 14:01,2000,2,4.946981612,1.30E+10,Day,T,Peak HB,,,,,,,,,,
,Sample,g56,8/8/2019 5:46,2000,2,,,Night,T,,,,,,,,,,,
,Sample,g57,8/8/2019 13:37,2000,2,6.133715181,4.80E+09,Day,T,,,,,,,,,,,
,Sample,g58,8/9/2019 13:52,2000,2,5.958272598,4.50E+09,Day,T,,,,,,,,,,,
,Sample,g60,8/10/2019 5:40,2000,2,,,Night,T,,,,,,,,,,,
,Sample,g61,8/10/2019 13:45,2700,2,6.524895086,6.00E+09,Day,T,,,,,,,,,,,
,Sample,g62,8/11/2019 13:45,2000,2,2.945795076,4.90E+09,Day,T,,,,,,,,,,,
,Sample,g63,8/12/2019 5:01,2000,2,,,Night,T,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
GCxGC_20200803_1001,,,,,,,,,,,,,,,,,,,,
GCxGC_20200803_1151,,,,,,,,,,,,,,,,,,,,
GCxGC_20200803_1342,,,,,,,,,,,,,,,,,,,,
GCxGC_20200803_1535,,,,,,,,,,,,,,,,,,,,
GCxGC_20200803_1728,,,,,,,,,,,,,,,,,,,,
GCxGC_20200803_2259,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_0048,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_0238,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_0427,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_0616,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_0806,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_0955,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_1145,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_1348,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_1538,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_1728,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_1918,,,,,,,,,,,,,,,,,,,,
GCxGC_20200804_2107,,,,,,,,,,,,,,,,,,,,
GCxGC_20200805_0234,,,,,,,,,,,,,,,,,,,,
GCxGC_20200805_0423,,,,,,,,,,,,,,,,,,,,
GCxGC_20200805_0612,,,,,,,,,,,,,,,,,,,,
GCxGC_20200805_0801,,,,,,,,,,,,,,,,,,,,
GCxGC_20200805_0949,,,,,,,,,,,,,,,,,,,,
GCxGC_20200805_1138,,,,,,,,,,,,,,,,,,,,
GCxGC_20200805_1335,,,,,,,,,,,,,,,,,,,,
GCxGC_20200805_1524,,,,,,,,,,,,,,,,,,,,
GCxGC_20200805_1713,,,,,,,,,,,,,,,,,,,,
GCxGC_20200805_1902,,,,,,,,,,,,,,,,,,,,
GCxGC_20200806_0028,,,,,,,,,,,,,,,,,,,,
GCxGC_20200806_0217,,,,,,,,,,,,,,,,,,,,
GCxGC_20200806_0406,,,,,,,,,,,,,,,,,,,,
GCxGC_20200806_0554,,,,,,,,,,,,,,,,,,,,
GCxGC_20200806_0743,,,,,,,,,,,,,,,,,,,,
GCxGC_20200806_0932,,,,,,,,,,,,,,,,,,,,
GCxGC_20200806_1121,,,,,,,,,,,,,,,,,,,,
GCxGC_20200806_1332,,,,,,,,,,,,,,,,,,,,
GCxGC_20200806_1522,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_0059,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_0251,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_0442,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_0633,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_0825,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_1016,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_1224,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_1416,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_1956,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_2148,,,,,,,,,,,,,,,,,,,,
GCxGC_20200819_2340,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_0132,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_0323,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_0513,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_0704,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_0854,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_1045,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_1245,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_1437,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_1821,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_2012,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_2203,,,,,,,,,,,,,,,,,,,,
GCxGC_20200820_2354,,,,,,,,,,,,,,,,,,,,
GCxGC_20200821_0145,,,,,,,,,,,,,,,,,,,,
GCxGC_20200821_0336,,,,,,,,,,,,,,,,,,,,
GCxGC_20200821_0526,,,,,,,,,,,,,,,,,,,,
