BlobID,Description,Compound Name,Library RI,LRI I,Library Match Factor,Volume,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Library Name,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
1,,C14,,1400,-1,1.31E+07,,TRUE,0,38.00003206,0.989999871,488637,-,-,-1,-1,,
2,,"blob6_g48_Cyclotetrasiloxane, octamethyl-",985,992.7272727,943,7446417,,FALSE,0,22.50003408,0.579999925,366298,caice_voc_g48,C8H24O4Si4,21,296,,
3,,C12,,1200,-1,6667244,,TRUE,0,30.91669965,0.879999886,360997,-,-,-1,-1,,
4,,"blob3_g48_Cyclopentasiloxane, decamethyl-",1149,1148.93617,923,5980036,,FALSE,0,28.91669991,0.559999927,351991,caice_voc_g48,C10H30O5Si5,18,370,,
5,,"blob163_g48_Cyclopentane, 1-hexyl-3-methyl-",,1500.003193,730,5272897,,FALSE,0,38.16669871,1.099999857,298736,caice_voc_g48,C12H24,86,168,,
6,,C16,,1600,-1,4760006,,TRUE,0,44.33336457,1.059999862,290017,-,-,-1,-1,,
7,,blob16_g48_1-Dodecene,1198,1197.87234,944,5244426,,FALSE,0,30.83336633,1.019999867,264001,caice_voc_g48,C12H24,29,168,,
8,,"blob144_g48_Heptadecane, 2,6-dimethyl-",1745,1739.02851,741,4733812,,FALSE,0,37.08336551,0.939999878,263705,caice_voc_g48,C19H40,62,268,,
9,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",828,828.3333333,961,1.71E+07,,FALSE,0,14.66670176,0.709999908,257692,caice_voc_g48,C6H18O3Si3,17,222,,
10,,"blob15_g48_Pentadecane, 5-methyl-",1554,1554.054054,948,4178323,,FALSE,0,42.91669809,0.99999987,237154,caice_voc_g48,C16H34,22,226,,
12,,blob567_g48_1-Iodo-2-methylundecane,,1636.588524,723,5549257,,FALSE,0,36.50003226,0.909999882,233500,caice_voc_g48,C12H25I,232,296,,
