BlobID,Description,Compound Name,Group Name,Inclusion,LRI I,Library RI,Library Match Factor,Retention I (min),Retention II (sec),Internal Standard,Peak Value,Volume,Library Name,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
4,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",,false,827.1186440677966,828.0,935,14.66670176000025,0.6299999181000107,0,344510.0,2.0416597E7,caice_voc_g48,C6H18O3Si3,17,222,,
5,,"blob8_g48_Furan, 2-[(2-ethoxy-3,4-dimethyl-2-cyclohexen-1-ylidene)methyl]-",,false,1694.2857142857144,1694.0,917,47.0833642125008,3.4199995554000577,0,315612.0,1.7723607E7,caice_voc_g48,C15H20O2,20,232,,
41,,blob220_g48_1-Iodo-2-methylundecane,,false,1697.1428571428573,1689.0,801,47.1666975350008,2.749999642500047,0,85167.0,1.7201765E7,caice_voc_g48,C12H25I,109,296,,
33,,"blob251_g48_Heptadecane, 2,6-dimethyl-",,false,1702.7777777777778,1706.0,671,47.3333641800008,2.4899996763000423,0,95925.0,1.5186701E7,caice_voc_g48,C19H40,201,268,,
170,,blob220_g48_1-Iodo-2-methylundecane,,false,1685.7142857142858,1689.0,812,46.833364245000794,3.0899995983000523,0,44330.0,9921466.0,caice_voc_g48,C12H25I,109,296,,
2,,"blob6_g48_Cyclotetrasiloxane, octamethyl-",,false,992.7272727272727,985.0,946,22.500034075000382,0.4899999363000083,0,380786.0,7885380.0,caice_voc_g48,C8H24O4Si4,21,296,,
12,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,1636.5885242038166,,731,36.50003225500062,0.8199998934000139,0,252411.0,6152613.0,caice_voc_g48,C21H44,208,296,,
16,,blob5_g48_2-Decen-1-ol,,false,1157.4468085106382,1157.0,955,29.250033197500496,2.129999723100036,0,199759.0,5982689.0,caice_voc_g48,C10H20O,19,156,,
20,,blob88_g48_2-Ethyl-1-hexanol,,false,1088.0,1088.0,894,26.500033555000453,4.389999429300074,0,160116.0,5948491.0,caice_voc_g48,C8H18O,39,130,,
6,,"blob163_g48_Cyclopentane, 1-hexyl-3-methyl-",,false,1500.003193102435,,737,38.16669870500064,1.0099998687000171,0,316962.0,5843239.0,caice_voc_g48,C12H24,86,168,,
30,,blob154_g48_Geranylacetone_CAICE_vocstand_incomplete,,false,,,850,52.83336346500089,3.309999569700056,0,99306.0,5784122.0,caice_voc_g48,-,5,0,,
