BlobID,Description,Compound Name,LRI I,Library RI,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
1,,C14,1400,,,TRUE,0,38.00003206,0.99999987,506377,1.49E+07,-,-1,-,-1,-1,,
2,,C12,1200,,,TRUE,0,30.91669965,0.889999884,398956,8004758,-,-1,-,-1,-1,,
3,,"blob8_g48_Furan, 2-[(2-ethoxy-3,4-dimethyl-2-cyclohexen-1-ylidene)methyl]-",1694.285714,1694,,FALSE,0,47.08336421,3.509999544,346031,1.42E+07,caice_voc_g48,919,C15H20O2,20,232,,
4,,C16,1600,,,TRUE,0,44.33336457,1.059999862,345959,6137245,-,-1,-,-1,-1,,
5,,"blob9_g48_Cyclopentane, 1-hexyl-3-methyl-",1500.003193,1405,,FALSE,0,38.16669871,1.099999857,342450,6615415,caice_voc_g48,939,C12H24,25,168,,
6,,"blob6_g48_Cyclotetrasiloxane, octamethyl-",992.7272727,985,,FALSE,0,22.50003408,0.589999923,334939,6755243,caice_voc_g48,956,C8H24O4Si4,21,296,,
7,,"blob12_g48_Tridecane, 3-methyl-",1739.02851,1373,,FALSE,0,37.08336551,0.949999877,303160,6039224,caice_voc_g48,954,C14H30,26,198,,
8,,"blob14_g48_Tridecane, 5-methyl-",1636.588524,1356,,FALSE,0,36.50003226,0.91999988,280939,7179065,caice_voc_g48,954,C14H30,24,198,,
9,,"blob15_g48_Pentadecane, 5-methyl-",1554.054054,1554,,FALSE,0,42.91669809,1.009999869,281229,5122785,caice_voc_g48,952,C16H34,22,226,,
10,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",827.1186441,828,,FALSE,0,14.66670176,0.709999908,279111,1.10E+07,caice_voc_g48,944,C6H18O3Si3,17,222,,
11,,"blob3_g48_Cyclopentasiloxane, decamethyl-",1148.93617,1149,,FALSE,0,28.91669991,0.559999927,262885,3804015,caice_voc_g48,909,C10H30O5Si5,18,370,,
12,,"blob7_g48_Cyclohexasiloxane, dodecamethyl-",1417.074269,1320,,FALSE,0,35.25003242,0.579999925,260499,3687279,caice_voc_g48,927,C12H36O6Si6,23,444,,
13,,"blob18_g48_Hexadecen-1-ol, trans-9-",1611.428571,1609,,FALSE,0,44.66669786,1.189999845,247598,6662885,caice_voc_g48,923,C16H32O,27,240,,
14,,blob17_g48_1-Tetradecene,1885.371346,1400,,FALSE,0,37.91669874,1.109999856,243083,4878935,caice_voc_g48,918,C14H28,28,196,,
15,,blob16_g48_1-Dodecene,1197.87234,1198,,FALSE,0,30.83336633,1.019999867,241608,4589032,caice_voc_g48,938,C12H24,29,168,,
16,,blob5_g48_2-Decen-1-ol,1157.446809,1157,,FALSE,0,29.2500332,2.219999711,229277,6961367,caice_voc_g48,960,C10H20O,19,156,,
17,,"blob14_g48_Tridecane, 5-methyl-",1548.648649,1356,,FALSE,0,42.75003144,0.99999987,220701,3724525,caice_voc_g48,835,C14H30,24,198,,
18,,"blob19_g48_Pentadecane, 3-methyl-",1572.972973,1573,,FALSE,0,43.50003135,1.029999866,216457,4485815,caice_voc_g48,925,C16H34,30,226,,
19,,"blob25_g48_Cycloheptasiloxane, tetradecamethyl-",1555.554767,1492,,FALSE,0,41.00003167,0.599999922,169163,2308563,caice_voc_g48,908,C14H42O7Si7,38,518,,
20,,blob84_g48_Styrene_CAICE_vocstand_incomplete,925.4545455,925,,FALSE,0,19.41670114,4.009999479,152260,5378903,caice_voc_g48,909,-,2,0,,
21,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",832.2033898,828,,FALSE,0,14.91670173,0.679999912,144492,6445400,caice_voc_g48,953,C6H18O3Si3,17,222,,
22,MT,Carene,1034,,,TRUE,0,24.25003385,1.559999797,145966,2089351,-,800,-,-1,-1,,
23,,blob24_g48_2-Decen-1-ol,1259.090909,1259,,FALSE,0,33.08336603,2.209999713,142036,2422847,caice_voc_g48,919,C10H20O,36,156,,
24,,blob32_g48_Cetene,1597.297297,1597,,FALSE,0,44.25003125,1.199999844,136203,1912076,caice_voc_g48,922,C16H32,41,224,,
25,,C15,1500,,,TRUE,0,41.25003164,0.99999987,134341,2344481,-,-1,-,-1,-1,,
26,,"blob172_g48_1,4-Dioxin, 2,3-dihydro-5,6-dimethyl-",849.1525424,850,,FALSE,0,15.75003495,3.22999958,125996,4414601,caice_voc_g48,835,C6H10O2,55,114,,
27,,blob21_g48_1-Undecene,1098,1098,,FALSE,0,26.91670017,0.969999874,127891,2044267,caice_voc_g48,925,C11H22,34,154,,
28,,blob20_g48_1-Decene,996.3636364,996,,FALSE,0,22.66670072,0.929999879,121449,1739257,caice_voc_g48,950,C10H20,32,140,,
29,,"blob124_g48_2-Dodecene, (Z)-",1209.090909,1209,,FALSE,0,31.25003294,1.029999866,117747,1145345,caice_voc_g48,885,C12H24,90,168,,
30,,C13,1300,,,TRUE,0,34.58336584,0.909999882,118234,1156062,-,-1,-,-1,-1,,
31,,"blob80_g48_Octadecane, 2,6-dimethyl-",1532.432432,1532,,FALSE,0,42.25003151,0.979999873,108951,1767773,caice_voc_g48,916,C20H42,45,282,,
32,,"blob124_g48_2-Dodecene, (Z)-",1220.454545,1209,,FALSE,0,31.66669955,1.049999864,107471,1158727,caice_voc_g48,907,C12H24,90,168,,
33,,"blob83_g48_Tetradecane, 4-ethyl-",1537.837838,1538,,FALSE,0,42.41669815,0.989999871,104189,1086047,caice_voc_g48,894,C16H34,47,226,,
34,,"blob30_g48_Octane, 2,2,6-trimethyl-",961.8181818,962,,FALSE,0,21.08336759,0.699999909,101511,1256270,caice_voc_g48,924,C11H24,43,156,,
