BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response
1,,C14,,TRUE,0,38.08340872,0.939999812,1614755,2.26E+07,-,-1,-,-1,-1,,,
2,,"blob6_g48_Cyclotetrasiloxane, octamethyl-",,FALSE,0,22.58341182,0.559999888,1453446,1.64E+07,caice_voc_g48,932,C8H24O4Si4,21,296,985,,
3,,"blob3_g48_Cyclopentasiloxane, decamethyl-",,FALSE,0,29.08341052,0.579999884,1367105,1.64E+07,caice_voc_g48,948,C10H30O5Si5,18,370,1149,,
4,,"blob3_g48_Cyclopentasiloxane, decamethyl-",,FALSE,0,29.0000772,0.4999999,1425643,1.32E+07,caice_voc_g48,815,C10H30O5Si5,18,370,1149,,
5,,"blob87_g48_Phthalic acid, ethyl hex-2-yn-4-yl ester",,FALSE,0,47.41674018,2.359999528,1286071,6.58E+07,caice_voc_g48,853,C16H18O4,33,274,1703,,
6,,"blob123_g48_Cyclopentene, 1-ethenyl-3-methylene-",,FALSE,0,19.33341247,2.69999946,1119807,2.76E+07,caice_voc_g48,872,C8H10,49,106,922,,
7,,"blob7_g48_Cyclohexasiloxane, dodecamethyl-",,FALSE,0,35.33340927,0.539999892,1192519,8100428,caice_voc_g48,506,C12H36O6Si6,23,444,1320,,
8,,C12,,TRUE,0,31.0000768,0.819999836,1130889,8473576,-,-1,-,-1,-1,,,
9,,"blob8_g48_Furan, 2-[(2-ethoxy-3,4-dimethyl-2-cyclohexen-1-ylidene)methyl]-",,FALSE,0,47.16674023,3.39999932,1047373,1.63E+07,caice_voc_g48,979,C15H20O2,20,232,1694,,
10,,blob177_g48_1-Iodo-2-methylundecane,,FALSE,0,41.25007475,0.79999984,1108415,1.17E+07,caice_voc_g48,798,C12H25I,114,296,1508,,
11,,C16,,TRUE,0,44.41674078,1.019999796,1086674,1.35E+07,-,-1,-,-1,-1,,,
12,,"blob283_g48_Cyclopropane, 1-heptyl-2-methyl-",,FALSE,0,41.25007475,1.119999776,1058191,1.29E+07,caice_voc_g48,763,C11H22,135,154,1532,,
13,,"blob36_g48_2,2,7,7-Tetramethyloctane",,FALSE,0,23.91674488,0.659999868,960576,1.01E+07,caice_voc_g48,894,C12H26,42,170,1024,,
14,,"blob30_g48_Octane, 2,2,6-trimethyl-",,FALSE,0,21.16674543,0.659999868,921182,9230707,caice_voc_g48,890,C11H24,43,156,962,,
15,,"blob219_g48_1-Octanol, 2,2-dimethyl-",,FALSE,0,44.66674073,1.019999796,911746,1.39E+07,caice_voc_g48,790,C10H22O,136,158,1609,,
16,,"blob250_g48_Oxalic acid, isohexyl neopentyl ester",,FALSE,0,34.0000762,0.739999852,921520,5148026,caice_voc_g48,817,C13H24O4,243,244,1282,,
17,,blob5_g48_2-Decen-1-ol,,FALSE,0,29.33341047,2.139999572,815613,1.22E+07,caice_voc_g48,966,C10H20O,19,156,1157,,
18,,"blob15_g48_Pentadecane, 5-methyl-",,FALSE,0,42.91674108,0.959999808,811390,3.50E+07,caice_voc_g48,853,C16H34,22,226,1554,,
19,,"blob144_g48_Heptadecane, 2,6-dimethyl-",,FALSE,0,40.16674163,0.879999824,804528,2.42E+07,caice_voc_g48,783,C19H40,62,268,1745,,
20,,C15,,TRUE,0,41.33340807,0.959999808,831155,1.36E+07,-,-1,-,-1,-1,,,
21,,"blob19_g48_Pentadecane, 3-methyl-",,FALSE,0,43.5000743,0.979999804,817372,1.54E+07,caice_voc_g48,841,C16H34,30,226,1573,,
22,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",,FALSE,0,14.75008005,0.659999868,794983,2.37E+07,caice_voc_g48,963,C6H18O3Si3,17,222,828,,
23,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,41.0000748,0.839999832,826598,1.74E+07,caice_voc_g48,754,C21H44,208,296,,,
24,,blob16_g48_1-Dodecene,,FALSE,0,30.91674348,0.959999808,810390,6097082,caice_voc_g48,956,C12H24,29,168,1198,,
25,,C10,,TRUE,0,22.91674508,0.719999856,807620,6991537,-,-1,-,-1,-1,,,
26,,"blob163_g48_Cyclopentane, 1-hexyl-3-methyl-",,FALSE,0,38.25007535,1.039999792,780598,5952248,caice_voc_g48,736,C12H24,86,168,,,
27,,"blob132_g48_2-Tetradecene, (E)-",,FALSE,0,35.41674258,0.879999824,761963,5653947,caice_voc_g48,736,C14H28,92,196,1423,,
28,,"blob142_g48_Octane, 2,3,6,7-tetramethyl-",,FALSE,0,24.58341142,0.69999986,756359,8452958,caice_voc_g48,859,C12H26,67,170,1040,,
29,,"blob144_g48_Heptadecane, 2,6-dimethyl-",,FALSE,0,37.16674223,0.879999824,725508,8304736,caice_voc_g48,741,C19H40,62,268,1745,,
30,,"blob259_g48_9-Octadecene, (E)-",,FALSE,0,43.16674103,0.939999812,709407,1.03E+07,caice_voc_g48,716,C18H36,247,252,,,
31,,blob318_g48_1-Hexadecanol,,FALSE,0,38.0000754,1.059999788,710455,5296763,caice_voc_g48,742,C16H34O,172,242,,,
32,,blob318_g48_1-Hexadecanol,,FALSE,0,40.000075,1.139999772,699733,4890686,caice_voc_g48,794,C16H34O,172,242,,,
33,,C13,,TRUE,0,34.66674273,0.859999828,723341,4198772,-,-1,-,-1,-1,,,
34,,"blob170_g48_Cyclopentane, undecyl-",,FALSE,0,46.33340707,1.239999752,684406,1.03E+07,caice_voc_g48,838,C16H32,93,224,1666,,
35,,"blob134_g48_Heptane, 5-ethyl-2,2,3-trimethyl-",,FALSE,0,25.41674458,0.719999856,694562,9369895,caice_voc_g48,883,C12H26,57,170,1060,,
