BlobID,Description,Compound Name,LRI I,Library RI,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
3,,"blob8_g48_Furan, 2-[(2-ethoxy-3,4-dimethyl-2-cyclohexen-1-ylidene)methyl]-",1694.2857142857144,1694.0,,false,0,47.0833642125008,3.5099995437000593,346031.0,1.4219061E7,caice_voc_g48,919,C15H20O2,20,232,,
10,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",827.1186440677966,828.0,,false,0,14.66670176000025,0.709999907700012,279111.0,1.1049537E7,caice_voc_g48,944,C6H18O3Si3,17,222,,
8,,"blob14_g48_Tridecane, 5-methyl-",1636.5885242038166,1356.0,,false,0,36.50003225500062,0.9199998804000156,280939.0,7179065.0,caice_voc_g48,954,C14H30,24,198,,
16,,blob5_g48_2-Decen-1-ol,1157.4468085106382,1157.0,,false,0,29.250033197500496,2.2199997114000376,229277.0,6961367.0,caice_voc_g48,960,C10H20O,19,156,,
6,,"blob6_g48_Cyclotetrasiloxane, octamethyl-",992.7272727272727,985.0,,false,0,22.500034075000382,0.5899999233000099,334939.0,6755243.0,caice_voc_g48,956,C8H24O4Si4,21,296,,
13,,"blob18_g48_Hexadecen-1-ol, trans-9-",1611.4285714285716,1609.0,,false,0,44.66669786000076,1.1899998453000202,247598.0,6662885.0,caice_voc_g48,923,C16H32O,27,240,,
5,,"blob9_g48_Cyclopentane, 1-hexyl-3-methyl-",1500.003193102435,1405.0,,false,0,38.16669870500064,1.0999998570000187,342450.0,6615415.0,caice_voc_g48,939,C12H24,25,168,,
21,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",832.2033898305085,828.0,,false,0,14.916701727500252,0.6799999116000115,144492.0,6445400.0,caice_voc_g48,953,C6H18O3Si3,17,222,,
7,,"blob12_g48_Tridecane, 3-methyl-",1739.028509831065,1373.0,,false,0,37.08336551250063,0.949999876500016,303160.0,6039224.0,caice_voc_g48,954,C14H30,26,198,,
20,,blob84_g48_Styrene_CAICE_vocstand_incomplete,925.4545454545455,925.0,,false,0,19.416701142500333,4.009999478700068,152260.0,5378903.0,caice_voc_g48,909,-,2,0,,
