BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response,LRI I
196,,C8,,true,0,13.333411733333525,0.6399999232000092,29066.0,169654.0,-,-1,-,-1,-1,,,,800.0
131,,C9,,true,0,18.333411133333595,0.6799999184000098,68544.0,340068.0,-,-1,-,-1,-1,,,,900.0
154,,blob168_g48_Limonene_CAICE_vocstand_incomplete,,true,0,24.750077030000355,1.5399998152000223,46666.0,421523.0,caice_voc_g48,886,-,6,0,1044.0,,,1044.0
937,benzothiazole,,,true,0,34.83340915333384,0.6199999256000089,14146.0,469668.0,-,-1,-,-1,-1,,,,1330.0006789754534
137,,C18,,true,0,50.08340732333406,1.0799998704000155,61406.0,641261.0,-,-1,-,-1,-1,,,,1800.0
75,,C13,,true,0,34.66674250666717,0.8599998968000124,204464.0,730757.0,-,-1,-,-1,-1,,,,1300.0
80,,C15,,true,0,41.33340837333393,0.9599998848000139,117023.0,782604.0,-,-1,-,-1,-1,,,,1500.0
77,,C10,,true,0,22.916743916666995,0.7199999136000104,179069.0,852387.0,-,-1,-,-1,-1,,,,1000.0
82,,C17,,true,0,47.25007433000068,1.039999875200015,110051.0,940796.0,-,-1,-,-1,-1,,,,1700.0
73,,C11,,true,0,27.08341008333372,0.7799999064000113,239113.0,1291805.0,-,-1,-,-1,-1,,,,1100.0
11,,C16,,true,0,44.41674133666731,0.9999998800000144,727085.0,4839078.0,-,-1,-,-1,-1,,,,1600.0
7,,C12,,true,0,31.000076280000446,0.8399998992000121,1276675.0,9587320.0,-,-1,-,-1,-1,,,,1200.0
2,,C14,,true,0,38.083408763333885,0.9399998872000136,1617271.0,1.7500247E7,-,-1,-,-1,-1,,,,1399.999999999971
927,,"blob565_g48_4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",,false,0,15.000078200000218,3.399999592000049,720.0,20021.0,caice_voc_g48,875,C28H46O2,258,414,827.0,,,833.3333333333334
846,,blob695_g48_Z-10-Pentadecen-1-ol,,false,0,50.833407233334064,1.8399997792000264,1376.0,20035.0,caice_voc_g48,637,C15H30O,296,226,1570.0,,,
864,,"blob639_g48_Oxirane, 2-butyl-3-methyl-, cis-",,false,0,29.25007649000042,3.5799995704000516,1335.0,20052.0,caice_voc_g48,728,C7H14O,183,114,1157.0,,,1155.3191489361702
936,,blob284_g48_4-Methyl-1-heptyn-3-ol,,false,0,9.750078830000142,2.339999719200034,470.0,20101.0,caice_voc_g48,515,C8H14O,206,126,1214.0,,,
774,,blob462_g48_1-Nonene,,false,0,18.083411163333594,1.319999841600019,1823.0,20262.0,caice_voc_g48,789,C9H18,259,126,895.0,,,895.0
856,,blob378_g48_Dodecanal,,false,0,52.33340705333409,2.639999683200038,1471.0,20343.0,caice_voc_g48,661,C12H24O,163,184,,,,
906,,blob229_g48_1-Iodo-2-methylundecane,,false,0,53.50007358000077,0.47999994240000693,940.0,20451.0,caice_voc_g48,633,C12H25I,138,296,,,,
898,,"blob650_g48_Benzene, (1-methylundecyl)-",,false,0,31.000076280000446,2.239999731200032,1093.0,20509.0,caice_voc_g48,722,C18H30,263,246,,,,1200.0
920,,blob294_g48_2-Ethylbutyl acrylate,,false,0,25.08341032333369,1.799999784000026,822.0,20587.0,caice_voc_g48,613,C9H16O2,168,156,1052.0,,,1052.0
