,r_date,Compound.Name,volume_tot,File_num,Category,Sample_Number,Sample_Time,amt_sampled_cm3,Quant_category,cal_curve,Extracted_Chla,Bulk_HB,T_O_D,Usable,Event,Isoprene,DMS,quant.proxy,quant_mw,keep,Class_SV,Class,quant.factor,vol_ng,vol_ng_per_L,vol_mol_per_L,vol_ppt,vol_ppt.max,vol_ppt.mean,vol_ppt.sd,vol_zscore,quant.proxy.f
1,7/24/2019 13:59,benzothiazole,304143,NA,Sample,g27,7/24/2019 13:59,2016,2,cc_1,0.725469902,4.40E+09,Day,TRUE,NA,88.13144922,545.3987532,benzothiazole,135,1,,Anthropogenic,1480000,0.205502027,0.101935529,7.55E-13,18.89831857,101.3456997,54.36421527,18.25211068,-1.943112077,benzothiazole
2,7/27/2019 6:08,benzothiazole,617463,NA,Sample,g32,7/27/2019 6:08,2000,2,cc_1,NA,NA,Night,TRUE,NA,NA,NA,benzothiazole,135,1,,Anthropogenic,1480000,0.41720473,0.208602365,1.55E-12,38.6737968,101.3456997,54.36421527,18.25211068,-0.859649535,benzothiazole
3,7/27/2019 14:13,benzothiazole,753121,NA,Sample,g33,7/27/2019 14:13,2000,2,cc_1,0.656432382,1.50E+09,Day,TRUE,NA,72.6683188,544.9323524,benzothiazole,135,1,,Anthropogenic,1480000,0.508865541,0.25443277,1.88E-12,47.17051633,101.3456997,54.36421527,18.25211068,-0.394129702,benzothiazole
4,7/30/2019 13:34,benzothiazole,1618078,NA,Sample,g36,7/30/2019 13:34,2000,2,cc_1,1.589375316,2.90E+09,Day,TRUE,NA,74.15873822,1043.205119,benzothiazole,135,1,,Anthropogenic,1480000,1.093295946,0.546647973,4.05E-12,101.3456997,101.3456997,54.36421527,18.25211068,2.574030219,benzothiazole
5,7/31/2019 13:56,benzothiazole,1050936,NA,Sample,g38,7/31/2019 13:56,2000,2,cc_1,2.848445838,1.50E+09,Day,TRUE,NA,95.00765472,662.9942308,benzothiazole,135,1,,Anthropogenic,1480000,0.710091892,0.355045946,2.63E-12,65.8236774,101.3456997,54.36421527,18.25211068,0.627843121,benzothiazole
6,8/2/2019 6:13,benzothiazole,1103360,NA,Sample,g41,8/2/2019 6:13,2000,2,cc_1,NA,NA,Night,TRUE,NA,NA,NA,benzothiazole,135,1,,Anthropogenic,1480000,0.745513514,0.372756757,2.76E-12,69.10716989,101.3456997,54.36421527,18.25211068,0.807739712,benzothiazole
7,8/2/2019 13:36,benzothiazole,1142130,NA,Sample,g43,8/2/2019 13:36,2000,2,cc_1,17.464382,7.60E+09,Day,TRUE,NA,127.0858557,1109.233806,benzothiazole,135,1,,Anthropogenic,1480000,0.771709459,0.38585473,2.86E-12,71.53546616,101.3456997,54.36421527,18.25211068,0.940781655,benzothiazole
8,8/3/2019 13:50,benzothiazole,298509,NA,Sample,g46,8/3/2019 13:50,2100,1,cc_2,18.74240276,5.00E+09,Day,TRUE,Peak Chla,147.6030624,2349.124021,benzothiazole,135,1,,Anthropogenic,809000,0.368985167,0.175707222,1.30E-12,32.57520794,101.3456997,54.36421527,18.25211068,-1.193780144,benzothiazole
9,8/4/2019 13:41,benzothiazole,472686,NA,Sample,g48,8/4/2019 13:41,2000,1,cc_2,6.753826262,4.20E+09,Day,TRUE,NA,136.2025878,2394.003097,benzothiazole,135,1,,Anthropogenic,809000,0.584284302,0.292142151,2.16E-12,54.16163995,101.3456997,54.36421527,18.25211068,-0.011098734,benzothiazole
10,8/5/2019 13:34,benzothiazole,525442,NA,Sample,g49,8/5/2019 13:34,2000,1,cc_2,14.61165707,4.60E+09,Day,TRUE,NA,148.6083984,5692.278278,benzothiazole,135,1,,Anthropogenic,809000,0.649495674,0.324747837,2.41E-12,60.20656507,101.3456997,54.36421527,18.25211068,0.320091737,benzothiazole
11,8/6/2019 5:20,benzothiazole,473234,NA,Sample,g50,8/6/2019 5:20,2000,1,cc_2,NA,NA,Night,TRUE,NA,NA,NA,benzothiazole,135,1,,Anthropogenic,809000,0.584961681,0.292480841,2.17E-12,54.22443127,101.3456997,54.36421527,18.25211068,-0.007658511,benzothiazole
12,8/6/2019 13:39,benzothiazole,564827,NA,Sample,g52,8/6/2019 13:39,2000,1,cc_2,4.327583712,9.60E+09,Day,TRUE,NA,140.8109537,2019.564183,benzothiazole,135,1,,Anthropogenic,809000,0.698179234,0.349089617,2.59E-12,64.71940486,101.3456997,54.36421527,18.25211068,0.567342034,benzothiazole
13,8/7/2019 14:01,benzothiazole,491747,NA,Sample,g53,8/7/2019 14:01,2000,1,cc_2,4.946981612,1.30E+10,Day,TRUE,Peak HB,108.8098627,2056.75868,benzothiazole,135,1,,Anthropogenic,809000,0.607845488,0.303922744,2.25E-12,56.34570087,101.3456997,54.36421527,18.25211068,0.108561998,benzothiazole
14,8/8/2019 5:46,benzothiazole,417341,NA,Sample,g56,8/8/2019 5:46,2000,1,cc_2,NA,NA,Night,TRUE,NA,NA,NA,benzothiazole,135,1,,Anthropogenic,809000,0.515872682,0.257936341,1.91E-12,47.8200602,101.3456997,54.36421527,18.25211068,-0.358542372,benzothiazole
15,8/9/2019 13:52,benzothiazole,542180,NA,Sample,g58,8/9/2019 13:52,2000,1,cc_2,5.958272598,4.50E+09,Day,TRUE,NA,93.58390837,2492.310916,benzothiazole,135,1,,Anthropogenic,809000,0.670185414,0.335092707,2.48E-12,62.12445037,101.3456997,54.36421527,18.25211068,0.425169189,benzothiazole
16,8/10/2019 5:40,benzothiazole,469668,NA,Sample,g60,8/10/2019 5:40,2000,1,cc_2,NA,NA,Night,TRUE,NA,NA,NA,benzothiazole,135,1,,Anthropogenic,809000,0.58055377,0.290276885,2.15E-12,53.81582935,101.3456997,54.36421527,18.25211068,-0.030045069,benzothiazole
17,8/10/2019 13:45,benzothiazole,760494,NA,Sample,g61,8/10/2019 13:45,2700,1,cc_2,6.524895086,6.00E+09,Day,TRUE,NA,NA,1830.798989,benzothiazole,135,1,,Anthropogenic,809000,0.940042027,0.348163714,2.58E-12,64.54774724,101.3456997,54.36421527,18.25211068,0.557937225,benzothiazole
18,8/11/2019 13:45,benzothiazole,319848,NA,Sample,g62,8/11/2019 13:45,2000,1,cc_2,2.945795076,4.90E+09,Day,TRUE,NA,87.3597995,1191.172731,benzothiazole,135,1,,Anthropogenic,809000,0.395362176,0.197681088,1.46E-12,36.64904866,101.3456997,54.36421527,18.25211068,-0.970581809,benzothiazole
19,8/12/2019 5:01,benzothiazole,289532,NA,Sample,g63,8/12/2019 5:01,2000,1,cc_2,NA,NA,Night,TRUE,NA,NA,NA,benzothiazole,135,1,,Anthropogenic,809000,0.357888752,0.178944376,1.33E-12,33.17535941,101.3456997,54.36421527,18.25211068,-1.160898936,benzothiazole
