r_date,quant.proxy,vol_ppt,vol_ppt_vocus
7/24/2019 13:59,benzothiazole,18.46458667,45
7/27/2019 6:08,benzothiazole,37.78620147,
7/27/2019 14:13,benzothiazole,46.08791431,68
7/30/2019 13:34,benzothiazole,99.01973284,159
7/31/2019 13:56,benzothiazole,64.31297005,154
8/2/2019 6:13,benzothiazole,67.5211037,
8/2/2019 13:36,benzothiazole,69.89366858,157
8/3/2019 13:50,benzothiazole,31.82758022,168
8/4/2019 13:41,benzothiazole,52.91858592,156
8/5/2019 13:34,benzothiazole,58.82477505,174
8/6/2019 5:20,benzothiazole,52.97993613,
8/6/2019 13:39,benzothiazole,63.23404147,214
8/7/2019 14:01,benzothiazole,55.05252085,189
8/8/2019 5:46,benzothiazole,46.72255063,
8/9/2019 13:52,benzothiazole,60.69864331,193
8/10/2019 5:40,benzothiazole,52.58071195,
8/10/2019 13:45,benzothiazole,63.06632353,181
8/11/2019 13:45,benzothiazole,35.80792295,131
8/12/2019 5:01,benzothiazole,32.41395772,
7/24/2019 13:59,limonene,18.5074129,37
7/27/2019 6:08,limonene,133.4080467,
7/27/2019 14:13,limonene,152.1286709,204
7/30/2019 13:34,limonene,33.46732206,33
7/31/2019 13:56,limonene,25.43707665,55
8/2/2019 6:13,limonene,24.51618687,
8/2/2019 13:36,limonene,18.33329734,21
8/3/2019 13:50,limonene,9.015132543,20
8/4/2019 13:41,limonene,9.782873169,15
8/5/2019 13:34,limonene,6.949802492,22
8/6/2019 5:20,limonene,9.056036624,
8/6/2019 13:39,limonene,11.75676479,23
8/7/2019 14:01,limonene,22.37484262,29
8/8/2019 5:46,limonene,12.22848673,
8/9/2019 13:52,limonene,21.70062729,20
8/10/2019 5:40,limonene,0.886826944,
8/10/2019 13:45,limonene,14.65457396,24
8/11/2019 13:45,limonene,13.53151428,26
8/12/2019 5:01,limonene,15.66346288,
