Compound.Name,My.Name.manquant,File_num,ug_per_L_corrected
20200929_1319_blob_563,Benzothiazole,GCxGC_20200929_1128,0.289990269
20200929_1319_blob_563,Benzothiazole,GCxGC_20200929_1510,0.20385955
20200929_1319_blob_563,Benzothiazole,GCxGC_20200929_1700,0.990901276
20200929_1319_blob_563,Benzothiazole,GCxGC_20200929_1850,0.219389823
20200929_1319_blob_563,Benzothiazole,GCxGC_20200930_1205,1.535345239
20200929_1319_blob_563,Benzothiazole,GCxGC_20200930_1357,0.913504274
20200929_1128_blob_5,methylthio btz,GCxGC_20200929_1128,0.964510813
20200929_1128_blob_5,methylthio btz,GCxGC_20200929_1510,0.269089687
20200929_1128_blob_5,methylthio btz,GCxGC_20200929_1700,1.356872289
20200929_1128_blob_5,methylthio btz,GCxGC_20200929_1850,0.888952517
20200929_1128_blob_5,methylthio btz,GCxGC_20200930_1205,0.469266849
20200929_1128_blob_5,methylthio btz,GCxGC_20200930_1357,0.583730802
20200929_1510_blob_694,butyl btz,GCxGC_20200929_1128,0.016978573
20200929_1510_blob_694,butyl btz,GCxGC_20200929_1510,0.02271245
20200929_1510_blob_694,butyl btz,GCxGC_20200929_1700,0.080130887
20200929_1510_blob_694,butyl btz,GCxGC_20200929_1850,0
20200929_1510_blob_694,butyl btz,GCxGC_20200930_1205,0.04426152
20200929_1510_blob_694,butyl btz,GCxGC_20200930_1357,0.049556907
20200929_1128_blob_255,3-Methyl-3H-benzothiazol-2-one,GCxGC_20200929_1128,0.310604323
20200929_1128_blob_255,3-Methyl-3H-benzothiazol-2-one,GCxGC_20200929_1510,0.044474704
20200929_1128_blob_255,3-Methyl-3H-benzothiazol-2-one,GCxGC_20200929_1700,0.052134424
20200929_1128_blob_255,3-Methyl-3H-benzothiazol-2-one,GCxGC_20200929_1850,0.036064746
20200929_1128_blob_255,3-Methyl-3H-benzothiazol-2-one,GCxGC_20200930_1205,0.046912351
20200929_1128_blob_255,3-Methyl-3H-benzothiazol-2-one,GCxGC_20200930_1357,0.098211941
20200929_1128_blob_654,2(3H)-Benzothiazolone,GCxGC_20200929_1128,0.016396584
20200929_1128_blob_654,2(3H)-Benzothiazolone,GCxGC_20200929_1510,0.012444463
20200929_1128_blob_654,2(3H)-Benzothiazolone,GCxGC_20200929_1700,0.047887622
20200929_1128_blob_654,2(3H)-Benzothiazolone,GCxGC_20200929_1850,0.08319363
20200929_1128_blob_654,2(3H)-Benzothiazolone,GCxGC_20200930_1205,0.036966544
20200929_1128_blob_654,2(3H)-Benzothiazolone,GCxGC_20200930_1357,0.032103534
20200929_1128_blob_747,phenylbenzothiazole,GCxGC_20200929_1128,0.009347131
20200929_1128_blob_747,phenylbenzothiazole,GCxGC_20200929_1510,0.004227228
20200929_1128_blob_747,phenylbenzothiazole,GCxGC_20200929_1700,0.0118959
20200929_1128_blob_747,phenylbenzothiazole,GCxGC_20200929_1850,0
20200929_1128_blob_747,phenylbenzothiazole,GCxGC_20200930_1205,0
20200929_1128_blob_747,phenylbenzothiazole,GCxGC_20200930_1357,0
