Sample,Date_time,Amt_sampled,BenzothiazoleRaw,quant_factor_vol_ng,ng_based_on_quant_factor,ng_normalized_to_2000_ml_sample,Dark_light
g27,7/24/2019 13:59,2016,304143,1476000,0.206058943,0.204423555,Light
g32,7/27/2019 6:08,2000,617463,1476000,0.418335366,0.418335366,Dark
g33,7/27/2019 14:13,2000,753121,1476000,0.51024458,0.51024458,Light
g36,7/30/2019 13:34,2000,1618078,1476000,1.096258808,1.096258808,Light
g38,7/31/2019 13:56,2000,1050936,1476000,0.71201626,0.71201626,Light
g41,8/2/2019 6:13,2000,1103360,1476000,0.747533875,0.747533875,Dark
g43,8/2/2019 13:36,2000,1142130,1476000,0.773800813,0.773800813,Light
g46,8/3/2019 13:50,2100,298509,809200.5,0.368893741,0.351327373,Light
g48,8/4/2019 13:41,2000,472686,809200.5,0.58413953,0.58413953,Light
g49,8/5/2019 13:34,2000,525442,809200.5,0.649334745,0.649334745,Light
g50,8/6/2019 5:20,2000,473234,809200.5,0.584816742,0.584816742,Dark
g52,8/6/2019 13:39,2000,564827,809200.5,0.698006242,0.698006242,Light
g53,8/7/2019 14:01,2000,491747,809200.5,0.607694879,0.607694879,Light
g56,8/8/2019 5:46,2000,417341,809200.5,0.515744862,0.515744862,Dark
g57,8/8/2019 13:37,2000,1890153,809200.5,2.335827771,2.335827771,Light
g58,8/9/2019 13:52,2000,542180,809200.5,0.670019359,0.670019359,Light
g60,8/10/2019 5:40,2000,469668,809200.5,0.580409923,0.580409923,Dark
g61,8/10/2019 13:45,2700,760490,809200.5,0.939804165,0.696151233,Light
g62,8/11/2019 13:45,2000,319848,809200.5,0.395264215,0.395264215,Light
g63,8/12/2019 5:01,2000,289532,809200.5,0.357800076,0.357800076,Dark
