File_num,Category,Filter_num,Filter_punches,IOP,AMZ_date,T_O_D,Date_num,Internal_load,Cal_Point_number,Run_date,Run_date_num,Cal_Point
GCxGC_20181127_1640,standard,0,1,0,3/13/2013 6:00,NaN,41711.75,12,4,11/27/2018,43431,Cal_pt_4
GCxGC_20181127_1834,standard,0,1,0,3/13/2013 6:00,NaN,41712.25,12,3,11/27/2018,43431,Cal_pt_3
GCxGC_20181127_2026,standard,0,1,0,3/13/2013 6:00,NaN,41712.75,12,5,11/27/2018,43431,Cal_pt_5
GCxGC_20181127_2218,standard,0,1,0,3/13/2013 6:00,NaN,41713.25,12,6,11/27/2018,43431,Cal_pt_6
GCxGC_20181128_0011,standard,0,1,0,3/13/2013 6:00,NaN,41713.75,12,2,11/27/2018,43431,Cal_pt_2
GCxGC_20181201_1254,standard,0,1,0,3/13/2013 6:00,NaN,41714.25,12,6,12/1/2018,43435,Cal_pt_6
GCxGC_20181201_1719,standard,0,1,0,3/13/2013 6:00,NaN,41714.75,12,5,12/1/2018,43435,Cal_pt_5
GCxGC_20181201_1910,standard,0,1,0,3/13/2013 6:00,NaN,41715.25,12,2,12/1/2018,43435,Cal_pt_2
GCxGC_20181201_2104,standard,0,1,0,3/13/2013 6:00,NaN,41715.75,12,4,12/1/2018,43435,Cal_pt_4
GCxGC_20181204_1626,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,6,12/4/2018,43438,Cal_pt_6
GCxGC_20181204_1819,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,2,12/4/2018,43438,Cal_pt_2
GCxGC_20181204_2010,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,5,12/4/2018,43438,Cal_pt_5
GCxGC_20181204_2201,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,3,12/4/2018,43438,Cal_pt_3
GCxGC_20181204_2352,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,4,12/4/2018,43438,Cal_pt_4
GCxGC_20181210_1223,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,6,12/10/2018,43444,Cal_pt_6
GCxGC_20181210_1606,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,5,12/10/2018,43444,Cal_pt_5
GCxGC_20181210_1756,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,2,12/10/2018,43444,Cal_pt_2
GCxGC_20181210_1946,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,4,12/10/2018,43444,Cal_pt_4
GCxGC_20181210_2137,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,3,12/10/2018,43444,Cal_pt_3
GCxGC_20181218_2025,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,6,12/19/2018,43453,Cal_pt_6
GCxGC_20181219_0008,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,5,12/19/2018,43453,Cal_pt_5
GCxGC_20181219_0200,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,2,12/19/2018,43453,Cal_pt_2
GCxGC_20181219_0351,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,4,12/19/2018,43453,Cal_pt_4
GCxGC_20181219_0543,standard,0,1,0,3/13/2013 6:00,NaN,41716.25,12,3,12/19/2018,43453,Cal_pt_3
