BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
1,pentaerythritol-C13,,,,true,1525.274725274725,1525.0,26,amzi0503_b,0,974,974,97.83999633789062,,104,36.42456916317189,0.5110685830789882,7683.859687140677,84552.01880701067,,,0.0,0.0,8.47291360228157
2,C16 Acid,,,,true,2078.5185185185187,2079.0,42,amze_unnamedsesq_1,0,958,958,78.7300033569336,,6,52.985362461329814,0.6814247774386509,3973.5900741787627,69977.1188885029,,,0.0,0.0,1.5094832958352717
4,"d-C15 alcohol, TMS",,,,true,1868.9189189189187,1869.0,4,amzi0503_b,0,935,935,86.19000244140625,,9,47.24836709245293,0.531110488297772,3826.0550843183883,50498.597833212676,,,0.0,0.0,1.96124728969379
6,dC20,,,,true,2000.0,2000.0,14,amzi0503_b,0,951,951,98.83999633789062,,6,50.95829076432665,0.5110685830789882,2560.7690875730477,46358.326111705064,,,0.0,0.0,1.0
5,C18 Acid,,,,true,2279.674796747968,2281.0,44,amze_unnamedsesq_1,0,952,952,84.54000091552734,,10,57.99567175014895,0.6814247774386509,3072.7075469512492,45610.24229269916,,,0.0,0.0,1.032354579178969
10,dC22,,,,true,2200.0,2200.0,15,amzi0503_b,0,855,859,98.06999969482422,,10,56.12158659631584,0.531110488297772,1845.2904659621418,44180.79137981153,,,0.0,0.0,1.0
7,dC24,,,,true,2400.0,2400.0,16,amzi0503_b,0,943,943,64.93000030517578,,7,60.82592279879488,0.5511523935165559,2218.9235406513326,42038.01183995109,,,0.0,0.0,1.0
474,1128_0203_blob_604,,,,true,3227.906976744186,3223.0,10,fb_amz_compiled_t,0,850,860,96.80000305175781,,20,77.00424973902767,1.2726609813927745,808.0650168145658,31101.7706266433,,,0.0,0.0,2.8676817962143133
579,1128_0203_blob_682,,,,true,2892.9292929292924,2885.0,60,fb_amz_compiled_t,0,847,858,98.98999786376953,,12,70.9995279196032,1.9140019483938577,288.9378166727256,26903.258434351355,,,0.0,0.0,1.775969020035906
84,1128_0203_blob_593,,,,true,3469.565217391305,3465.0,9,fb_amz_compiled_t,0,867,878,85.16000366210938,,44,81.058393133034,1.1423885974706793,879.9105102007743,26744.01431528652,,,0.0,0.0,2.5377218118818825
9,dC18,,,,true,1800.0,1800.0,13,amzi0503_b,0,881,881,98.76000213623047,,9,45.297788667034794,0.5010476304695962,1982.6677684593014,25748.2052867984,,,0.0,0.0,1.0
11,dC26,,,,true,2599.9999999999995,2600.0,17,amzi0503_b,0,937,940,63.689998626708984,,11,65.1860392791413,0.5611733461259478,1808.2120547955856,24140.360568350523,,,0.0,0.0,1.0
8,d-C6diacid,,,,true,1524.1758241758241,1524.0,6,amzi0503_b,0,957,957,96.52999877929688,,104,36.386322527379384,1.0121162135485844,2080.2330683809705,23221.635124697343,,,0.0,0.0,2.327027915966846
77,d-cholestane,,,,true,2913.1313131313136,2913.0,8,amzi0503_b,0,930,930,78.12000274658203,,17,71.38199427752834,0.8217181139701378,902.9493936288636,16725.380267894656,,,0.0,0.0,1.0795544813045543
17,dC30,,,,true,3000.0,3000.0,19,amzi0503_b,0,948,948,63.290000915527344,,17,73.02659961660636,0.5912362039541236,1166.5936759531032,15492.854281595297,,,0.0,0.0,1.0
12,dC28,,,,true,2800.0,2800.0,18,amzi0503_b,0,939,939,63.689998626708984,,12,69.24018267314763,0.5711942987353397,1365.1566352686496,15148.495345829531,,,0.0,0.0,1.0
15,"d-C22 acid, TMS",,,,true,2647.1698113207544,2647.0,5,amzi0503_b,0,947,947,98.80999755859375,,11,66.14220517395411,0.6914457300480428,1228.286898588296,12989.003309771462,,,0.0,0.0,0.5380616943560004
20,dC32,,,,true,3200.0,3200.0,20,amzi0503_b,0,933,933,63.290000915527344,,20,76.54529010951752,0.6212990617822993,1134.3942338057095,10845.614275510414,,,0.0,0.0,1.0
44,dC34,,,,true,3400.0,3400.0,21,amzi0503_b,0,926,926,60.970001220703125,,44,79.83450078767359,0.6513619196104751,994.6463841339573,10538.591814937401,,,0.0,0.0,1.0
554,dC36,,,,true,3600.0,3600.0,22,amzi0503_b,0,916,917,60.970001220703125,,554,83.35319128058475,0.7415504930950024,791.684033131678,10059.189224959027,,,0.0,0.0,1.0
13,"d-C10 acid, TMS",,,,true,1465.934065934066,1466.0,3,amzi0503_b,0,945,945,97.54000091552734,,719,34.35925083037622,0.7215085878762186,1337.2926394478418,9983.879991960706,,,0.0,0.0,32.407644514545005
104,dC16,,,,true,1600.0,1600.0,12,amzi0503_b,0,899,899,98.68000030517578,,104,39.02534039706275,0.5010476304695962,896.0339434524067,9979.096067289374,,,0.0,0.0,1.0
557,d-pyrene,,,,true,2165.9259259259256,2167.0,10,amzi0503_b,0,935,935,97.23999786376953,,10,55.241913973088046,1.2425981235645986,511.80687044374645,8835.375513558422,,,0.0,0.0,0.19998228274371194
556,MBTCA,,,,true,1775.609756097561,1777.0,32,amze_unnamedsesq_1,0,930,930,98.08000183105469,,9,44.532855951184544,0.9620114505016247,637.2773346533068,8184.353754784925,,,0.0,0.0,0.317861134926604
146,1130_1618_blob_75,,,,true,,,164,fb_amz_compiled_t,0,971,971,98.41000366210938,,554,84.76831680490771,0.07014666826574348,909.1582349855744,7865.9028473402195,,,0.0,0.0,0.7819619127775438
564,d-cholesterol,,,,true,3202.3255813953483,3200.0,9,amzi0503_b,0,910,911,98.98999786376953,,20,76.58353674531003,0.8217181139701378,415.4593088105321,7631.864023332019,,,0.0,0.0,0.7036820441387909
555,octadecanol,,,,true,2189.6296296296296,2191.0,101,amze_unnamedsesq_1,0,888,889,88.37999725341797,,10,55.85386014576825,0.531110488297772,709.0015832143836,6916.409728810039,,,0.0,0.0,0.1565478913528584
560,3-5-dimethoxyphenol,,,,true,1525.274725274725,1526.0,78,amze_unnamedsesq_1,0,931,934,98.98999786376953,,104,36.42456916317189,0.8918647822358813,453.6616245233454,5645.603083193428,,,0.0,0.0,0.5657429335407675
563,C20,,,,true,2034.074074074074,2034.0,71,amze_unnamedsesq_1,0,911,911,98.98999786376953,,6,51.83796338755443,0.4910266778602043,435.60435697901994,4817.824737738369,,,0.0,0.0,0.10392577001441626
558,vanillic acid,,,,true,1787.8048780487807,1789.0,129,amze_unnamedsesq_1,0,918,919,98.5,,9,44.915322309109676,0.8718228770170975,476.26742124557495,4529.778163289209,,,0.0,0.0,0.17592597669755702
561,Me-OH-glutatric acid (?),,,,true,1623.170731707317,1623.0,33,amze_unnamedsesq_1,0,934,935,98.68000030517578,,104,39.75202647712048,0.8217181139701378,443.341294354992,4465.927641724691,,,0.0,0.0,0.44752827426560415
576,pinic acid 1,,,,true,1691.4634146341464,1693.0,110,amze_unnamedsesq_1,0,909,909,53.5099983215332,,104,41.89383808150118,0.9720324031110167,306.88159118173644,4371.902759555996,,,0.0,0.0,0.4381060899781014
559,"hexadecanol, TMS",,,,true,1989.189189189189,1989.0,83,amze_unnamedsesq_1,0,890,891,77.41000366210938,,6,50.652317677986545,0.5110685830789882,485.7430850705132,4265.642436478516,,,0.0,0.0,0.0920145914285175
575,syringic acid,,,,true,1924.3243243243244,1925.0,123,amze_unnamedsesq_1,0,905,908,74.06999969482422,,6,48.81647915994595,0.8517809717983136,315.61731378920376,4119.997055617773,,,0.0,0.0,0.08887286063112426
586,d-anthraquinone,,,,true,2011.851851851852,2012.0,7,amzi0503_b,0,925,926,98.5,,6,51.26426385066675,1.463059080971221,260.2019013031386,4050.782228906546,,,0.0,0.0,0.08737982081462083
583,DEET,,,,true,1600.0,1600.0,29,amze_unnamedsesq_1,0,953,953,83.11000061035156,,104,39.02534039706275,1.7837295644717626,273.6170880123973,4023.849360007596,,,0.0,0.0,0.4032278407658015
585,syringaldehyde,,,,true,1725.609756097561,1727.0,122,amze_unnamedsesq_1,0,930,931,98.0,,9,42.96474388369153,1.342807649658518,277.06318492721766,4008.121773208948,,,0.0,0.0,0.1556660640446264
592,1128_0203_blob_569,,,,true,2053.333333333333,2055.0,22,fb_amz_compiled_t,0,915,915,59.31999969482422,,6,52.3351696528571,0.9119066874546652,241.50891923392192,3990.7624979884454,,,0.0,0.0,0.08608512931144884
569,ketopinic acid,,,,true,1529.6703296703297,1530.0,91,amze_unnamedsesq_1,0,930,930,98.91999816894531,,104,36.57755570634195,1.332786697049126,360.2538803447969,3839.165310698054,,,0.0,0.0,0.3847207487341975
