Name,RT1,RT2,Retention_index,d_alkane_RTI,Func_group_cat
"cis-Vaccenic Acid, TMS",57.45926515,0.688370565,2259,2259.677419,Acid
citronellol,29.32070499,0.528748405,1338,1338.828029,Alcohol
cycloisolongifolene,30.04415917,0.648465025,1355,1355.197993,Sesq
deoxycholic Acid (maybe),78.89635496,0.967709345,3347,3347.126437,Acid
dibenz(ah)anthracene,77.79213542,1.51641052,3280,3280.45977,PAH
"dimethyl Glutaric Acid, TMS",34.00411893,0.89787465,1456,1456.830601,Acid
dodecyl benzene,48.66358532,0.61853587,1920,1920.805369,Benz
"eicosanol, TMS",60.54346457,0.548701175,2390,2390.322581,Alcohol
ergosterol,78.05867117,0.83801634,3296,3296.551724,Alcohol
farnesol,46.15053394,0.548701175,1832,1832.214765,Alcohol
galactosan,41.61942614,0.83801634,1684,1684.146341,Sugar
gamma dodecalactone,42.4190334,1.89551315,1709,1709.756098,Sugar
beta-caryophyllene aldehyde,42.60941608,1.965347845,1715,1715.853659,Aldehyde
SESQ7,36.8217826,0.53872479,1537,1537.704918,Sesq
SESQ8,37.92600214,0.49881925,1569,1569.398907,Sesq
"beta-caryophyllinic acid, TMS",52.47123893,0.927803805,2060,2060.740741,Acid
"beta-caryophyllonic acid, TMS",48.96819761,1.326859205,1931,1931.543624,Acid
"beta-nocaryophyllinic acid, TMS",54.18468305,1.247048125,2127,2127.407407,Acid
beta-nocaryophyllone aldehyde,43.90401831,0.269362395,1757,1757.317073,Aldehyde
"beta-nocaryophyllonic acid, TMS",50.49125905,1.725914605,1985,1985.234899,Acid
beta-sitosterol,79.8863449,0.867945495,3406,3406.593407,Alcohol
bisabolol,44.3228602,0.55867756,1770,1770.731707,Alcohol
borneol,25.77958713,0.61853587,1254,1254.323789,Alcohol
cholesterol,76.6117628,0.83801634,3209,3209.195402,Alcohol
chrysene,63.627664,1.29693005,2531,2531.578947,PAH
C8 acid,27.34072511,0.71829972,1293,1293.392792,Acid
C9 Diacid (azelaic acid),45.88399818,0.947756575,1822,1822.818792,Acid
C9 acid,31.22453179,0.688370565,1381,1381.906882,Acid
DEET,38.99214515,1.785772915,1600,1600,Amide
FAME16 (Methyl Palmitate),49.69165179,0.728276105,1957,1957.04698,Acid
FAME18 (Methyl Stearate),55.06044338,0.71829972,2161,2161.481481,Acid
MBTCA,44.51324288,0.97768573,1776,1776.829268,Acid
Me-OH-glutatric acid (?),39.71559934,0.828039955,1623,1623.170732,Acid
a-Amyrin,81.14287059,1.05749681,3479,3479.120879,Sesq
abietic acid,62.2569087,0.83801634,2468,2468.421053,Acid
anthraquinone,51.36701938,1.446575825,2017,2017.777778,PAH
benzophenone,41.01020157,1.17721343,1664,1664.634146,PAH
C10 diacid (sebacic acid),48.70166185,0.93778019,1922,1922.147651,Acid
C12 diacid,53.99430037,0.907851035,2120,2120,Acid
C13 acid,44.51324288,0.688370565,1776,1776.829268,Acid
C14 Diacid,58.83002045,0.887898265,2317,2317.741935,Acid
C16 Acid,52.92815736,0.688370565,2078,2078.518519,Acid
C17 acid,55.47928528,0.668417795,2177,2177.777778,Acid
C18 Acid,57.95426012,0.69834695,2280,2280.645161,Acid
C22 acid,66.82609303,0.688370565,2684,2684.90566,Acid
C24 acid,70.78605278,0.69834695,2886,2886.868687,Acid
C26 acid,74.47947678,0.71829972,3088,3088.172043,Acid
C28 acid,77.9825181,0.73825249,3291,3291.954023,Acid
C7 acid,23.15230614,0.768181645,0,,Acid
SESQ2,33.73758317,1.626150755,1449,1449.180328,Sesq
C24,61.72383719,0.548701175,2443,2443.859649,Alkane
C25,63.93227628,0.55867756,2545,2545.614035,Alkane
