Name,ChemFormula,O_C_ratio,RT1,RT2,Retention_index,d_alkane_RTI,Func_group_cat,Func_Group_Cat_3,Haofei_cat,Cstar_Cat
C8 acid,C8H16O2,0.25,27.34072511,0.71829972,1293,1293.392792,Acid,Acid,LOOA,CHO
glyceric acid (?),C3H6O4,1.333333333,29.92992957,0.688370565,1352,1352.613262,Acid,Acid,ISOPSOA,CHO
C9 acid,C9H18O2,0.222222222,31.22453179,0.688370565,1381,1381.906882,Acid,Acid,LOOA,CHO
"dimethyl Glutaric Acid, TMS",C7H12O4,0.571428571,34.00411893,0.89787465,1456,1456.830601,Acid,Acid,MOOA,CHO
C10 carboxylic acid,C10H20O2,0.2,34.80372618,0.688370565,1479,1479.781421,Acid,Acid,LOOA,CHO
ketopinic acid,C10H14O3,0.3,36.55524684,1.326859205,1530,1530.054645,Acid,Acid,MTSOA,CHO
p-anisic acid (4-methozybenzoic acid),C8H8O3,0.375,37.05024181,0.967709345,1544,1544.262295,Acid,Acid,,CHO
pinonic acid,C10H16O3,0.3,37.27870103,1.466528595,1550,1550.819672,Acid,Acid,MTSOA,CHO
Me-OH-glutatric acid (?),C6H10O5,0.833333333,39.71559934,0.828039955,1623,1623.170732,Acid,Acid,MOOA,CHO
"2-Ketoglutaric acid, tri-TMS",C5H6O5,1,39.90598202,0.7981108,1629,1629.268293,Acid,Acid,MOOA,CHO
4-hydroxybenzoic acid,C7H6O3,0.428571429,40.59135967,0.887898265,1651,1651.219512,Acid,Acid,,CHO
pinic acid 1,C9H14O4,0.444444444,41.8859619,0.967709345,1692,1692.682927,Acid,Acid,MTSOA,CHO
pinic acid 2,C9H14O4,0.444444444,42.03826804,0.97768573,1697,1697.560976,Acid,Acid,MTSOA,CHO
phthalic acid,C8H6O4,0.5,42.57133954,1.107378735,1714,1714.634146,Acid,Acid,,CHO
C13 acid,C13H26O2,0.153846154,44.51324288,0.688370565,1776,1776.829268,Acid,Acid,LOOA,CHO
MBTCA,C8H12O6,0.75,44.51324288,0.97768573,1776,1776.829268,Acid,Acid,MTSOA,CHO
vanillic acid,C8H8O4,0.5,44.89400825,0.87792188,1789,1789.02439,Acid,Acid,,CHO
