"","Compound.Name","LRI_avg_all","RI2_all"
"1","4-methoxy-benzaldehyde",1291.57774525766,1.03700423250276
"2","chrysene-d",2522.84417758517,0.803927712485139
"3","d-anthraquinone",2012.75702099524,0.955007892691968
"4","d-C10 acid, TMS",1466.05804304378,0.214771718907429
"5","d-C15 alcohol, TMS",1869.23894300752,0.089031804622954
"6","d-C22 acid, TMS",2647.40622335403,0.216107132881257
"7","d-C6diacid",1524.5136761224,0.508017010098964
"8","d-cholestane",2914.46635287111,0.31408709927306
"9","d-cholesterol",3202.29514802562,0.345271206038391
"10","d-pyrene",2167.7666000065,0.742327585815124
"11","dC16",1600,0.00393516308350984
"12","dC18",1800,0.012569801360368
"13","dC20",2000.17453509181,0.0268942606058468
"14","dC22",2200.29625242061,0.0402113061105695
"15","dC24",2400.44650726532,0.057493752453219
"16","dC26",2600.35956922298,0.0722594696759873
"17","dC28",2800.69502088153,0.0893259794157022
"18","dC30",3000.17921146953,0.109299995218495
"19","dC32",3200,0.136351144422716
"20","dC34",3400,0.165896998805418
"21","dC36",3600,0.252468926014742
"22","dibenzanthracene-d",3271.44430216872,1.03371197362584
"23","pentaerythritol-C13",1525.07290410212,0.0167347020569267
"24","perylene-d",2959.80748030437,0.958052494330186
