"","Compound.Name","LRI_avg_all","RI2_all","relative_LRI","relative_LRI2"
"1","4-methoxy-benzaldehyde",1291.57774525766,1.03700423250276,5.34654297010987,3.03485329588911
"2","chrysene-d",2522.84417758517,0.803927712485139,10.44342460365,2.35274128245723
"3","d-anthraquinone",2012.75702099524,0.955007892691968,8.33189634975833,2.79488623083188
"4","d-C10 acid, TMS",1466.05804304378,0.214771718907429,6.06881184860079,0.628541946658109
"5","d-C15 alcohol, TMS",1869.23894300752,0.089031804622954,7.73779694399948,0.260556762672816
"6","d-C22 acid, TMS",2647.40622335403,0.216107132881257,10.9590546790313,0.632450113445495
"7","d-C6diacid",1524.5136761224,0.508017010098964,6.31079151668299,1.48674137399191
"8","d-cholestane",2914.46635287111,0.31408709927306,12.0645618490866,0.919194192799558
"9","d-cholesterol",3202.29514802562,0.345271206038391,13.2560418254015,1.010456297842
"10","d-pyrene",2167.7666000065,0.742327585815124,8.97356533020134,2.17246492331404
"11","dC16",1600,0.00393516308350984,6.62327047952444,0.0115164840022186
"12","dC18",1800,0.012569801360368,7.45117928946499,0.036786255920207
"13","dC20",2000.17453509181,0.0268942606058468,8.27981059510633,0.0787076203567353
"14","dC22",2200.29625242061,0.0402113061105695,9.10822325929106,0.117680729795231
"15","dC24",2400.44650726532,0.057493752453219,9.93675405577995,0.168258815785711
"16","dC26",2600.35956922298,0.0722594696759873,10.7643029818646,0.211471547397745
"17","dC28",2800.69502088153,0.0893259794157022,11.5936004087223,0.261417682340603
"18","dC30",3000.17921146953,0.109299995218495,12.4193740028807,0.319872803150425
"19","dC32",3200,0.136351144422716,13.2465409590489,0.399039567129665
"20","dC34",3400,0.165896998805418,14.0744497689894,0.485507231139866
"21","dC36",3600,0.252468926014742,14.90235857893,0.738865019264408
"22","dibenzanthracene-d",3271.44430216872,1.03371197362584,13.5422877949766,3.02521830849911
"23","pentaerythritol-C13",1525.07290410212,0.0167347020569267,6.31310646553884,0.0489750804301093
"24","perylene-d",2959.80748030437,0.958052494330186,12.2522534433597,2.80379643488583
