cpnd,dates,slope,r2,ChemFormula,O_C_ratio,RT1,RT2,Retention_index,d_alkane_RTI,Func_group_cat,Func_Group_Cat_3,Haofei_cat,Cstar_Cat,RI_transform,inverse_slope,inverse_slope_rinorm,log,inverse_slope_risub
quinoline,12/19/2020,0.001372714,0.998576164,C9H7N,NA,26.73150054,1.09740235,1278,1278.146352,PAH,Arom,NA,CHN,66.34085581,728.4837612,10.98092197,1.040638806,662.1429054
resorcinol,12/19/2020,0.00078562,0.931671677,C6H6O2,NA,31.98606251,0.728276105,1399,1399.138423,Cat,Cat,NA,CHO,140.464779,1272.879783,9.061914254,0.957219948,1132.415004
borneol,12/19/2020,0.002404502,0.92043454,C10H18O,0.1,25.77958713,0.61853587,1254,1254.323789,Alcohol,Alcohol,NA,CHO,57.2315914,415.8865835,7.266731071,0.861339088,358.6549921
hydroquinone,12/19/2020,0.000946378,0.847339965,C6H6O2,0.333333333,32.74759324,0.728276105,1420,1420.765027,Benz,Benz,NA,CHO,160.620063,1056.659976,6.578630067,0.818135466,896.0399126
syringol,12/19/2020,0.00133577,0.937752813,C8H10O3,NA,32.67144016,0.81806357,1418,1418.579235,Alcohol,Alcohol,NA,CHO,158.4580371,748.6316925,4.724479149,0.674353937,590.1736554
3-5-dimethoxyphenol,12/19/2020,0.000820351,0.980804274,C8H10O3,0.375,36.4029407,0.87792188,1525,1525.68306,Alcohol,Alcohol,NA,CHO,307.8256414,1218.990784,3.960004041,0.597695629,911.1651426
nonanol,12/19/2020,0.00339606,0.874708372,C9H20O,0.111111111,28.40686812,0.508795635,1318,1318.150179,Alcohol,Alcohol,NA,CHO,85.01516575,294.4588767,3.4636041,0.539528245,209.4437109
9H-Florenone,12/19/2020,0.000233957,0.862571298,C13H10,0,44.55131942,1.386717515,1778,1778.04878,Ketone,Ketone,NA,CH,1471.740492,4274.291086,2.904242365,0.463032856,2802.550594
phthalic acid,12/19/2020,0.000386327,0.868607079,C8H6O4,NA,42.57133954,1.107378735,1714,1714.634146,Acid,Acid,NA,CHO,993.2975399,2588.481764,2.605948026,0.41596575,1595.184224
p-anisic acid (4-methozybenzoic acid),12/19/2020,0.001187338,0.992595906,C8H8O3,NA,37.05024181,0.967709345,1544,1544.262295,Acid,Acid,NA,CHO,345.4074658,842.2205061,2.438339033,0.387094091,496.8130403
vanillic acid,12/19/2020,0.000282917,0.965209517,C8H8O4,NA,44.89400825,0.87792188,1789,1789.02439,Acid,Acid,NA,CHO,1575.376814,3534.603162,2.243655696,0.350956212,1959.226348
C8 acid,12/19/2020,0.006176406,0.910265296,C8H16O2,0.25,27.34072511,0.71829972,1293,1293.392792,Acid,Acid,NA,CHO,72.91787893,161.9064658,2.220394617,0.346430166,88.9885869
syringaldehyde,12/19/2020,0.000431063,0.970054473,C9H10O4,NA,42.95210491,1.326859205,1726,1726.829268,Aldehyde,Aldehyde,NA,CHO,1071.312716,2319.847925,2.165425547,0.335543256,1248.535209
MBTCA,12/19/2020,0.000316339,0.939045574,C8H12O6,0.75,44.51324288,0.97768573,1776,1776.829268,Acid,Acid,NA,CHO,1460.654662,3161.168827,2.164213697,0.335300141,1700.514165
benzophenone,12/19/2020,0.000726434,0.986102839,C13H10O,0.076923077,41.01020157,1.17721343,1664,1664.634146,PAH,Arom,NA,CHO,728.5310573,1376.587711,1.889538815,0.276355818,648.0566535
"beta-nocaryophyllinic acid, TMS",12/19/2020,0.000172332,0.878805783,C13H20O5,NA,54.18468305,1.247048125,2127,2127.407407,Acid,Acid,NA,CHO,3130.41091,5802.757883,1.853672905,0.268033102,2672.346974
octadecanol,12/19/2020,0.000196537,0.986466265,C18H38O,0.055555556,55.8219741,0.548701175,2191,2191.111111,Alcohol,Alcohol,NA,CHO,2971.0851,5088.10416,1.712540701,0.233640902,2117.01906
lupeol,12/19/2020,0.000579241,0.962917144,C30H50O,0.033333333,81.21902366,1.03754404,3483,3483.516484,Misc,Misc,NA,CHO,1029.583997,1726.398571,1.676792351,0.224479284,696.8145741
4-hydroxybenzoic acid,12/19/2020,0.000893673,0.932377042,C7H6O3,0.428571429,40.59135967,0.887898265,1651,1651.219512,Acid,Acid,NA,CHO,670.3899284,1118.976914,1.669143384,0.222493645,448.5869853
C9 Diacid (azelaic acid),12/19/2020,0.000322162,0.954798649,C9H16O4,0.444444444,45.88399818,0.947756575,1822,1822.818792,Acid,Acid,NA,CHO,1942.585432,3104.027066,1.597884456,0.203545372,1161.441634
C16 Acid,12/19/2020,0.000204424,0.911426873,C16H32O2,0.125,52.92815736,0.688370565,2078,2078.518519,Acid,Acid,NA,CHO,3258.455028,4891.804169,1.501264902,0.176457331,1633.349141
Me-OH-glutatric acid (?),12/19/2020,0.001189986,0.868132276,C6H10O5,0.833333333,39.71559934,0.828039955,1623,1623.170732,Acid,Acid,NA,CHO,563.3815401,840.3459648,1.491610756,0.173655506,276.9644247
C13 acid,12/19/2020,0.000473648,0.960394913,C13H26O2,0.153846154,44.51324288,0.688370565,1776,1776.829268,Acid,Acid,NA,CHO,1460.654662,2111.27051,1.445427564,0.159996332,650.6158482
citronellol,12/19/2020,0.007262544,0.901782072,C10H20O,0.1,29.32070499,0.528748405,1338,1338.828029,Alcohol,Alcohol,NA,CHO,96.64382673,137.6927999,1.424744907,0.153737113,41.04897315
vanillin,12/19/2020,0.001934055,0.99765255,C8H8O3,NA,37.54523678,1.33683559,1558,1558.469945,Aldehyde,Aldehyde,NA,CHO,377.2138283,517.0484961,1.370703981,0.136943674,139.8346679
