"","cpnd","dates","slope","r2","ChemFormula","O_C_ratio","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat","Func_Group_Cat_3","Haofei_cat","Cstar_Cat"
"1","xanthone",2020-11-27,0.000472835980362853,0.965133892479645,"C13H8O2",0.153846154,48.24474342,1.37674113,1906,1906.040268,"Ketone","Ketone",NA,"CHO"
"2","verbenone (-)",2020-11-27,0.00421930224292727,0.803281690102716,"C10H14O",0.1,25.09420948,2.065111695,1237,1237.171543,"Ketone","Ketone",NA,"CHO"
"3","vanillin",2020-11-27,0.000880832985631371,0.995816038153416,"C8H8O3",0.375,37.54523678,1.33683559,1558,1558.469945,"Aldehyde","Aldehyde","BBOA","CHO"
"4","vanillic acid",2020-11-27,0.000220400269796057,0.986126320339889,"C8H8O4",0.5,44.89400825,0.87792188,1789,1789.02439,"Acid","Acid",NA,"CHO"
"5","tridecanal (?)",2020-11-27,0.00665352796332512,0.940011555342023,"C13H26O",0.076923077,36.8217826,0.927803805,1537,1537.704918,"Aldehyde","Aldehyde",NA,"CHO"
"6","triacetin",2020-11-27,0.00481025460026605,0.978151731727875,"C9H14O6",0.666666667,30.386848,2.11499362,1362,1362.952186,"Misc","Misc",NA,"CHO"
"7","threitol",2020-11-27,7.84630466369604e-05,0.794174147516637,"C4H10O4",1,36.25063456,0.528748405,1521,1521.311475,"Alcohol","Alcohol","ISOPSOA","CHO"
"8","syringol",2020-11-27,0.0022852186405669,0.99837945015772,"C8H10O3",0.375,32.67144016,0.81806357,1418,1418.579235,"Alcohol","Alcohol","LOOA","CHO"
"9","syringic acid",2020-11-27,0.000227882341283752,0.999075921518248,"C9H10O5",0.555555556,48.77781493,0.87792188,1924,1924.832215,"Acid","Acid",NA,"CHO"
"10","syringaldehyde",2020-11-27,0.000357946873457634,0.998362113970719,"C9H10O4",0.444444444,42.95210491,1.326859205,1726,1726.829268,"Aldehyde","Aldehyde",NA,"CHO"
"11","stigmasterol",2020-11-27,0.000518300425956781,0.97535782375688,"C19H48O",0.052631579,78.85827843,0.85796911,3344,3344.827586,"Misc","Sterol",NA,"CHO"
"12","squalene",2020-11-27,0.000584129210567333,0.974402600270758,"C30H50",0,70.44336395,0.5985831,2868,2868.686869,"Misc","Terpene","SESQ","CH"
"13","sinapinaldehyde",2020-11-27,0.000561496359933686,0.994405493687195,"C11H12O4",0.363636364,51.74778474,1.53636329,2032,2032.592593,"Aldehyde","Aldehyde",NA,"CHO"
"14","retene",2020-11-27,0.000241130957373147,0.997233907260257,"C18H18",0,57.64964783,1.047520425,2267,2267.741935,"PAH","Arom",NA,"CH"
"15","resorcinol",2020-11-27,0.00198684367139169,0.999682365456178,"C6H6O2",0.333333333,31.98606251,0.728276105,1399,1399.138423,"Cat","Cat",NA,"CHO"
"16","quinoline",2020-11-27,0.001129504100601,0.959709273081664,"C9H7N",0,26.73150054,1.09740235,1278,1278.146352,"PAH","Arom",NA,"CHN"
"17","pyrocatechol",2020-11-27,0.000491629676712897,0.811462264303668,"C6H6O2",0.333333333,29.35878153,0.67839418,1339,1339.689606,"Cat","Cat",NA,"CHO"
"18","pyrene",2020-11-27,0.000275339328096194,0.999366221776876,"C10H16",0,55.32697913,1.21711897,2171,2171.851852,"PAH","Arom",NA,"CH"
"19","pinonic acid",2020-11-27,0.00186609639875328,0.993914422551212,"C10H16O3",0.3,37.27870103,1.466528595,1550,1550.819672,"Acid","Acid","MTSOA","CHO"
"20","pinic acid 2",2020-11-27,0.00144623533579526,0.988354460241867,"C9H14O4",0.444444444,42.03826804,0.97768573,1697,1697.560976,"Acid","Acid","MTSOA","CHO"
"21","pinic acid 1",2020-11-27,0.00104729367273826,0.997581784575506,"C9H14O4",0.444444444,41.8859619,0.967709345,1692,1692.682927,"Acid","Acid","MTSOA","CHO"
"22","phthalimide",2020-11-27,0.00192460345203719,0.944442573770969,"C8H5NO2",0.25,38.76368594,1.13730789,1593,1593.442623,"Amide","Misc",NA,"CHON"
"23","phthalic acid",2020-11-27,0.00122572932002386,0.920003377560199,"C8H6O4",0.5,42.57133954,1.107378735,1714,1714.634146,"Acid","Acid",NA,"CHO"
"24","perylene",2020-11-27,0.000395687797112916,0.990116851319236,"C20H12",0,72.30911422,1.45655221,2967,2967.676768,"PAH","Arom",NA,"CH"
"25","pentadecanone",2020-11-27,0.000685839060909282,0.993746015817577,"C15H30O",0.066666667,42.95210491,0.947756575,1726,1726.829268,"Ketone","Ketone","LOOA","CHO"
"26","palmitoleic Acid",2020-11-27,0.00049975257175742,0.986479281307725,"C16H30O2",0.125,52.35700932,0.708323335,2056,2056.296296,"Acid","Acid","LOOA","CHO"
"27","p-anisic acid (4-methozybenzoic acid)",2020-11-27,0.00122706254061216,0.99357040958552,"C8H8O3",0.375,37.05024181,0.967709345,1544,1544.262295,"Acid","Acid",NA,"CHO"
"28","oleic Acid, TMS",2020-11-27,0.00029915165773199,0.992760777923953,"C18H34O2",0.111111111,57.26888247,0.69834695,2251,2251.612903,"Acid","Acid","LOOA","CHO"
"29","octadecanone",2020-11-27,0.000340000312234533,0.99368277342523,"C18H36O",0.055555556,51.7097082,0.847992725,2031,2031.111111,"Ketone","Ketone","LOOA","CHO"
"30","octadecanol",2020-11-27,0.000149048780969124,0.996133988615929,"C18H38O",0.055555556,55.8219741,0.548701175,2191,2191.111111,"Alcohol","Alcohol","LOOA","CHO"
