Compound Name,BlobID,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Quantifier_1,Quantifier_2,Quantifier_Response_1,Quantifier_Response_2,Volume_Ratio,Cal_pt_1,Cal_pt_2,Cal_pt_3,Cal_pt_4,Cal_pt_5,Cal_pt_6,H_Cat
xanthone,125,xanthone,,,TRUE,1906.040268,1906,132,amze_unnamedsesq_1,0,999,999,92.30000305,,0,48.24474342,1.37674113,,,0,0,0,0,0.5,1,2.5,5,10,
verbenone (-),772,verbenone (-),,,TRUE,1237.171543,1237,131,amze_unnamedsesq_1,0,999,999,91.16000366,,0,25.09420948,2.065111695,,,0,0,0,0,4,8,20,40,80,
vanillin,69,vanillin,,,TRUE,1558.469945,1558,130,amze_unnamedsesq_1,0,999,999,88.06999969,,0,37.54523678,1.33683559,,,0,0,0,0,2,4,10,20,40,
vanillic acid,6,vanillic acid,,,TRUE,1789.02439,1789,129,amze_unnamedsesq_1,0,999,999,98.84999847,,0,44.89400825,0.87792188,,,0,0,0,0,2,4,10,20,40,
tridecanal ,529,tridecanal (?),,,TRUE,1537.704918,1538,128,amze_unnamedsesq_1,0,999,999,82.87999725,,0,36.8217826,0.927803805,,,0,0,0,0,2,4,10,20,40,
triacetin,672,triacetin,,,TRUE,1362.952186,1363,127,amze_unnamedsesq_1,0,999,999,76.06999969,,0,30.386848,2.11499362,,,0,0,0,0,2,4,10,20,40,
threitol,652,threitol,,,TRUE,1521.311475,1521,125,amze_unnamedsesq_1,0,999,999,78.86000061,,0,36.25063456,0.528748405,,,0,0,0,0,2,4,10,20,40,
syringol,154,syringol,,,TRUE,1418.579235,1419,124,amze_unnamedsesq_1,0,999,999,95.5,,0,32.67144016,0.81806357,,,0,0,0,0,2,4,10,20,40,
syringic acid,5,syringic acid,,,TRUE,1924.832215,1925,123,amze_unnamedsesq_1,0,999,999,98.54000092,,0,48.77781493,0.87792188,,,0,0,0,0,2,4,10,20,40,
syringaldehyde,17,syringaldehyde,,,TRUE,1726.829268,1727,122,amze_unnamedsesq_1,0,999,999,97.12000275,,0,42.95210491,1.326859205,,,0,0,0,0,2,4,10,20,40,
stigmasterol,73,stigmasterol,,,TRUE,3344.827586,3345,121,amze_unnamedsesq_1,0,999,999,97.30999756,,0,78.85827843,0.85796911,,,0,0,0,0,2,4,10,20,40,
