Name,ChemFormula,O_C_ratio,RT1,RT2,Retention_index,d_alkane_RTI,Func_group_cat,Haofei_cat
"12-OH C18 Acid, TMS",C18H36O3,,62.29498523,0.69834695,2470,2470.175439,Acid,LOOA
"16-OH C16 Acid, TMS",C16H32O3,,61.4192249,0.688370565,2429,2429.824561,Acid,LOOA
"2-Ketoglutaric acid, tri-TMS",C5H6O5,1,39.90598202,0.7981108,1629,1629.268293,Acid,MOOA
3-5-dimethoxyphenol,C8H10O3,,36.4029407,0.87792188,1525,1525.68306,Alcohol,
"4, 4 dimethoxy-benzophenone",C15H14O3,,58.25887241,1.446575825,2293,2293.548387,Ketone,
4-hydroxybenzoic acid,C7H6O3,,40.59135967,0.887898265,1651,1651.219512,Acid,
4-nitrocatechol,C6H5NO4,,44.28478367,1.566292445,1769,1769.512195,Cat,
4-terpineol (?),C10H18O,,23.87576033,0.77815803,1206,1206.678663,Alcohol,
9H-Florenone,C13H10,,44.55131942,1.386717515,1778,1778.04878,Ketone,
a-Amyrin,C30H50O,,81.14287059,1.05749681,3479,3479.120879,Sesq,
abietic acid,C20H30O2,,62.2569087,0.83801634,2468,2468.421053,Acid,
anthraquinone,C14H8O2,,51.36701938,1.446575825,2017,2017.777778,PAH,
benzophenone,C13H10O,,41.01020157,1.17721343,1664,1664.634146,PAH,
beta-caryophyllene aldehyde,,,42.60941608,1.965347845,1715,1715.853659,Aldehyde,
"beta-caryophyllinic acid, TMS",,,52.47123893,0.927803805,2060,2060.740741,Acid,
"beta-caryophyllonic acid, TMS",,,48.96819761,1.326859205,1931,1931.543624,Acid,
"beta-nocaryophyllinic acid, TMS",,,54.18468305,1.247048125,2127,2127.407407,Acid,
beta-nocaryophyllone aldehyde,,,43.90401831,0.269362395,1757,1757.317073,Aldehyde,
"beta-nocaryophyllonic acid, TMS",,,50.49125905,1.725914605,1985,1985.234899,Acid,
beta-sitosterol,C29H50O,,79.8863449,0.867945495,3406,3406.593407,Alcohol,
bisabolol,C15H26O,,44.3228602,0.55867756,1770,1770.731707,Alcohol,
borneol,C10H18O,,25.77958713,0.61853587,1254,1254.323789,Alcohol,
C10 carboxylic acid,C10H20O2,,34.80372618,0.688370565,1479,1479.781421,Acid,
C10 diacid (sebacic acid),C10H18O4,,48.70166185,0.93778019,1922,1922.147651,Acid,
C12 diacid,C12H22O4,,53.99430037,0.907851035,2120,2120,Acid,
C13 acid,C13H26O2,,44.51324288,0.688370565,1776,1776.829268,Acid,
C14,C14H30,,32.82374631,0.468890095,1422,1422.95082,Alkane,
C14 Diacid,C14H26O4,,58.83002045,0.887898265,2317,2317.741935,Acid,
C16,C16H34,,39.82982895,0.488842865,1626,1626.829268,Alkane,
C16 Acid,C16H32O2,,52.92815736,0.688370565,2078,2078.518519,Acid,
C17,C17H36,,43.06633451,0.488842865,1730,1730.487805,Alkane,
C17 acid,C17H34O2,,55.47928528,0.668417795,2177,2177.777778,Acid,
C18,C18H38,,46.1124574,0.49881925,1830,1830.872483,Alkane,
C18 Acid,C18H36O2,,57.95426012,0.69834695,2280,2280.645161,Acid,
C19,C19H40,,49.04435068,0.508795635,1934,1934.228188,Alkane,
C20,C20H42,,51.78586128,0.51877202,2034,2034.074074,Alkane,
C21,C21H44,,54.4512188,0.51877202,2137,2137.777778,Alkane,
C22,C22H46,,56.96427018,0.53872479,2238,2238.709677,Alkane,
C22 acid,C22H44O2,,66.82609303,0.688370565,2684,2684.90566,Acid,
C23,C23H48,,59.40116849,0.548701175,2341,2341.935484,Alkane,
C24,C24H50,,61.72383719,0.548701175,2443,2443.859649,Alkane,
C24 acid,C24H48O2,,70.78605278,0.69834695,2886,2886.868687,Acid,
C25,C25H52,,63.93227628,0.55867756,2545,2545.614035,Alkane,
C26,C26H54,,66.10263884,0.568653945,2649,2649.056604,Alkane,
C26 acid,C26H52O2,,74.47947678,0.71829972,3088,3088.172043,Acid,
C27,C27H56,,68.15877179,0.568653945,2750,2750.943396,Alkane,
C28,C28H58,,70.13875167,0.57863033,2852,2852.525253,Alkane,
C28 acid,C28H56O2,,77.9825181,0.73825249,3291,3291.954023,Acid,
C29,C29H60,,72.08065501,0.588606715,2955,2955.555556,Alkane,
C30,C30H62,,73.94640527,0.5985831,3058,3058.064516,Alkane,
C31,C31H64,,75.73600247,0.61853587,3159,3159.139785,Alkane,
C32,C32H66,,77.44944659,0.628512255,3259,3259.770115,Alkane,
C33,C33H38,,79.16289072,0.63848864,3363,3363.218391,Alkane,
C35,C35H72,,82.6278555,0.71829972,3564,3564.835165,Alkane,
C7 acid,C7H14O2,,23.15230614,0.768181645,0,,Acid,
C8 acid,C8H16O2,,27.34072511,0.71829972,1293,1293.392792,Acid,
