BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
781,perylene-d,perylene-d,,,TRUE,2959.183673,2958,27,amzi0503_b,0,888,893,98.25,,781,72.12799096,1.471081451,28.2146795,612.0814551,,,0,0,1
26,pentaerythritol-C13,pentaerythritol-C13,,,TRUE,1525,1525,26,amzi0503_b,0,936,936,98.69999695,,26,36.39164541,0.506926716,950.0095605,8920.279693,,,0,0,1
323,glucose-13C6,glucose-13C6 no-search probably new,,,TRUE,1987.919463,1986,24,amzi0503_b,0,925,931,91.59999847,,323,50.54202427,1.242467442,512.2308237,8748.886337,,,0,0,1
31,d-pyrene,d-pyrene,,,TRUE,2167.647059,2167,10,amzi0503_b,0,945,945,98.37000275,,31,55.208235,1.252407181,772.4403434,13081.85171,,,0,0,1
860,dibenzanthracene-d,dibenzanthracene-d,,,TRUE,3273.563218,3270,23,amzi0503_b,0,866,884,98.91000366,,860,77.59087181,1.540659628,20.97316972,719.0993573,,,0,0,1
547,d-cholesterol,d-cholesterol- maybe recheck,,,TRUE,3202.298851,3200,9,amzi0503_b,0,914,914,98.94999695,,547,76.41483496,0.8548176,484.3315403,8834.462008,,,0,0,1
44,d-cholestane,d-cholestane,,,TRUE,2914.285714,2913,8,amzi0503_b,0,916,916,98.68000031,,44,71.29338416,0.84487786,598.8839926,13928.51096,,,0,0,1
712,d-C6diacid,d-C6diacid,,,TRUE,1523.913043,1524,6,amzi0503_b,0,877,880,98.54000092,,712,36.35370874,0.993973953,47.81515802,782.0426064,,,0,0,1
560,dC36,dC36,,,TRUE,3600,3600,22,amzi0503_b,0,886,890,98.61000061,,560,83.129626,0.755420205,481.1267353,7000.564298,,,0,0,1
34,dC34,dC34,,,TRUE,3400,3400,21,amzi0503_b,0,905,906,98.75,,34,79.6773888,0.675902288,713.9921845,8099.926999,,,0,0,1
28,dC32,dC32,,,TRUE,3200,3200,20,amzi0503_b,0,901,902,97.11000061,,28,76.37689828,0.63614333,827.6029742,8986.87782,,,0,0,1
22,dC30,dC30,,,TRUE,3000,3000,19,amzi0503_b,0,919,919,98.88999939,,22,72.88672441,0.616263851,1211.532202,13490.75942,,,0,0,1
19,dC28,,,,TRUE,2798.130841,2800,18,amzi0503_b,0,905,905,98.83000183,,19,69.13099383,0.596384372,1367.452997,21698.04043,,,0,0,1
16,dC26,dC26,,,TRUE,2600,2600,17,amzi0503_b,0,923,928,98.45999908,,16,65.10970654,0.576504893,1592.327202,21234.09122,,,0,0,1
11,dC24,dC24,,,TRUE,2400,2400,16,amzi0503_b,0,919,921,98.63999939,,11,60.74698919,0.566565153,2579.885198,52107.91412,,,0,0,1
15,"d-C22 acid, TMS","d-C22 acid, TMS",,,TRUE,2646.728972,2647,5,amzi0503_b,0,920,920,98.59999847,,15,66.05812335,0.715661246,1592.59881,19925.54415,,,0,0,1
10,dC22,dC22,,,TRUE,2200,2200,15,amzi0503_b,0,883,886,97.55999756,,10,56.04284179,0.546685674,2627.94372,48524.28957,,,0,0,1
6,dC20,dC20,,,TRUE,2000,2000,14,amzi0503_b,0,869,869,98.91999817,,6,50.88345433,0.536745935,3504.910692,51273.21011,,,0,0,1
18,dC18,dC18,,,TRUE,1800,1800,13,amzi0503_b,0,903,904,98.70999908,,18,45.23089012,0.516866456,1392.603225,22421.98717,,,0,0,1
30,dC16,dC16,,,TRUE,1600,1600,12,amzi0503_b,0,938,938,98.72000122,,30,39.00927582,0.506926716,821.1350733,8539.745178,,,0,0,1
7,"d-C15 alcohol, TMS","d-C15 alcohol, TMS",,,TRUE,1869.798658,1869,4,amzi0503_b,0,938,938,98.94000244,,7,47.20359709,0.536745935,3512.566723,51389.23416,,,0,0,1
724,dC14,dC14,,,TRUE,1400,1400,11,amzi0503_b,0,917,918,98.86000061,,724,32.02892807,0.496986977,42.44279734,462.4509087,,,0,0,1
605,"d-C10 acid, TMS","d-C10 acid, TMS",,,TRUE,1465.217391,1466,3,amzi0503_b,0,888,891,92.56999969,,605,34.30512842,0.715661246,101.8206113,1159.736811,,,0,0,1
549,d-anthraquinone,d-anthraquinone,,,TRUE,2013.235294,2012,7,amzi0503_b,0,907,908,96.13999939,,549,51.22488438,1.461141711,471.4163996,8581.655733,,,0,0,1
596,chrysene-d,chrysene-d,,,TRUE,2523.478261,2523,2,amzi0503_b,0,909,910,98.01000214,,596,63.44049294,1.312045618,112.9506326,2895.752119,,,0,0,1
604,4-methoxy-benzaldehyde,4-methoxy-benzaldehyde,,,TRUE,1292.044364,1292,1,amzi0503_b,0,903,903,98.44999695,,604,27.286844,1.540659628,97.53659881,1717.305876,,,0,0,1
2068,methoxyphenol-d3,,,,TRUE,1250.270663,1258,25,amzi0503_b,0,569,678,95.27999878,,2068,25.61763041,0.805118902,1.065177766,25.62436192,,,0,0,1
