"","cpnd","dates","slope","r2","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat"
"1","xanthone",2020-11-27,0.197304540100103,0.946256225246106,48.24474342,1.37674113,1906,1906.040268,"Ketone"
"2","verbenone (-)",2020-11-27,0.000910818233117151,0.827882101734513,25.09420948,2.065111695,1237,1237.171543,"Ketone"
"3","vanillin",2020-11-27,0.449380152987188,0.992143628686396,37.54523678,1.33683559,1558,1558.469945,"Aldehyde"
"4","vanillic acid",2020-11-27,0.599608787545818,0.99638163137547,44.89400825,0.87792188,1789,1789.02439,"Acid"
"5","tridecanal (?)",2020-11-27,13.5133201005637,0.997374297975322,36.8217826,0.927803805,1537,1537.704918,"Aldehyde"
"6","triacetin",2020-11-27,0.00131727689283114,0.907169592504813,30.386848,2.11499362,1362,1362.952186,"Misc"
"7","threitol",2020-11-27,14.4589175602368,0.932122672999728,36.25063456,0.528748405,1521,1521.311475,"Alcohol"
"8","syringol",2020-11-27,1.95655430599711,0.862286044809941,32.67144016,0.81806357,1418,1418.579235,"Alcohol"
"9","syringic acid",2020-11-27,0.787703694416451,0.994021328395759,48.77781493,0.87792188,1924,1924.832215,"Acid"
"10","syringaldehyde",2020-11-27,0.146221137221755,0.994144893436207,42.95210491,1.326859205,1726,1726.829268,"Aldehyde"
"11","stigmasterol",2020-11-27,0.226915180217056,0.960547635470679,78.85827843,0.85796911,3344,3344.827586,"Misc"
"12","squalene",2020-11-27,2.003230226876,0.93894418064981,70.44336395,0.5985831,2868,2868.686869,"Misc"
"13","sinapinaldehyde",2020-11-27,0.0952977626698387,0.986234311711354,51.74778474,1.53636329,2032,2032.592593,"Aldehyde"
"14","retene",2020-11-27,1.09468102356295,0.991225685883334,57.64964783,1.047520425,2267,2267.741935,"PAH"
"15","resorcinol",2020-11-27,2.69114059531376,0.911790092605343,31.98606251,0.728276105,1399,1399.138423,"Cat"
"16","quinoline",2020-11-27,0.338581217533123,0.935016681191516,26.73150054,1.09740235,1278,1278.146352,"PAH"
"17","pyrocatechol",2020-11-27,7.73479516737606,0.988738491131222,29.35878153,0.67839418,1339,1339.689606,"Cat"
"18","pyrene",2020-11-27,0.487382260373386,0.991002429306637,55.32697913,1.21711897,2171,2171.851852,"PAH"
"19","pinonic acid",2020-11-27,0.252349733671075,0.979721431233411,37.27870103,1.466528595,1550,1550.819672,"Acid"
"20","pinic acid 2",2020-11-27,3.93861905910902,0.985815943480704,42.03826804,0.97768573,1697,1697.560976,"Acid"
"21","pinic acid 1",2020-11-27,2.83563832561313,0.995917196464076,41.8859619,0.967709345,1692,1692.682927,"Acid"
"22","phthalimide",2020-11-27,4.45440280954455,0.96608751641582,38.76368594,1.13730789,1593,1593.442623,"Amide"
"23","phthalic acid",2020-11-27,2.76688089472787,0.964163774657116,42.57133954,1.107378735,1714,1714.634146,"Acid"
"24","perylene",2020-11-27,0.0227092512588809,0.961664021350224,72.30911422,1.45655221,2967,2967.676768,"PAH"
"25","pentadecanone",2020-11-27,1.7434041096727,0.999618035420271,42.95210491,0.947756575,1726,1726.829268,"Ketone"
"26","palmitoleic Acid",2020-11-27,4.68475798667491,0.982547797645229,52.35700932,0.708323335,2056,2056.296296,"Acid"
"27","p-anisic acid (4-methozybenzoic acid)",2020-11-27,3.11202992159969,0.978331343749982,37.05024181,0.967709345,1544,1544.262295,"Acid"
"28","oleic Acid, TMS",2020-11-27,2.30983519481574,0.980000142117779,57.26888247,0.69834695,2251,2251.612903,"Acid"
"29","octadecanone",2020-11-27,1.3481867794313,0.995003926782233,51.7097082,0.847992725,2031,2031.111111,"Ketone"
"30","octadecanol",2020-11-27,3.68839995600063,0.99686727497568,55.8219741,0.548701175,2191,2191.111111,"Alcohol"
"31","octadecanal (?)",2020-11-27,4.13013227520519,0.983710401178411,52.35700932,0.867945495,2056,2056.296296,"Aldehyde"
"32","nonanol",2020-11-27,20.9651231738576,0.987701058599304,28.40686812,0.508795635,1318,1318.150179,"Alcohol"
"33","monostearin TMS",2020-11-27,14.7406588426125,0.963894075221652,68.92030251,0.708323335,2788,2788.679245,"Alcohol"
"34","monopalmitin",2020-11-27,1.48536251812126,0.943366827317836,65.68379694,0.748228875,2628,2628.301887,"Alcohol"
"35","mannosan",2020-11-27,5.2140234518543,0.928644717516457,42.30480379,0.85796911,1706,1706.097561,"Sugar"
"36","maltol",2020-11-27,2.08880979508939,0.856145638600805,28.33071505,1.09740235,1316,1316.427025,"Alcohol"
"37","lupeol",2020-11-27,0.29868475826547,0.967043188469325,81.21902366,1.03754404,3483,3483.516484,"Misc"
"38","linoleic Acid, TMS",2020-11-27,4.63179549656489,0.939948845601756,57.11657633,0.69834695,2245,2245.16129,"Acid"
"39","levoglucosan",2020-11-27,3.23495859848996,0.988865503844564,42.95210491,0.847992725,1726,1726.829268,"Sugar"
"40","ketopinic acid",2020-11-27,0.472958503334503,0.894304747117562,36.55524684,1.326859205,1530,1530.054645,"Acid"
"41","isopimaric acid",2020-11-27,1.09504124575728,0.995941250007856,60.42923497,0.867945495,2385,2385.483871,"Acid"
"42","isoeugenol",2020-11-27,6.82303793394719,0.880051804652044,38.68753286,0.77815803,1591,1591.256831,"Alcohol"
"43","ionone",2020-11-27,4.55271412470908,0.0746362105285801,33.73758317,1.33683559,1449,1449.180328,"Ketone"
