"","cpnd","dates","slope","r2","slope_1","r2_1","slope_dalk","r2_dalk","slope_man","r2_man","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat","Formula","Mass","inverse_slope"
"1","xanthone",2018-11-27,0.000342809409091513,0.950338538377373,0.000319444412801196,0.894904714101581,0.00037364335123968,0.943550595522374,-999,-999,48.24474342,1.37674113,1906,1906.040268,"Ketone",NA,NA,2917.07279170115
"2","verbenone (-)",2018-11-27,0.00283827443937218,0.79311069815408,0.00285085195470631,0.800248549576745,0.000232044791441674,0.7630240231769,-999,-999,25.09420948,2.065111695,1237,1237.171543,"Ketone",NA,NA,352.326746888225
"3","vanillin",2018-11-27,0.000878816551289353,0.984802334069086,0.000684289748517087,0.821771457149897,7.53162494115201e-05,0.817990457809098,0.000878887134381648,0.997604116734839,37.54523678,1.33683559,1558,1558.469945,"Aldehyde",NA,NA,1137.89390804355
"4","vanillic acid",2018-11-27,0.000235629245027552,0.993801986325028,2.02595834664861e-05,0.822851982114059,2.02595834664861e-05,0.822851982114059,0.000240259200559813,0.979636650281654,44.89400825,0.87792188,1789,1789.02439,"Acid",NA,NA,4243.95537100274
"5","tridecanal",2018-11-27,0.00614940103140279,0.996147335251314,0.00138901569990561,0.911243102268701,0.00138901569990561,0.911243102268701,-999,-999,36.8217826,0.927803805,1537,1537.704918,"Aldehyde",NA,NA,162.617463862473
"6","triacetin",2018-11-27,0.0018989351925801,0.873548694290098,0.00196235109400347,0.893082819805176,0.002060077346085,0.867906885183233,-999,-999,30.386848,2.11499362,1362,1362.952186,"Misc",NA,NA,526.610915373733
"7","threitol",2018-11-27,0.000950360964745216,0.939024216651203,0.000176425929193007,0.890213767886766,0.000176425929193007,0.890213767886766,0.000595509505422096,0.898302472297813,36.25063456,0.528748405,1521,1521.311475,"Alcohol",NA,NA,1052.23176992343
"8","syringol",2018-11-27,0.00244732236656919,0.976871989399595,0.000511073117728467,0.953261450765506,0.000511073117728467,0.953261450765506,0.00263634031196253,0.972235441713342,32.67144016,0.81806357,1418,1418.579235,"Alcohol",NA,NA,408.609839741652
"9","syringic acid",2018-11-27,0.000216629168576693,0.987890862562356,0.000151525647970973,0.997240574312419,0.000151525647970973,0.997240574312419,0.000196556016217884,0.897013854699022,48.77781493,0.87792188,1924,1924.832215,"Acid",NA,NA,4616.18352953227
"10","syringaldehyde",2018-11-27,0.000266736816330982,0.995509671872871,0.000188264254935085,0.7763403544479,0.000176184905348014,0.969178957201258,-999,-999,42.95210491,1.326859205,1726,1726.829268,"Aldehyde",NA,NA,3749.01377978188
"11","stigmasterol",2018-11-27,0.000483405357787522,0.976307835852824,0.000894423045873328,0.957906075621325,0.000894423045873328,0.957906075621325,-999,-999,78.85827843,0.85796911,3344,3344.827586,"Misc",NA,NA,2068.65725398009
"12","squalene",2018-11-27,0.000305848861458664,0.950257747534782,0.000454490071856724,0.946784921255309,0.000454490071856724,0.946784921255309,-999,-999,70.44336395,0.5985831,2868,2868.686869,"Misc",NA,NA,3269.58876103304
"13","sinapinaldehyde",2018-11-27,0.000359645496833926,0.984490646944068,0.000366528325433475,0.969599331158421,0.000423059681879269,0.986465618431887,0.00023058689918352,0.953498562565578,51.74778474,1.53636329,2032,2032.592593,"Aldehyde",NA,NA,2780.51583796633
"14","retene",2018-11-27,0.00016715191218506,0.988288946544334,0.000196784316836556,0.990922446789717,0.000196784316836556,0.990922446789717,-999,-999,57.64964783,1.047520425,2267,2267.741935,"PAH",NA,NA,5982.58187374406
"15","resorcinol",2018-11-27,0.00141379540307768,0.9459272066216,0.000434148512695255,0.943641321984746,0.000434148512695255,0.943641321984746,0.00152799451036888,0.944137610457716,31.98606251,0.728276105,1399,1399.138423,"Cat",NA,NA,707.315922673893
"16","quinoline",2018-11-27,0.00103908130641156,0.936752291022994,0.000334890957073907,0.949520027726925,0.000334890957073907,0.949520027726925,-999,-999,26.73150054,1.09740235,1278,1278.146352,"PAH",NA,NA,962.388596377963
"17","pyrocatechol",2018-11-27,0.00433175331261958,0.976575045689317,0.00117569353284941,0.911386904765445,0.00117569353284941,0.911386904765445,-999,-999,29.35878153,0.67839418,1339,1339.689606,"Cat",NA,NA,230.853404575632
"18","pyrene",2018-11-27,0.000178440332739929,0.99200980008869,0.000210046317378388,0.994746789406219,0.000210046317378388,0.994746789406219,-999,-999,55.32697913,1.21711897,2171,2171.851852,"PAH",NA,NA,5604.11418565032
"19","pinonic acid",2018-11-27,0.00145316747030206,0.975765849023318,0.00157254963752711,0.999223356941053,0.000120973207556014,0.808543544983229,0.000918035590203974,0.934432567650193,37.27870103,1.466528595,1550,1550.819672,"Acid",NA,NA,688.15193048062
