BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
601,4-methoxy-benzaldehyde,4-methoxy-benzaldehyde,,,true,1292.1949918824344,1292.0,1,amzi0503_b,0,907,908,97.81999969482422,,601,27.2928628495002,1.512961672042425,75.10617947333958,1488.4066122745012,,,0.0,0.0,1.0
583,chrysene-d,chrysene-d,,,true,2522.8070175438597,2523.0,2,amzi0503_b,0,891,892,98.23999786376953,,583,63.45928260812137,1.274072986983095,155.43373534549028,3181.7821960706324,,,0.0,0.0,1.0
573,"d-C10 acid, TMS","d-C10 acid, TMS",,,true,1466.304347826087,1466.0,3,amzi0503_b,0,922,922,98.16000366210938,,573,34.35899107965098,0.6868049695455746,285.445043369662,2763.9745550776333,,,0.0,0.0,1.0
6,"d-C15 alcohol, TMS","d-C15 alcohol, TMS",,,true,1869.7986577181211,1869.0,4,amzi0503_b,0,940,940,98.91999816894531,,6,47.237579628151586,0.5076384557510768,4394.2132977196015,64060.98497549792,,,0.0,0.0,1.0
15,"d-C22 acid, TMS","d-C22 acid, TMS",,,true,2648.598130841121,2647.0,5,amzi0503_b,0,918,919,98.94999694824219,,15,66.11857817860822,0.6668975791239637,1555.3983979239129,23999.6540165244,,,0.0,0.0,1.0
30,d-C6diacid,d-C6diacid,,,true,1523.9130434782608,1524.0,6,amzi0503_b,0,955,955,98.91000366210938,,30,36.372457725876735,0.975462130658932,900.7323240535334,12194.812236402926,,,0.0,0.0,1.0
567,d-anthraquinone,d-anthraquinone,,,true,2013.2352941176473,2012.0,7,amzi0503_b,0,917,918,95.70999908447266,,567,51.2645129206031,1.4233784151451763,436.8187144509284,6893.965487155736,,,0.0,0.0,1.0
564,d-cholestane,d-cholestane,,,true,2913.1313131313127,2913.0,8,amzi0503_b,0,926,926,98.7300033569336,,564,71.32319950941819,0.7962956168644343,642.9953259826871,12019.959714239698,,,0.0,0.0,1.0
57,d-cholesterol,d-cholesterol- maybe recheck,,,true,3202.2988505747126,3200.0,9,amzi0503_b,0,904,905,98.94000244140625,,57,76.48983090350694,0.8062493120752398,779.1913206987083,14425.328313042844,,,0.0,0.0,1.0
27,d-pyrene,d-pyrene,,,true,2167.6470588235297,2167.0,10,amzi0503_b,0,940,940,98.26000213623047,,27,55.253456276333374,1.2143508157182623,917.2654192133341,12264.615594309136,,,0.0,0.0,1.0
654,dC14,dC14,,,true,1400.0,1400.0,11,amzi0503_b,0,907,909,98.62000274658203,,654,32.04160493965529,0.45786997969704973,41.66290255472995,498.4948154478079,,,0.0,0.0,1.0
44,dC16,dC16,,,true,1600.0,1600.0,12,amzi0503_b,0,947,947,98.76000213623047,,44,39.03175329636359,0.46782367490785515,857.5882342401892,8564.64096033088,,,0.0,0.0,1.0
13,dC18,dC18,,,true,1800.0,1800.0,13,amzi0503_b,0,916,916,98.44000244140625,,13,45.26210291864706,0.47777737011866056,2114.0524686453864,26598.672712751075,,,0.0,0.0,1.0
8,dC20,dC20,,,true,2000.0,2000.0,14,amzi0503_b,0,865,865,98.93000030517578,,8,50.922603490111925,0.487731065329466,3440.048116487451,51722.036436301205,,,0.0,0.0,1.0
9,dC22,dC22,,,true,2200.0,2200.0,15,amzi0503_b,0,889,890,98.2699966430664,,9,56.08923488420067,0.5076384557510768,3052.4379816749133,53396.36032744186,,,0.0,0.0,1.0
10,dC24,dC24,,,true,2400.0,2400.0,16,amzi0503_b,0,920,920,98.66000366210938,,10,60.799987037634516,0.5175921509618823,2507.52557534026,47913.522580302844,,,0.0,0.0,1.0
16,dC26,dC26,,,true,2600.0,2600.0,17,amzi0503_b,0,914,917,98.41999816894531,,16,65.13083982385596,0.5374995413834931,1569.0589786879718,28812.054265243478,,,0.0,0.0,1.0
14,dC28,dC28,,,true,2800.0,2800.0,18,amzi0503_b,0,915,915,98.87000274658203,,14,69.19576305302871,0.5474532365942986,1599.169959637802,21600.096707094155,,,0.0,0.0,1.0
19,dC30,dC30,,,true,3000.0,3000.0,19,amzi0503_b,0,926,926,98.91000366210938,,19,72.95676678843155,0.5673606270159094,1375.7738801939413,16247.90385082606,,,0.0,0.0,1.0
20,dC32,dC32,,,true,3200.0,3200.0,20,amzi0503_b,0,889,889,97.66000366210938,,20,76.4518409667857,0.5972217126483257,1322.1572562622605,14045.97737839106,,,0.0,0.0,1.0
21,dC34,dC34,,,true,3400.0,3400.0,21,amzi0503_b,0,910,910,98.75,,21,79.75696546153364,0.627082798280742,1143.0619687708095,13523.651736525457,,,0.0,0.0,1.0
63,dC36,dC36,,,true,3600.0,3600.0,22,amzi0503_b,0,903,904,98.02999877929688,,63,83.25203963988778,0.7067123599671854,778.5009565067594,11932.453453368904,,,0.0,0.0,1.0
621,dibenzanthracene-d,dibenzanthracene-d,,,true,3271.264367816092,3270.0,23,amzi0503_b,0,864,870,98.73999786376953,,621,77.62952900514416,1.4930542816208143,53.08405789808603,1141.668601159422,,,0.0,0.0,1.0
580,glucose-13C6,glucose-13C6 no-search probably new,,,true,1987.9194630872487,1986.0,24,amzi0503_b,0,912,912,93.94999694824219,,580,50.58069405962077,1.1944434252966514,165.89159309701063,2831.252959654409,,,0.0,0.0,1.0
4,pentaerythritol-C13,pentaerythritol-C13,,,true,1524.9999999999998,1525.0,26,amzi0503_b,0,980,980,98.68000030517578,,4,36.410447662597974,0.487731065329466,5760.5219469289295,56176.97792172453,,,0.0,0.0,1.0
719,perylene-d,perylene-d,,,true,2959.5959595959594,2958.0,27,amzi0503_b,0,878,888,98.5199966430664,,719,72.19696805400673,1.4134247199343708,22.9448190817493,570.442319592574,,,0.0,0.0,1.0
593,1128_0203_blob_563,,,,false,1729.268292682927,1730.0,21,amz_fb_trimmed,0,922,922,92.48999786376953,,0,43.05868658881511,0.45786997969704973,114.10681715549435,1516.4863329758452,,,0.0,0.0,0.0
566,1128_0203_blob_564,,,,false,1957.0469798657718,1957.0,34,amz_fb_trimmed,0,893,893,98.23999786376953,,0,49.706925515032225,0.69675866475638,484.8170065358281,6280.850866862983,,,0.0,0.0,0.0
666,1128_0203_blob_565,,,,false,1626.8292682926829,1627.0,89,amz_fb_trimmed,0,900,904,96.04000091552734,,0,39.86753190423088,0.44791628448624426,38.15480137268605,445.6972882349164,,,0.0,0.0,0.0
711,1128_0203_blob_569,,,,false,2054.4117647058824,2055.0,22,amz_fb_trimmed,0,856,879,95.58999633789062,,0,52.32823114879784,0.8759251785508777,25.31989538995549,838.0792954373865,,,0.0,0.0,0.0
571,1128_0203_blob_571,,,,false,1816.1073825503356,1815.0,23,amz_fb_trimmed,0,912,913,98.9000015258789,,0,45.717982159301954,0.9555547402373211,322.07101307064295,4099.171994432574,,,0.0,0.0,0.0
585,1128_0203_blob_572,,,,false,2577.19298245614,2575.0,24,amz_fb_trimmed,0,915,916,98.97000122070312,,0,64.63697064647982,1.0053232162913484,151.73559816816123,1925.9830028460779,,,0.0,0.0,0.0
1944,1128_0203_blob_572,,,,false,2577.19298245614,2575.0,24,amz_fb_trimmed,0,536,669,81.70999908447266,,0,64.63697064647982,1.4432858055667872,3.0560513423988596,121.88310086127058,,,0.0,0.0,0.0
