,4-methoxy-benzaldehyde,chrysene-d,d-anthraquinone,"d-C10 acid, TMS","d-C15 alcohol, TMS","d-C22 acid, TMS",d-C6diacid,d-cholestane,d-cholesterol,d-pyrene,dC14,dC16,dC18,dC20,dC22,dC24,dC26,dC28,dC30,dC32,dC34,dC36,dibenzanthracene-d,glucose-13C6,methoxyphenol-d3,pentaerythritol-C13,perylene-d
4-methoxy-benzaldehyde,1,0.660965004,0.673723845,0.700376271,0.74375465,0.685617733,0.367515775,0.766157044,0.69379246,0.70594192,0.495993361,0.749780967,0.822354796,0.752006551,0.78561417,0.781360679,0.736797558,0.706196079,0.529612586,0.660483399,0.534810412,0.584088537,0.055730422,0.3056698,0.5512553,0.588468348,0.521705604
chrysene-d,0.660965004,1,0.960004067,0.503783477,0.729173559,0.852823018,0.561807611,0.938067055,0.852709329,0.96871154,0.638184796,0.633663514,0.806404629,0.896608485,0.918220107,0.948389363,0.94534965,0.920492761,0.821331447,0.851621758,0.777804389,0.795013812,0.734534051,0.550883365,0.677398031,0.651427474,0.806422587
d-anthraquinone,0.673723845,0.960004067,1,0.485174689,0.769211321,0.786603269,0.582060745,0.927778787,0.775575783,0.978683956,0.661303251,0.633271144,0.824855729,0.939667079,0.944610003,0.962832701,0.946963827,0.92609214,0.786404658,0.842024631,0.764481299,0.77542901,0.603952357,0.513958508,0.677373657,0.655165802,0.748115935
"d-C10 acid, TMS",0.700376271,0.503783477,0.485174689,1,0.718449774,0.509711966,0.521555212,0.569982541,0.5414425,0.512562189,0.567466379,0.822745921,0.774123622,0.602527174,0.60089197,0.582721097,0.595346681,0.514041737,0.476233923,0.567577101,0.477051874,0.549553953,0.095520706,0.284320379,0.551682741,0.85270389,0.445151004
"d-C15 alcohol, TMS",0.74375465,0.729173559,0.769211321,0.718449774,1,0.650762921,0.457376018,0.806600104,0.689923993,0.785518571,0.43447198,0.715637892,0.86338493,0.876561776,0.856912037,0.840977643,0.841584496,0.79756918,0.688071704,0.793908477,0.713670771,0.759098188,0.032351276,0.324442113,0.482519204,0.772438823,0.546725411
"d-C22 acid, TMS",0.685617733,0.852823018,0.786603269,0.509711966,0.650762921,1,0.511542794,0.858904618,0.953061193,0.805065545,0.546325469,0.653881448,0.773704113,0.744603781,0.795291619,0.836933634,0.826563545,0.869198726,0.736036686,0.795384322,0.740591752,0.722264037,0.52484126,0.518326101,0.474093207,0.615917325,0.678961501
d-C6diacid,0.367515775,0.561807611,0.582060745,0.521555212,0.457376018,0.511542794,1,0.562633703,0.540311605,0.592184691,0.550836776,0.477681792,0.637556557,0.619054549,0.615214499,0.598629377,0.63914907,0.627237212,0.548201659,0.614722019,0.567966742,0.562719719,0.248092194,0.20857269,0.673700922,0.77708227,0.553936556
d-cholestane,0.766157044,0.938067055,0.927778787,0.569982541,0.806600104,0.858904618,0.562633703,1,0.884404114,0.920886387,0.599763006,0.674401877,0.847301064,0.918228443,0.913253673,0.961082755,0.938912842,0.961843281,0.831905351,0.860075262,0.813419198,0.810209299,0.651615831,0.468400903,0.641640024,0.691311521,0.828355204
d-cholesterol,0.69379246,0.852709329,0.775575783,0.5414425,0.689923993,0.953061193,0.540311605,0.884404114,1,0.807815188,0.501151885,0.642394882,0.788109933,0.760010277,0.80182766,0.837665583,0.849372312,0.87950397,0.791286401,0.840185644,0.79909109,0.791051699,0.546829974,0.383080366,0.521673013,0.645796543,0.803258803
d-pyrene,0.70594192,0.96871154,0.978683956,0.512562189,0.785518571,0.805065545,0.592184691,0.920886387,0.807815188,1,0.641392037,0.669478592,0.858117405,0.948576508,0.967013087,0.968333452,0.968803773,0.929864804,0.802146411,0.877881407,0.784702525,0.806977318,0.605917831,0.479508814,0.704474854,0.666089526,0.761128902
dC14,0.495993361,0.638184796,0.661303251,0.567466379,0.43447198,0.546325469,0.550836776,0.599763006,0.501151885,0.641392037,1,0.736899103,0.638971039,0.557613427,0.594908189,0.592906968,0.577554976,0.548648813,0.435539013,0.485170891,0.401727149,0.393628773,0.453992327,0.559642691,0.638110363,0.544042151,0.558784918
dC16,0.749780967,0.633663514,0.633271144,0.822745921,0.715637892,0.653881448,0.477681792,0.674401877,0.642394882,0.669478592,0.736899103,1,0.892555709,0.691942725,0.739962864,0.70446013,0.701965996,0.635199631,0.480432107,0.634222999,0.503132522,0.544990204,0.215843509,0.384367834,0.482035533,0.723843681,0.497575742
dC18,0.822354796,0.806404629,0.824855729,0.774123622,0.86338493,0.773704113,0.637556557,0.847301064,0.788109933,0.858117405,0.638971039,0.892555709,1,0.906706852,0.929904185,0.901699564,0.907443612,0.843564501,0.690455933,0.844304124,0.717503903,0.76390819,0.326681998,0.359398931,0.623248958,0.823735744,0.627729924
dC20,0.752006551,0.896608485,0.939667079,0.602527174,0.876561776,0.744603781,0.619054549,0.918228443,0.760010277,0.948576508,0.557613427,0.691942725,0.906706852,1,0.975132371,0.973913052,0.967783416,0.933076173,0.798686278,0.891111415,0.805594565,0.838663905,0.446081041,0.391578417,0.65953054,0.750087561,0.695332307
dC22,0.78561417,0.918220107,0.944610003,0.60089197,0.856912037,0.795291619,0.615214499,0.913253673,0.80182766,0.967013087,0.594908189,0.739962864,0.929904185,0.975132371,1,0.982466607,0.978392313,0.927321147,0.775367375,0.895080136,0.778952328,0.817374011,0.498841488,0.415333641,0.663340472,0.730500874,0.68868756
dC24,0.781360679,0.948389363,0.962832701,0.582721097,0.840977643,0.836933634,0.598629377,0.961082755,0.837665583,0.968333452,0.592906968,0.70446013,0.901699564,0.973913052,0.982466607,1,0.980271721,0.96218597,0.814218111,0.896381834,0.809312602,0.833653292,0.633599757,0.471992433,0.652799253,0.720649397,0.733928115
dC26,0.736797558,0.94534965,0.946963827,0.595346681,0.841584496,0.826563545,0.63914907,0.938912842,0.849372312,0.968803773,0.577554976,0.701965996,0.907443612,0.967783416,0.978392313,0.980271721,1,0.956349705,0.842863372,0.928662847,0.837794182,0.870747818,0.575290615,0.448431301,0.693915869,0.75120348,0.76370799
dC28,0.706196079,0.920492761,0.92609214,0.514041737,0.79756918,0.869198726,0.627237212,0.961843281,0.87950397,0.929864804,0.548648813,0.635199631,0.843564501,0.933076173,0.927321147,0.96218597,0.956349705,1,0.882641592,0.931143669,0.893683381,0.879333007,0.562161597,0.479066366,0.636395774,0.705867859,0.768997532
dC30,0.529612586,0.821331447,0.786404658,0.476233923,0.688071704,0.736036686,0.548201659,0.831905351,0.791286401,0.802146411,0.435539013,0.480432107,0.690455933,0.798686278,0.775367375,0.814218111,0.842863372,0.882641592,1,0.94246485,0.968302203,0.96106947,0.325995368,0.504500786,0.601487647,0.636027501,0.725911421
