"","Compound.Name","LRI_avg_all","Retention.II..sec.","relative_LRI","relative_LRI2"
"1","4-methoxy-benzaldehyde",1291.20939944372,1.540659628,0.556706601482164,1.82273519215446
"2","chrysene-d",2523.84783127166,1.312045618,1.08816025457273,1.55226480799343
"3","d-anthraquinone",2013.3888352958,1.461141711,0.868075198680054,1.72865853622828
"4","d-C10 acid, TMS",1465.81123934416,0.715661246,0.631986410431344,0.846689895054035
"5","d-C15 alcohol, TMS",1869.31467792286,0.536745935,0.805957439510199,0.63501742188207
"6","d-C22 acid, TMS",2647.50192321501,0.715661246,1.1414738761393,0.846689895054035
"7","d-C6diacid",1524.32864414327,0.993973953,0.657216265145305,1.17595818783796
"8","d-cholestane",2914.68800219623,0.84487786,1.256671499435,0.99956445960311
"9","d-cholesterol",3202.82996637859,0.8548176,1.38090427972104,1.01132404203754
"10","d-pyrene",2168.19042064751,1.252407181,0.934818102288351,1.48170731693611
"11","dC14",1400,0.496986977,0.603611809525866,0.587979094510523
"12","dC16",1600.02258355917,0.506926716,0.689851804960286,0.599738675761866
"13","dC18",1800.05472754634,0.516866456,0.776095922385596,0.611498258196296
"14","dC20",2000.13260409427,0.536745935,0.862359757463587,0.63501742188207
"15","dC22",2200.27550254847,0.546685674,0.948651626820511,0.646777003133414
"16","dC24",2400.682451865,0.566565153,1.03505734204802,0.670296166819187
"17","dC26",2600.44068250724,0.576504893,1.12118336138062,0.682055749253618
"18","dC28",2800.54882235175,0.596384372,1.20746024451805,0.705574912939392
"19","dC30",3000.53160966151,0.616263851,1.2936830817481,0.729094076625166
"20","dC32",3200.01174536058,0.63614333,1.37968920008652,0.75261324031094
"21","dC34",3400.39639845368,0.675902288,1.46608530226847,0.799651567682488
"22","dC36",3600,0.755420205,1.55214465306651,0.893728223608671
"23","dibenzanthracene-d",3271.73712465473,1.540659628,1.41061369007557,1.82273519215446
"24","glucose-13C6",1987.64215180802,1.242467442,0.856974482816232,1.46994773568476
"25","methoxyphenol-d3",1254.92127555858,0.805118902,0.541060929966016,0.952526132231562
"26","pentaerythritol-C13",1524.73436233766,0.506926716,0.657391191069215,0.599738675761866
"27","perylene-d",2959.78626189705,1.471081451,1.27611567239534,1.74041811866271
