File_num,Category,IOP,AMZ_date,BackTrajectory_Category
GCxGC_20181221_0455,Sample,1,2/8/2014 6:00,Baseline
GCxGC_20181221_0644,Sample,1,2/8/2014 18:00,
GCxGC_20181221_0832,Sample,1,2/9/2014 6:00,Polluted
GCxGC_20181221_1021,Sample,1,2/9/2014 18:00,
GCxGC_20181221_1209,Sample,1,2/10/2014 6:00,Baseline
GCxGC_20181221_1424,Sample,1,2/10/2014 18:00,
GCxGC_20181221_1613,Sample,1,2/11/2014 6:00,
GCxGC_20181221_1801,Sample,1,2/11/2014 18:00,
GCxGC_20181221_1950,Sample,1,2/12/2014 6:00,
GCxGC_20181221_2138,Sample,1,2/12/2014 18:00,
GCxGC_20181221_2326,Sample,1,2/13/2014 6:00,Baseline
GCxGC_20181222_0114,Sample,1,2/13/2014 18:00,
GCxGC_20181222_0302,Sample,1,2/14/2014 6:00,
GCxGC_20181222_0450,Sample,1,2/14/2014 18:00,
GCxGC_20181128_1435,Sample,1,2/15/2014 6:00,
GCxGC_20181128_1708,Sample,1,2/15/2014 18:00,
GCxGC_20181128_1901,Sample,1,2/16/2014 6:00,Baseline
GCxGC_20181128_2052,Sample,1,2/16/2014 18:00,
GCxGC_20181128_2244,Sample,1,3/6/2014 6:00,
GCxGC_20181129_0035,Sample,1,3/6/2014 18:00,
GCxGC_20181129_0226,Sample,1,3/7/2014 6:00,
GCxGC_20181129_1142,Sample,1,3/7/2014 18:00,
GCxGC_20181129_0609,Sample,1,3/8/2014 6:00,
GCxGC_20181129_0801,Sample,1,3/8/2014 18:00,
GCxGC_20181129_1334,Sample,1,3/9/2014 6:00,Polluted
GCxGC_20181129_1556,Sample,1,3/9/2014 18:00,
GCxGC_20181129_1751,Sample,1,3/10/2014 6:00,
GCxGC_20181129_1943,Sample,1,3/10/2014 18:00,
GCxGC_20181129_2134,Sample,1,3/11/2014 6:00,
GCxGC_20181130_1809,Sample,1,3/11/2014 18:00,
GCxGC_20181130_2001,Sample,1,3/12/2014 6:00,
GCxGC_20181130_2153,Sample,1,3/12/2014 18:00,
GCxGC_20181130_2345,Sample,1,3/13/2014 6:00,
GCxGC_20181201_0136,Sample,1,3/13/2014 18:00,
GCxGC_20181202_0046,Sample,1,3/14/2014 6:00,Polluted
GCxGC_20181202_0239,Sample,1,3/14/2014 18:00,
GCxGC_20181202_0430,Sample,1,3/15/2014 6:00,
GCxGC_20181202_0621,Sample,1,3/15/2014 18:00,
GCxGC_20181202_0811,Sample,1,3/16/2014 6:00,
GCxGC_20181202_1221,Sample,1,3/16/2014 18:00,
GCxGC_20181202_1412,Sample,1,3/17/2014 6:00,
GCxGC_20181202_1753,Sample,1,3/17/2014 18:00,
GCxGC_20181202_1602,Sample,1,3/18/2014 6:00,
GCxGC_20181202_2134,Sample,1,3/18/2014 18:00,
GCxGC_20181202_2325,Sample,1,3/19/2014 6:00,
GCxGC_20181203_0115,Sample,1,3/19/2014 18:00,
GCxGC_20181203_0306,Sample,1,3/20/2014 6:00,
GCxGC_20181203_0456,Sample,1,3/20/2014 18:00,
GCxGC_20181203_0647,Sample,1,2/27/2014 6:00,
GCxGC_20181203_0837,Sample,1,2/27/2014 18:00,
GCxGC_20181203_1027,Sample,1,2/28/2014 6:00,
GCxGC_20181203_1444,Sample,1,2/28/2014 18:00,
GCxGC_20181203_1638,Sample,1,3/1/2014 6:00,
GCxGC_20181203_1829,Sample,1,3/1/2014 18:00,
1205_0144,Sample,2,9/8/2014 2:05,
1205_0335,Sample,2,9/8/2014 6:00,
1205_0526,Sample,2,9/8/2014 9:55,
1205_0717,Sample,2,9/8/2014 13:50,
1205_0908,Sample_fileproblem_lookfor,0,9/8/2014 18:15,
1205_1100,Sample,2,9/8/2014 22:10,
1205_1251,Sample,2,9/9/2014 2:05,
1205_1450,Sample,2,9/9/2014 6:00,Baseline
1205_1643,Sample,2,9/9/2014 9:55,Baseline
1205_1834,Sample,2,9/9/2014 13:50,Baseline
1205_2025,Sample,2,9/9/2014 18:15,Baseline
1205_2216,Sample,2,9/9/2014 22:10,
1206_0007,Sample,2,9/10/2014 2:05,
1206_0159,Sample,2,9/10/2014 6:00,
1206_1723,Sample,2,9/10/2014 9:55,
1206_1917,Sample,2,9/10/2014 13:50,
1206_2109,Sample,2,9/10/2014 18:15,
1206_2300,Sample,2,9/10/2014 22:10,
1207_0052,Sample,2,9/11/2014 2:05,
1207_0244,Sample,2,9/11/2014 6:00,
1207_0435,Sample,2,9/11/2014 9:55,Urban
1207_0627,Sample,2,9/11/2014 13:50,Urban
1207_1010,Sample,2,9/11/2014 18:18,Urban
1207_1202,Sample,2,9/11/2014 22:10,
1207_1354,Sample,2,9/12/2014 2:05,
1206_0541,Sample,2,9/13/2014 18:15,
1206_0732,Sample,2,9/13/2014 22:10,
1206_0924,Sample,2,9/14/2014 2:05,
1206_1115,Sample,2,9/14/2014 6:00,
1206_1329,Sample,2,9/14/2014 9:55,Urban
1206_0350,Sample,2,9/15/2014 2:05,Urban
1211_0310,Sample,2,9/18/2014 18:21,
1211_0500,Sample_file_compromised,0,9/18/2014 22:10,
1211_0651,Sample,2,9/19/2014 2:05,
1211_0842,Sample,2,9/19/2014 6:00,
1211_1109,Sample,2,9/19/2014 9:55,
1211_1302,Sample,2,9/19/2014 13:50,
1211_1453,Sample,2,9/19/2014 18:15,
1211_1643,Sample,2,9/19/2014 22:10,
1211_1834,Sample,2,9/20/2014 2:05,
1212_1328,Sample,2,9/20/2014 6:00,
1212_0704,Sample_file_corrupted,0,9/20/2014 9:55,
1212_0855,Sample,2,9/20/2014 13:50,
1212_1046,Sample,2,9/20/2014 18:15,
1212_1520,Sample,2,9/20/2014 22:10,
1212_1711,Sample,2,9/21/2014 2:05,
1212_1902,Sample,2,9/21/2014 6:00,
1212_2052,Sample,2,9/21/2014 9:55,
1212_2243,Sample,2,9/21/2014 13:50,
1213_0034,Sample,2,9/21/2014 18:15,
1213_0225,Sample,2,9/21/2014 22:10,
1213_0415,Sample,2,9/22/2014 2:05,
1213_0606,Sample,2,9/22/2014 6:00,
1213_0757,Sample,2,9/22/2014 9:55,
1213_0948,Sample,2,9/22/2014 13:50,
1213_1139,Sample,2,9/22/2014 18:15,
1213_1403,Sample,2,9/22/2014 22:10,
1213_1612,Sample,2,9/23/2014 2:05,
1213_1803,Sample,2,9/23/2014 6:00,
1213_1954,Sample,2,9/23/2014 9:55,Event
1213_2145,Sample,2,9/23/2014 13:50,Event
1213_2337,Sample,2,9/23/2014 18:15,Event
1214_0128,Sample,2,9/23/2014 22:10,
1215_0249,Sample,2,9/24/2014 2:05,
1214_0510,Sample,2,9/24/2014 6:00,
1214_0701,Sample,2,9/24/2014 9:55,
1214_0852,Sample,2,9/24/2014 13:50,
1214_1043,Sample,2,9/24/2014 18:15,
1214_1235,Sample,2,9/24/2014 22:10,
1214_1444,Sample,2,9/25/2014 2:05,
1215_1610,Sample,2,9/25/2014 6:00,
1214_2306,Sample,2,9/25/2014 9:55,
1215_0057,Sample,2,9/25/2014 13:50,
1215_0823,Sample,2,9/25/2014 18:15,
1215_1015,Sample,2,9/25/2014 22:10,
1215_1206,Sample,2,9/26/2014 2:05,
1215_1358,Sample,2,9/26/2014 6:00,
1215_1803,Sample,2,9/26/2014 9:55,
1215_1955,Sample,2,9/26/2014 13:50,
1215_2146,Sample,2,9/26/2014 18:15,
1215_2337,Sample,2,9/26/2014 22:10,
1216_0129,Sample,2,9/27/2014 2:05,
1216_0320,Sample,2,9/27/2014 6:00,Event
1216_0512,Sample,2,9/27/2014 9:55,Event
1216_0703,Sample,2,9/27/2014 13:50,Event
1216_0940,Sample,2,9/27/2014 18:15,Event
1216_1132,Sample,2,9/27/2014 22:10,
1216_1322,Sample,2,9/28/2014 2:05,
1216_1514,Sample,2,9/28/2014 6:00,
1216_1705,Sample,2,9/28/2014 9:55,
1216_1856,Sample,2,9/28/2014 13:50,
1216_2047,Sample,2,9/28/2014 18:15,
1216_2238,Sample,2,9/28/2014 22:10,
