"","Compound.Name","assigned_cluster_1","anthro_influenced_1","influence_type_1","notes_1","assigned_cluster_2","anthro_influenced_2","influence_type_2","notes_2","ES_Comp_Name","Tracer_key","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","cumsum_ISrawnorm","vol_frac_1","vol_frac_2"
"1","Blob with BlobID = 7",5,FALSE,NA,"IEPOX and LOOOA",NA,NA,NA,NA,NA,NA,"Bis(tert-butyldimethylsilyl) 2,3-bis((tert-butyldimethylsilyl)thio)succinate",608,NA,NA,0.000377117099273775,0.020926692898477,NA
"2","Blob with BlobID = 614",NA,NA,NA,NA,10,TRUE,"BB","only correlations are ams HC and BB tracer",NA,NA,"2-(But-2-enylideneamino)-propionitrile",726,NA,NA,0.000109872465724431,NA,0.00618291618211408
"3","Blob with BlobID = 610",NA,NA,NA,NA,10,TRUE,"BB","only correlations are ams HC and BB tracer",NA,NA,"3H,4H-Pyrrolo[1,2-a]pyrazine",741,NA,NA,0.000199709393355294,NA,0.00618291618211408
"4","Blob with BlobID = 607",NA,NA,NA,NA,10,TRUE,"BB","only correlations are ams HC and BB tracer",NA,NA,"3H,4H-Pyrrolo[1,2-a]pyrazine",743,NA,NA,0.000177452057183835,NA,0.00618291618211408
"5","Blob with BlobID = 597",NA,NA,NA,NA,10,TRUE,"BB","only correlations are ams HC and BB tracer",NA,NA,"1,2,3,4-Tetrahydro-pyridine-2,5-dicarbonitrile",636,NA,NA,0.000225888957773065,NA,0.00618291618211408
"6","Blob with BlobID = 592",NA,NA,NA,NA,10,TRUE,"BB","only correlations are ams HC and BB tracer",NA,NA,"1-Cyclopentene-1-carbonitrile, 2-amino-",695,NA,NA,0.00027167917836468,NA,0.00618291618211408
"7","Blob with BlobID = 587",NA,NA,NA,NA,10,TRUE,"BB","only correlations are ams HC and BB tracer",NA,NA,"2-(But-2-enylideneamino)-propionitrile",713,NA,NA,0.000204868323224824,NA,0.00618291618211408
"8","Blob with BlobID = 584",13,TRUE,"UP",NA,8,FALSE,NA,"very strong IEPOX connections",NA,NA,"Azelaic acid, 2TMS derivative",903,NA,NA,0.00413443670407727,0.0242284099717432,0.0102040903714525
"9","Blob with BlobID = 580",NA,NA,NA,NA,10,TRUE,"BB","only correlations are ams HC and BB tracer",NA,NA,"3-Hexenedinitrile",615,NA,NA,0.000782697675266837,NA,0.00618291618211408
"10","Blob with BlobID = 572",NA,NA,NA,NA,10,TRUE,"BB","only correlations are ams HC and BB tracer",NA,NA,"Benzenamine, 4-(1H-tetrazol-1-yl)-",662,NA,NA,0.000368529378649933,NA,0.00618291618211408
"11","Blob with BlobID = 562",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,4-bis-O-(trimethylsilyl)-, diacetate",647,NA,NA,0.00498294736012619,NA,0.525616925600794
"12","Blob with BlobID = 561",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Levoglucosan, 3TMS derivative",831,NA,NA,0.00159070115356818,NA,0.525616925600794
"13","Blob with BlobID = 547",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"D-Ribo-Hexonic acid, 3-deoxy-2,5,6-tris-O-(trimethylsilyl)-, lactone",685,NA,NA,0.00711048779531092,NA,0.525616925600794
"14","Blob with BlobID = 4",4,FALSE,NA,"some HC influence but not clear",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"Hypoxanthine, 2TBDMS derivative",693,NA,NA,0.000150493489503289,0.0339718247071164,0.117693231121791
"15","Blob with BlobID = 334",NA,NA,NA,NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"[2-(2-Ethoxyethoxy)ethoxy]acetic acid, TBDMS derivative",722,NA,NA,0.0171811980760477,NA,0.230717631063636
"16","1221_2326_blob_973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-Butenedioic acid (E)-, bis(2-ethylhexyl) ester",674,"apin_ox_S_blob_751",374,NA,NA,NA
"17","1221_2326_blob_947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tris(3-chloropropyl) phosphate",522,"limonox_S_blob_823",441,NA,NA,NA
"18","1221_2326_blob_913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9-Tetradecenoic acid, (E)-, TMS derivative",716,"limonox_S_blob_823",574,NA,NA,NA
"19","1221_2326_blob_902",NA,NA,NA,NA,9,FALSE,NA,"decent MOOOA correlation",NA,NA,"6-Ethyl-3-decanol, TMS derivative",614,"apin_ox_S_blob_660",561,2.3235869789019e-06,NA,0.017819936581507
"20","1221_2326_blob_887",4,FALSE,NA,"some HC influence but not clear",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",718,"bcp_ox_L_blob_18",526,9.08161492933229e-06,0.0339718247071164,0.525616925600794
"21","1221_2326_blob_871",4,FALSE,NA,"some HC influence but not clear",NA,NA,NA,NA,NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",626,"limonox_S_blob_725",602,1.34817408348591e-06,0.0339718247071164,NA
"22","1221_2326_blob_869",NA,NA,NA,NA,6,FALSE,NA,"no strong corr with anything, a tiny bit with IEPOX",NA,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",673,"bcp_ox_L_blob_18",547,2.28495339255523e-06,NA,0.0254276438988571
"23","1221_2326_blob_864",7,FALSE,NA,"total myserty",NA,NA,NA,NA,NA,NA,"2'-Acetonaphthone, 1',2'a,3',4',4'a,5',6',7',8',8'aa-decahydro-5'ﬂ-hydroxy-4'aﬂ,8'ﬂ-dimethyl-, (.+-.)-",690,"bcp_ox_L_blob_649",589,2.4130096282254e-06,0.057495434307447,NA
"24","1221_2326_blob_862",4,FALSE,NA,"some HC influence but not clear",NA,NA,NA,NA,NA,NA,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",627,"limonox_L_blob_611",634,4.96897145796318e-05,0.0339718247071164,NA
"25","1221_2326_blob_861",4,FALSE,NA,"some HC influence but not clear",1,FALSE,NA,"some anthro influence and IEPOX but none strong",NA,NA,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",632,"limonox_S_blob_905",576,3.9584666544085e-06,0.0339718247071164,0.0205401784224247
