Compound.Name,assigned_cluster_1,anthro_influenced_1,influence_type_1,notes_1,assigned_cluster_2,anthro_influenced_2,influence_type_2,notes_2,ES_Comp_Name,Tracer_key,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,cumsum_ISrawnorm,vol_frac_1,vol_frac_2,Overlap_Class
1128_1901_fb_add_blob_704,13,TRUE,UP,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,pinonic acid,MT2,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",661,myrc_ox_L_blob_556,900,0.000580345,0.02422841,0.020540178,IOP1_UP
1128_1901_blob_1117,11,TRUE,UP,Phthalic acid here; also some bb influence,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"2-Oxooctanoic acid, TMS derivative",635,apin_ox_L_blob_116,863,0.000277369,0.172096193,0.020540178,IOP1_UP
1128_1901_blob_901,13,TRUE,UP,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",602,apin_ox_L_blob_556,776,9.77E-05,0.02422841,0.020540178,IOP1_UP
1202_1412_blob_785,11,TRUE,UP,Phthalic acid here; also some bb influence,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"Bicyclo[2.2.1]heptane-1-carboxylic acid, 7-[(trimethylsilyl)oxy]-, methyl ester",613,apin_ox_S_blob_633,751,0.000122691,0.172096193,0.020540178,IOP1_UP
1129_1334_blob_895,13,TRUE,UP,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"Pimelic acid, 2TMS derivative",832,myrc_ox_L_blob_627,647,0.000289572,0.02422841,0.020540178,IOP1_UP
1221_0832_blob_1127,13,TRUE,UP,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"a-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(methylboronate)",623,limonox_S_blob_771,615,7.64E-05,0.02422841,0.020540178,IOP1_UP
1202_1412_blob_1325,13,TRUE,UP,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"1,3-Dioxolane-4-prop-2-enoic acid, 2,2-dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)propyl]-, methyl ester",623,limonox_S_blob_672,613,7.07E-05,0.02422841,0.020540178,IOP1_UP
1221_0832_blob_707,13,TRUE,UP,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"Silane, [(1-methoxy-1,3-propanediyl)bis(oxy)]bis[trimethyl-",617,limonox_S_blob_730,578,0.000886093,0.02422841,0.020540178,IOP1_UP
1202_0046_blob_1087,12,TRUE,UP,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,2-Chlorobis(3-trimethylsilylpropyl)silylnorbornadiene,626,bcp_ox_L_blob_678,548,4.14E-05,0.064918255,0.020540178,IOP1_UP
1129_1334_blob_1364,13,TRUE,UP,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"[2,6-Bis(1-methylethyl)phenoxy](trimethyl)silane",573,bcp_ox_L_blob_650,452,2.41E-05,0.02422841,0.020540178,IOP1_UP
1128_1901_fb_add_blob_1175,6,TRUE,BB,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,C9 acid,NA,"Nonanoic acid, TMS derivative",810,limonox_L_blob_587,865,0.004944373,0.023154976,0.020540178,IOP1_BB
1202_0046_blob_1106,10,TRUE,BB,Levoglucosan here,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"§-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",690,limonox_S_blob_725,624,5.69E-05,0.101396088,0.020540178,IOP1_BB
1128_1901_blob_1465,10,TRUE,BB,Levoglucosan here,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"2-Ketobutyric acid, TMS derivative",703,myrc_ox_L_blob_618,615,0.00798668,0.101396088,0.020540178,IOP1_BB
1128_2052_blob_1204,6,TRUE,BB,NA,1,FALSE,NA,some anthro influence and IEPOX but none strong,NA,NA,"l-Galactopyranose, 6-deoxy-1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",550,apin_ox_S_blob_684,609,7.07E-05,0.023154976,0.020540178,IOP1_BB
