,BlobID,Compound.Name,Library Name,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,Overlap_Class,Overlap_Class1,influence_type_1,influence_type_2,assigned_cluster_1,assigned_cluster_2
1090,1301,1129_1334_blob_1301,amz_lib_1129_1334,erythreitol,676,723,1530.434783,1528,"Deoxyribopyranose, tris(trimethylsilyl) ether (isomer 2)",703,732,1502,C14H34O4Si3,350,myrc_ox_L_blob_846,635,664,1529,Both_BB,Common_Class,BB,BB,10,4
878,743,1202_0046_blob_743,amz_lib_1202_0046,C7 acid,472,587,1618.292683,NA,"Methyl a-D-glucofuranoside, 4TMS derivative",699,749,NA,C19H46O6Si4,482,myrc_ox_L_blob_613,624,670,1627,Both_BB,Common_Class,BB,BB,10,4
1135,1097,1129_1334_blob_1097,amz_lib_1129_1334,threitol,510,526,1519.565217,1521,"2-Methyl-1,3-butanediol, 2TMS derivative",728,832,NA,C11H28O2Si2,248,myrc_ox_L_blob_592,624,668,1528,Both_BB,Common_Class,BB,BB,10,4
709,754,1202_1412_blob_754,amz_lib_1202_1412,levoglucosan,636,690,1734.545455,1726,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",718,733,NA,C14H31BO6Si2,362,apin_ox_L_blob_553,616,658,1726,Both_BB,Common_Class,BB,BB,10,4
984,794,1129_1334_blob_794,amz_lib_1129_1334,mannosan,533,623,1710.30303,1706,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",658,691,NA,C13H26BNO6Si,331,myrc_ox_L_blob_709,604,687,1709,Both_BB,Common_Class,BB,BB,10,4
191,684,1221_0832_blob_684,amz_lib_1221_0832,levoglucosan,635,675,1718.292683,1726,"Methyl a-Arabinofuranoside, 3TMS derivative",736,796,NA,C15H36O5Si3,380,myrc_ox_L_blob_709,571,592,1709,Both_BB,Common_Class,BB,BB,10,4
383,976,1213_2145_blob_976,amz_lib_1213_2145,C7 acid,612,630,3488.172043,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",750,800,NA,C14H29FO2Si,276,limonox_S_blob_687,565,590,NA,Both_BB,Common_Class,BB,BB,10,4
407,732,1213_2145_blob_732,amz_lib_1213_2145,C26 acid,875,876,3088.172043,3088,"Hexacosanoic acid, TMS derivative",794,796,3036,C29H60O2Si,468,limonox_S_blob_687,556,598,NA,Both_BB,Common_Class,BB,BB,6,4
974,897,1129_1334_blob_897,amz_lib_1129_1334,C7 acid,420,551,1855.033557,NA,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",645,664,NA,C16H37BO6Si3,420,limonox_S_blob_823,555,620,1843,Both_BB,Common_Class,BB,BB,10,4
857,1,1202_1412_blob_1,amz_lib_1202_1412,levoglucosan,940,940,1727.272727,1726,"Levoglucosan, 3TMS derivative",827,907,1694,C15H34O5Si3,378,apin_ox_L_blob_553,545,564,1726,Both_BB,Common_Class,BB,BB,10,4
396,863,1213_2145_blob_863,amz_lib_1213_2145,C28 acid,847,851,3291.954023,3291,Trimethylsilyl octacosanoate,735,744,3229,C31H64O2Si,496,bcp_ox_L_blob_18,544,581,NA,Both_BB,Common_Class,BB,BB,10,4
1218,917,1128_1901_blob_917,amz_lib_1128_1901,C7 acid,592,664,2580.869565,NA,"Heneicosanoic acid, TMS derivative",752,765,2534,C24H50O2Si,398,limonox_S_blob_687,543,614,NA,Both_BB,Common_Class,BB,BB,6,4
1186,633,1128_1901_fb_add_blob_633,amz_lib_1128_1901_fb_add,C22 acid,879,880,2682.242991,2684,"Behenic acid, TMS derivative",850,853,2644,C25H52O2Si,412,limonox_S_blob_687,538,615,NA,Both_BB,Common_Class,BB,BB,6,4
1288,694,1128_1901_blob_694,amz_lib_1128_1901,C7 acid,595,662,2783.17757,NA,Trimethylsilyl tricosanoate,843,862,2732,C26H54O2Si,426,bcp_ox_L_blob_18,538,601,NA,Both_BB,Common_Class,BB,BB,6,4
399,816,1213_2145_blob_816,amz_lib_1213_2145,C7 acid,403,475,2017.647059,NA,"N-Acetyl glucosamine methoxime, tetrakis(trimethylsilyl)",650,670,NA,C21H50N2O6Si4,538,apin_ox_S_blob_592,533,673,NA,Both_BB,Common_Class,BB,BB,10,4
1130,1108,1129_1334_blob_1108,amz_lib_1129_1334,C7 acid,404,515,1421.73913,NA,"D-Ribofuranose, 1,2,3,5-tetrakis-O-(trimethylsilyl)-",712,733,NA,C17H42O5Si4,438,apin_ox_L_blob_552,521,574,1422,Both_BB,Common_Class,BB,BB,10,4
638,102,1206_0924_blob_102,amz_lib_1206_0924,C7 acid,554,625,2985.714286,NA,"Pentacosanoic acid, trimethylsilyl ester",823,825,2923,C28H58O2Si,454,limonox_S_blob_687,519,592,NA,Both_BB,Common_Class,BB,BB,10,4
577,348,1206_0924_blob_348,amz_lib_1206_0924,C7 acid,357,545,1848.648649,NA,"3,4,5-Trimethoxybenzoic acid, TMS derivative",731,795,NA,C13H20O5Si,284,limonox_S_blob_823,515,632,1843,Both_BB,Common_Class,BB,BB,10,4
1190,586,1128_1901_fb_add_blob_586,amz_lib_1128_1901_fb_add,C24 acid,939,939,2884.848485,2886,"Lignoceric acid, TMS derivative",896,913,2838,C27H56O2Si,440,bcp_ox_L_blob_18,513,591,NA,Both_BB,Common_Class,BB,BB,6,4
1266,781,1128_1901_blob_781,amz_lib_1128_1901,C7 acid,409,472,2593.043478,NA,"2-Palmitoylglycerol, 2TMS derivative",813,820,2558,C25H54O4Si2,474,limonox_S_blob_633,505,613,NA,Both_BB,Common_Class,BB,BB,6,4
1248,826,1128_1901_blob_826,amz_lib_1128_1901,"cis-Vaccenic Acid, TMS",626,659,2262.903226,2259,"10,12-Docosadiynedioic acid, 2TMS derivative",646,656,NA,C28H50O4Si2,506,myrc_ox_L_blob_569,498,598,2275,Both_BB,Common_Class,BB,BB,6,2
718,656,1202_1412_blob_656,amz_lib_1202_1412,"beta-nocaryophyllonic acid, TMS",432,550,2000,1985,"Palmitelaidic acid, TMS derivative",578,657,NA,C19H38O2Si,326,bcp_ox_L_blob_813,497,541,1990,Both_BB,Common_Class,BB,BB,6,10
997,662,1129_1334_blob_662,amz_lib_1129_1334,galactosan,902,909,1684.848485,1684,"D-(-)-Lyxofuranose, tetrakis(trimethylsilyl) ether",797,809,1641,C17H42O5Si4,438,apin_ox_L_blob_551,496,564,1667,Both_BB,Common_Class,BB,BB,10,4
699,817,1202_1412_blob_817,amz_lib_1202_1412,C7 acid,335,554,1965.100671,NA,"1,2-Ethanediol, 1,2-dimyrtenyl-, 2TMS derivative",583,768,NA,C26H46O2Si2,446,bcp_ox_L_blob_678,495,557,1959,Both_BB,Common_Class,BB,BB,10,4
43,996,1221_0832_blob_996,amz_lib_1221_0832,syringic acid,697,711,1924.832215,1924,Syringic acid (2TMS),655,769,1893,C15H26O5Si2,342,limonox_L_blob_589,493,561,1928,Both_BB,Common_Class,BB,BB,10,4
47,988,1221_0832_blob_988,amz_lib_1221_0832,C7 acid,371,451,1969.127517,NA,"4-Coumaric acid, 2TMS derivative",695,861,1949,C15H24O3Si2,308,limonox_S_blob_685,486,576,1963,Both_BB,Common_Class,BB,BB,10,4
1098,1251,1129_1334_blob_1251,amz_lib_1129_1334,C7 acid,433,574,2091.851852,NA,"Methyl a-D-glucofuranoside, 4TMS derivative",727,795,NA,C19H46O6Si4,482,limonox_S_blob_583,486,654,2078,Both_BB,Common_Class,BB,BB,10,10
877,817,1202_0046_blob_817,amz_lib_1202_0046,syringaldehyde,748,818,1725.609756,1726,"Syringaldehyde, TMS derivative",756,832,1658,C12H18O4Si,254,limonox_S_blob_593,482,504,1732,Both_BB,Common_Class,BB,BB,6,4
1007,584,1129_1334_blob_584,amz_lib_1129_1334,C7 acid,357,470,1877.852349,NA,"1,5-Anhydrohexitol, 4TMS derivative",845,925,1843,C18H44O5Si4,452,limonox_S_blob_649,479,565,1868,Both_BB,Common_Class,BB,BB,10,4
1297,639,1128_1901_blob_639,amz_lib_1128_1901,monopalmitin,873,876,2626.168224,2628,"1-Monopalmitin, 2TMS derivative",731,844,2607,C25H54O4Si2,474,limonox_S_blob_633,461,647,NA,Both_BB,Common_Class,BB,BB,6,4
999,658,1129_1334_blob_658,amz_lib_1129_1334,C7 acid,339,469,1885.90604,NA,"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester, (R*,S*)-",697,797,NA,C17H40O6Si4,452,limonox_S_blob_725,456,579,1893,Both_BB,Common_Class,BB,BB,10,4
169,730,1221_0832_blob_730,amz_lib_1221_0832,C7 acid,347,533,1845.637584,NA,"2-Phenyl-1,2-propanediol, 2TMS derivative",629,894,NA,C15H28O2Si2,296,limonox_S_blob_659,446,549,1861,Both_BB,Common_Class,BB,BB,6,4
950,1086,1202_0046_blob_1086,amz_lib_1202_0046,C7 acid,410,535,2033.823529,NA,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic butylboronate",729,754,NA,C17H37BO6Si2,404,limonox_S_blob_687,440,562,NA,Both_BB,Common_Class,BB,BB,10,4
534,541,1206_0924_blob_541,amz_lib_1206_0924,C7 acid,402,537,3421.176471,NA,"Stigmastanol, TMS derivative",742,764,3348,C32H60OSi,488,limonox_S_blob_687,430,599,NA,Both_BB,Common_Class,BB,BB,6,4
562,416,1206_0924_blob_416,amz_lib_1206_0924,C7 acid,448,583,3024.444444,NA,Trimethylsilyl 22-(trimethylsilyloxy)docosanoate,673,678,NA,C28H60O3Si2,500,apin_ox_S_blob_751,430,568,NA,Both_BB,Common_Class,BB,BB,6,4
480,87,1206_0924_blob_87,amz_lib_1206_0924,beta-sitosterol,897,899,3407.058824,3406,"Stigmast-5-ene, 3?-(trimethylsiloxy)-, (24S)-",871,872,3350,C32H58OSi,486,limonox_S_blob_687,427,571,NA,Both_BB,Common_Class,BB,BB,10,4
998,660,1129_1334_blob_660,amz_lib_1129_1334,vanillic acid,856,881,1787.878788,1789,"Isovanillic acid, 2TMS derivative",660,873,1761,C14H24O4Si2,312,bcp_ox_L_blob_647,427,529,1780,Both_BB,Common_Class,BB,BB,10,4
161,747,1221_0832_blob_747,amz_lib_1221_0832,pinic acid 2,353,596,1701.219512,1697,"2,6-dimethoxybenzene-1,4-bis(trimethylsilyloxy)-",665,775,NA,C14H26O4Si2,314,limonox_S_blob_595,399,593,1701,Both_BB,Common_Class,BB,BB,10,4
541,493,1206_0924_blob_493,amz_lib_1206_0924,beta-sitosterol,593,686,3397.674419,3406,"4'-Apo-?,.psi.-carotenoic acid",676,676,NA,C35H46O2,498,limonox_S_blob_687,396,565,NA,Both_BB,Common_Class,BB,BB,10,4
1508,1028,1128_1901_blob_1028,amz_lib_1128_1901,monostearin TMS,458,493,2792.523364,2788,"1-Tetracosanol, TMS derivative",724,745,NA,C27H58OSi,426,apin_ox_S_blob_751,393,490,NA,Both_BB,Common_Class,BB,BB,6,4
558,429,1206_0924_blob_429,amz_lib_1206_0924,deoxycholic Acid,295,642,3386.046512,3347,"Propanoic acid, 2-methyl-, (dodecahydro-6a-hydroxy-9a-methyl-3-methylene-2,9-dioxoazuleno[4,5-b]furan-6-yl)methyl ester, [3aS-(3aa,6?,6aa,9a?,9ba)]-",670,704,NA,C19H26O6,350,limonox_S_blob_687,392,537,NA,Both_BB,Common_Class,BB,BB,10,4
932,1263,1202_0046_blob_1263,amz_lib_1202_0046,a-Amyrin,839,845,3479.120879,3479,"a-Amyrin, TMS derivative",816,826,3406,C33H58OSi,498,apin_ox_S_blob_592,386,524,NA,Both_BB,Common_Class,BB,BB,10,4
1049,1519,1129_1334_blob_1519,amz_lib_1129_1334,C7 acid,385,433,2591.304348,NA,"Docosanol, TMS derivative",702,720,2542,C25H54OSi,398,limonox_S_blob_687,383,441,NA,Both_BB,Common_Class,BB,BB,6,4
538,514,1206_0924_blob_514,amz_lib_1206_0924,C26 acid,362,458,3097.777778,3088,"13-Retinoic acid, (Z)-, TMS derivative",667,699,NA,C23H36O2Si,372,limonox_S_blob_687,367,571,NA,Both_BB,Common_Class,BB,BB,10,4
982,820,1129_1334_blob_820,amz_lib_1129_1334,vanillin,894,901,1557.608696,1558,"Vanillin, TMS derivative",883,889,1530,C11H16O3Si,224,limonox_S_blob_630,358,373,1566,Both_BB,Common_Class,BB,BB,10,4
603,234,1206_0924_blob_234,amz_lib_1206_0924,lupeol,0,650,3316.27907,3483,"1,2,6a,6b,9,9,12a-Heptamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,12,12a,12b,13,14b-octahydropicene-4a-carboxylic acid, methyl ester",791,810,NA,C31H48O2,452,limonox_S_blob_687,344,401,NA,Both_BB,Common_Class,BB,BB,10,4
472,93,1206_0924_blob_93,amz_lib_1206_0924,C7 acid,329,423,2993.877551,NA,"1-Hexacosanol, TMS derivative",833,835,2940,C29H62OSi,454,bcp_ox_L_blob_18,333,425,NA,Both_BB,Common_Class,BB,BB,10,4
610,211,1206_0924_blob_211,amz_lib_1206_0924,lupeol,0,817,3590.588235,3483,"Lup-20(29)-en-3-ol, acetate, (3?)-",796,798,3525,C32H52O2,468,limonox_S_blob_687,332,415,NA,Both_BB,Common_Class,BB,BB,10,4
986,761,1129_1334_blob_761,amz_lib_1129_1334,C24,653,657,2446.956522,2443,"1-Dodecanol, 2-octyl-",831,838,NA,C20H42O,298,apin_ox_S_blob_751,328,362,NA,Both_BB,Common_Class,BB,BB,10,2
1490,1091,1128_1901_blob_1091,amz_lib_1128_1901,C27,48,524,2700.934579,2750,8-Octadecenal,576,580,NA,C18H34O,266,apin_ox_S_blob_751,323,372,NA,Both_BB,Common_Class,BB,BB,10,4
145,785,1221_0832_blob_785,amz_lib_1221_0832,C31,822,830,3156.521739,3159,"Sulfurous acid, octadecyl pentyl ester",812,855,NA,C23H48O3S,404,apin_ox_S_blob_751,314,342,NA,Both_BB,Common_Class,BB,BB,10,4
586,300,1206_0924_blob_300,amz_lib_1206_0924,a-Amyrin,262,813,3538.823529,3479,"12-Oleanen-3-yl acetate, (3a)-",792,812,NA,C32H52O2,468,limonox_S_blob_633,314,466,NA,Both_BB,Common_Class,BB,BB,10,4
673,1042,1205_0335_blob_1042,amz_lib_1205_0335,a-Amyrin,136,749,3415.384615,3479,"4,4,6a,6b,8a,11,11,14b-Octamethyl-1,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,14,14a,14b-octadecahydro-2H-picen-3-one",783,793,NA,C30H48O,424,limonox_S_blob_633,309,436,NA,Both_BB,Common_Class,BB,BB,10,4
202,662,1221_0832_blob_662,amz_lib_1221_0832,C29,813,813,2953.535354,2955,2-Bromotetradecane,832,851,NA,C14H29Br,276,limonox_S_blob_789,0,592,1613,Both_BB,Common_Class,BB,BB,10,4
485,84,1206_0924_blob_84,amz_lib_1206_0924,vanillin,0,534,3035.555556,1558,"2-cyclopropen-1-one, 2-[5-methoxy-2-(2-methoxy-1-naphthalenyl)-6-propyl-3-benzofuranyl]-3-(2,4,6-trimethylphenyl)-",677,698,NA,C35H32O4,516,bcp_ox_L_blob_606,0,551,1678,Both_BB,Common_Class,BB,BB,10,4
548,47,1206_0924_blob_47,amz_lib_1206_0924,lupeol,548,678,3465.882353,3483,"Tricyclo[5.4.3.0(1,8)]tetradecan-3-ol-9-one, 4-ethenyl-6-(2-hydroxyacetoxy)-2,4,7,14-tetramethyl-",670,676,NA,C22H34O5,378,bcp_ox_L_blob_702,0,591,1761,Both_BB,Common_Class,BB,BB,10,4
1249,825,1128_1901_blob_825,amz_lib_1128_1901,C28,826,835,2850.505051,2852,"Eicosane, 7-hexyl-",820,826,NA,C26H54,366,myrc_ox_L_blob_655,0,583,1611,Both_BB,Common_Class,BB,BB,6,4
240,33,1221_0832_blob_33,amz_lib_1221_0832,C7 acid,497,567,1745.121951,NA,"9-Trimethylsilyloxydecanoic acid, trimethylsilyl ester",618,676,NA,C16H36O3Si2,332,myrc_ox_L_blob_553,899,900,1739,Both_UP,Common_Class,UP,UP,11,3
245,22,1221_0832_blob_22,amz_lib_1221_0832,C7 acid,460,525,1634.146341,NA,"Hexane-1,3-dicarboxylic acid, bis(trimethylsilyl) ester",618,622,NA,C14H30O4Si2,318,limonox_L_blob_559,885,885,1632,Both_UP,Common_Class,UP,UP,11,3
