BlobID,Compound.Name,Library Name,Library Match Factor,Library Reverse Match Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
23,1128_1901_blob_23,amz_lib_1128_1901,999,999,C7 acid,566,634,1853.691275,,"9-Tetradecenoic acid, (E)-, TMS derivative",877,887,,C17H34O2Si,298,bcp_ox_L_blob_18,582,654,
34,1128_1901_blob_34,amz_lib_1128_1901,999,999,C7 acid,555,628,2011.764706,,"Palmitelaidic acid, TMS derivative",870,880,,C19H38O2Si,326,bcp_ox_L_blob_18,564,640,
37,1128_1901_blob_37,amz_lib_1128_1901,999,999,C7 acid,547,633,2151.470588,,"10-Heptadecenoic acid, (Z)-, TMS derivative",893,894,2126,C20H40O2Si,340,bcp_ox_L_blob_18,532,620,
582,1128_1901_blob_582,amz_lib_1128_1901,999,999,C7 acid,341,361,1522.826087,,"Pyroglutamic acid, TMS derivative",898,914,1511,C8H15NO3Si,201,myrc_ox_L_blob_661,416,417,1519
604,1128_1901_blob_604,amz_lib_1128_1901,999,999,C7 acid,344,389,2828.282828,,Cholesteryl benzoate,816,816,,C34H50O2,490,limonox_S_blob_687,361,434,
609,1128_1901_blob_609,amz_lib_1128_1901,999,999,C7 acid,562,638,2211.290323,,"Petroselinic acid, TMS derivative",764,890,2211,C21H42O2Si,354,bcp_ox_L_blob_18,538,616,
620,1128_1901_blob_620,amz_lib_1128_1901,999,999,C7 acid,361,439,1405.434783,,"3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",694,723,,C10H22O3Si2,246,myrc_ox_L_blob_619,573,651,1402
624,1128_1901_blob_624,amz_lib_1128_1901,999,999,"16-OH C16 Acid, TMS",494,508,2431.304348,2429,"11,14-Eicosadienoic acid, TMS derivative",723,822,,C23H44O2Si,380,limonox_S_blob_687,459,573,
631,1128_1901_blob_631,amz_lib_1128_1901,999,999,C33,28,699,3426.086957,3363,"Hexadecanoic acid, hexadecyl ester",754,779,3347,C32H64O2,480,apin_ox_L_blob_536,0,651,1291
639,1128_1901_blob_639,amz_lib_1128_1901,999,999,monopalmitin,873,876,2626.168224,2628,"1-Monopalmitin, 2TMS derivative",731,844,2607,C25H54O4Si2,474,limonox_S_blob_633,461,647,
645,1128_1901_blob_645,amz_lib_1128_1901,999,999,C8 acid,492,559,1271.248594,1280,"1,3-Butanediol, 2TMS derivative",742,774,,C10H26O2Si2,234,limonox_S_blob_619,648,717,1259
648,1128_1901_blob_648,amz_lib_1128_1901,999,999,"beta-caryophyllonic acid, TMS",480,562,1944.966443,1931,"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",880,899,,C20H32,272,bcp_ox_L_blob_890,571,572,1947
663,1128_1901_blob_663,amz_lib_1128_1901,999,999,C7 acid,450,486,1266.496578,,"1,3-Butanediol, 2TMS derivative",718,754,,C10H26O2Si2,234,limonox_S_blob_619,543,583,1259
671,1128_1901_blob_671,amz_lib_1128_1901,999,999,C7 acid,347,399,2925.252525,,"Cholesta-3,5-diene",844,866,2886,C27H44,368,limonox_S_blob_687,354,442,
673,1128_1901_blob_673,amz_lib_1128_1901,999,999,Me-OH-glutatric acid,401,526,1612.121212,1623,"Propanetriol, 2-methyl-, tris-O-(trimethylsilyl)-",672,895,,C13H34O3Si3,322,myrc_ox_L_blob_873,516,574,1620
674,1128_1901_blob_674,amz_lib_1128_1901,999,999,C32,300,679,3225.287356,3259,"1-Hexadecanol, 2-methyl-",711,735,,C17H36O,256,apin_ox_L_blob_536,0,646,1291
