TAG_time_start_num,TAG_time_end_num,TAG_Time_Start_LT,TAG_Time_Mid_LT,TAG_Time_End_LT,C0_SESQ_D_Fp,C0_SESQ_D_FpUC,C0_SESQ_D_Particle,C0_SESQ_D_ParticleUC,C0_SESQ_D_Total,C0_SESQ_D_TotalUC,C143_Vanillin_TMS_Fp,C143_Vanillin_TMS_FpUC,C143_Vanillin_TMS_Particle,C143_Vanillin_TMS_ParticleUC,C143_Vanillin_TMS_Total,C143_Vanillin_TMS_TotalUC,C144_Vanillic_Acid_Fp,C144_Vanillic_Acid_FpUC,C144_Vanillic_Acid_Particle,C144_Vanillic_Acid_ParticleUC,C144_Vanillic_Acid_Total,C144_Vanillic_Acid_TotalUC,C145_Syringic_Acid_Fp,C145_Syringic_Acid_FpUC,C145_Syringic_Acid_Particle,C145_Syringic_Acid_ParticleUC,C145_Syringic_Acid_Total,C145_Syringic_Acid_TotalUC,C153_C20_Acid_TMS_Fp,C153_C20_Acid_TMS_FpUC,C153_C20_Acid_TMS_Particle,C153_C20_Acid_TMS_ParticleUC,C153_C20_Acid_TMS_Total,C153_C20_Acid_TMS_TotalUC,C155_C22_Acid_TMS_Fp,C155_C22_Acid_TMS_FpUC,C155_C22_Acid_TMS_Particle,C155_C22_Acid_TMS_ParticleUC,C155_C22_Acid_TMS_Total,C155_C22_Acid_TMS_TotalUC,C157_C24_Acid_TMS_Fp,C157_C24_Acid_TMS_FpUC,C157_C24_Acid_TMS_Particle,C157_C24_Acid_TMS_ParticleUC,C157_C24_Acid_TMS_Total,C157_C24_Acid_TMS_TotalUC,C166_Syringol_TMS_Fp,C166_Syringol_TMS_FpUC,C166_Syringol_TMS_Particle,C166_Syringol_TMS_ParticleUC,C166_Syringol_TMS_Total,C166_Syringol_TMS_TotalUC,C167_Guaiacol_TMS_Fp,C167_Guaiacol_TMS_FpUC,C167_Guaiacol_TMS_Particle,C167_Guaiacol_TMS_ParticleUC,C167_Guaiacol_TMS_Total,C167_Guaiacol_TMS_TotalUC,C172_Mannosan_Fp,C172_Mannosan_FpUC,C172_Mannosan_Particle,C172_Mannosan_ParticleUC,C172_Mannosan_Total,C172_Mannosan_TotalUC,C173_Galactosan_Fp,C173_Galactosan_FpUC,C173_Galactosan_Particle,C173_Galactosan_ParticleUC,C173_Galactosan_Total,C173_Galactosan_TotalUC,C174_4hydroxybenzoic_Fp,C174_4hydroxybenzoic_FpUC,C174_4hydroxybenzoic_Particle,C174_4hydroxybenzoic_ParticleUC,C174_4hydroxybenzoic_Total,C174_4hydroxybenzoic_TotalUC,C180_SyringaldehydeT_Fp,C180_SyringaldehydeT_FpUC,C180_SyringaldehydeT_Particle,C180_SyringaldehydeT_ParticleUC,C180_SyringaldehydeT_Total,C180_SyringaldehydeT_TotalUC,C181_SinapaldehydeTM_Fp,C181_SinapaldehydeTM_FpUC,C181_SinapaldehydeTM_Particle,C181_SinapaldehydeTM_ParticleUC,C181_SinapaldehydeTM_Total,C181_SinapaldehydeTM_TotalUC,C182_4_nitrocatechol_Fp,C182_4_nitrocatechol_FpUC,C182_4_nitrocatechol_Particle,C182_4_nitrocatechol_ParticleUC,C182_4_nitrocatechol_Total,C182_4_nitrocatechol_TotalUC,C188_4methyl5nitroca_Fp,C188_4methyl5nitroca_FpUC,C188_4methyl5nitroca_Particle,C188_4methyl5nitroca_ParticleUC,C188_4methyl5nitroca_Total,C188_4methyl5nitroca_TotalUC,C1_SESQ_F_Fp,C1_SESQ_F_FpUC,C1_SESQ_F_Particle,C1_SESQ_F_ParticleUC,C1_SESQ_F_Total,C1_SESQ_F_TotalUC,C2_SESQ_I_Fp,C2_SESQ_I_FpUC,C2_SESQ_I_Particle,C2_SESQ_I_ParticleUC,C2_SESQ_I_Total,C2_SESQ_I_TotalUC,C31_methyl_tetrol_1_Fp,C31_methyl_tetrol_1_FpUC,C31_methyl_tetrol_1_Particle,C31_methyl_tetrol_1_ParticleUC,C31_methyl_tetrol_1_Total,C31_methyl_tetrol_1_TotalUC,C32_methyl_tetrol_2_Fp,C32_methyl_tetrol_2_FpUC,C32_methyl_tetrol_2_Particle,C32_methyl_tetrol_2_ParticleUC,C32_methyl_tetrol_2_Total,C32_methyl_tetrol_2_TotalUC,C33_C5alkenetriol1_Fp,C33_C5alkenetriol1_FpUC,C33_C5alkenetriol1_Particle,C33_C5alkenetriol1_ParticleUC,C33_C5alkenetriol1_Total,C33_C5alkenetriol1_TotalUC,C34_C5alkenetriol2_Fp,C34_C5alkenetriol2_FpUC,C34_C5alkenetriol2_Particle,C34_C5alkenetriol2_ParticleUC,C34_C5alkenetriol2_Total,C34_C5alkenetriol2_TotalUC,C36_levoglucosan_Fp,C36_levoglucosan_FpUC,C36_levoglucosan_Particle,C36_levoglucosan_ParticleUC,C36_levoglucosan_Total,C36_levoglucosan_TotalUC,C37_methylglycericac_Fp,C37_methylglycericac_FpUC,C37_methylglycericac_Particle,C37_methylglycericac_ParticleUC,C37_methylglycericac_Total,C37_methylglycericac_TotalUC,C392_bcaryophyllenea_Fp,C392_bcaryophyllenea_FpUC,C392_bcaryophyllenea_Particle,C392_bcaryophyllenea_ParticleUC,C392_bcaryophyllenea_Total,C392_bcaryophyllenea_TotalUC,C393_bcaryophyllonic_Fp,C393_bcaryophyllonic_FpUC,C393_bcaryophyllonic_Particle,C393_bcaryophyllonic_ParticleUC,C393_bcaryophyllonic_Total,C393_bcaryophyllonic_TotalUC,C39_pinic_acid_Fp,C39_pinic_acid_FpUC,C39_pinic_acid_Particle,C39_pinic_acid_ParticleUC,C39_pinic_acid_Total,C39_pinic_acid_TotalUC,C3_DITERP_A_Fp,C3_DITERP_A_FpUC,C3_DITERP_A_Particle,C3_DITERP_A_ParticleUC,C3_DITERP_A_Total,C3_DITERP_A_TotalUC,C40_pinonic_acid_Fp,C40_pinonic_acid_FpUC,C40_pinonic_acid_Particle,C40_pinonic_acid_ParticleUC,C40_pinonic_acid_Total,C40_pinonic_acid_TotalUC,C42_C5alkenetriol3_Fp,C42_C5alkenetriol3_FpUC,C42_C5alkenetriol3_Particle,C42_C5alkenetriol3_ParticleUC,C42_C5alkenetriol3_Total,C42_C5alkenetriol3_TotalUC,C43_3hydroxyglutaric_Fp,C43_3hydroxyglutaric_FpUC,C43_3hydroxyglutaric_Particle,C43_3hydroxyglutaric_ParticleUC,C43_3hydroxyglutaric_Total,C43_3hydroxyglutaric_TotalUC,C47_SESQ_A_Fp,C47_SESQ_A_FpUC,C47_SESQ_A_Particle,C47_SESQ_A_ParticleUC,C47_SESQ_A_Total,C47_SESQ_A_TotalUC,C4_SESQ_ZB_Fp,C4_SESQ_ZB_FpUC,C4_SESQ_ZB_Particle,C4_SESQ_ZB_ParticleUC,C4_SESQ_ZB_Total,C4_SESQ_ZB_TotalUC
41879,41879.01528,8/28/2014 0:00,8/28/2014 0:11,8/28/2014 0:22,-0.0233958,0.0428189,0,0.0526632,1.22991,0.135913,0.106168,0.07206,0.532388,0.389175,5.0146,1.36112,1.23239,0.354354,8.87754,3.53678,7.20349,1.98645,,0.297898,,,,,1.89531,0.432867,28.9666,9.32084,15.2833,3.4643,,,,,0.44684,0.132639,,,,,4.18434,3.05477,,,,,0,0.1,,,,,0,0.1,1.28826,0.0942876,17.2392,1.72111,13.3818,0.908644,0,,0,,3.9175,1.11662,0.329815,0.0100154,22.7542,1.68529,68.9908,4.66059,,,,,2.73979,1.08727,,,,,1.07762,1.08727,0.862663,,35.462,,41.1076,17.5269,,,,,0,0,,0.244251,,,1.05491,0.172314,0.233997,0.0483555,0.414281,0.069974,1.77045,0.276076,0.541423,0.187637,7.77588,1.67176,14.3619,1.50727,0.0400432,0.160492,0.308803,0.0623659,7.71176,0.945446,0.872811,0.130688,36.8112,6.05364,42.1754,4.21014,0.808256,0.123757,10.5344,1.68138,13.0335,1.31367,0.948818,0.159327,86.7457,16.9853,91.425,9.20736,0.345325,0.0613777,0.119837,0.0142442,0.347026,0.0353238,0.367641,0.0519923,0.303902,0.128152,0.826626,0.345919,0.367641,0.0519923,0.0303111,0.0127818,0.0824475,0.0345019,,,,,0,0.1,0.233997,0.0483555,0.191496,0.069974,0.81837,0.276076,0.0756534,0.0198614,1.86175,0.217412,24.6089,2.83192,0.784979,0.122439,17.395,2.74703,22.1598,2.21017,,,,,0.319372,0.0322354,,0.211987,,,1.04639,5.21E+11,0.233997,0.0483555,0.556088,0.069974,2.37648,0.276076
41879.04167,41879.05694,8/28/2014 1:00,8/28/2014 1:11,8/28/2014 1:22,,,,,1.73652,0.191322,,,,,3.62191,0.987997,,,,,5.69076,1.43782,,,,,,,,,,,25.3386,3.20159,,,,,0.44684,0.147386,,,,,4.18434,3.05477,,,,,0,0.1,,,,,0,0.1,,,,,14.545,1.41327,,,,,3.71184,1.47879,,,,,52.428,3.54173,,,,,2.45023,1.08727,,,,,1.07762,1.08727,,,,,23.645,13.1523,,,,,0.00446194,0,,,,,1.33114,0.217738,,,,,2.07277,0.305167,,,,,16.0341,1.9265,,,,,8.26915,1.41221,,,,,40.5627,4.53244,,,,,13.0384,1.54649,,,,,86.9029,8.77978,,,,,0.264776,0.028011,,,,,1.0642,0.601669,,,,,0.106143,0.0600103,,,,,0,0.1,,,,,0.662669,0.305167,,,,,18.5627,2.77587,,,,,24.5333,2.57012,,,,,,,,,,,1.70407,8.48E+11,,,,,2.63769,0.305167
41879.125,41879.14028,8/28/2014 3:00,8/28/2014 3:11,8/28/2014 3:22,,,,,1.86893,0.205879,,,,,8.11284,2.19945,,,,,6.96013,1.36474,,,,,2.10095,0.670051,,,,,23.7474,3.21375,,,,,0.44684,0.147386,,,,,4.18434,3.05477,,,,,0.61975,5.66202,,,,,0,0.1,,,,,32.6327,1.17262,,,,,13.1443,1.57743,,,,,43.955,2.97091,,,,,2.96174,1.08727,,,,,1.07762,1.08727,,,,,23.5283,11.5263,,,,,0,0,,,,,1.45179,0.236806,,,,,3.74352,0.33027,,,,,12.4202,1.63704,,,,,7.46548,1.37307,,,,,27.8555,3.41334,,,,,8.81926,1.19603,,,,,215.042,21.7374,,,,,0.188257,0.0199581,,,,,1.02106,0.60044,,,,,0.101841,0.0598878,,,,,0,0.1,,,,,0.513513,0.33027,,,,,16.3802,2.53319,,,,,14.7775,1.61541,,,,,,,,,,,1.36798,6.81E+11,,,,,2.85708,0.33027
41879.16667,41879.18194,8/28/2014 4:00,8/28/2014 4:11,8/28/2014 4:22,,0.0685699,,,0.771083,0.0853273,0.0161455,0.0776998,0.0613876,0.295898,3.80216,1.0332,0.852935,0.281603,5.71,2.62817,6.69454,2.14694,1.32267,0.372431,0.953401,1.03405,0.720815,0.754986,0.66461,0.140156,18.4121,4.8598,27.7036,4.39741,,,,,0.44684,0.132639,,,,,4.18434,3.05477,,,,,0,0.1,,,,,0,0.1,0.907028,0.0527603,18.5481,1.48227,20.4493,1.12058,0,,0,,5.87021,0.984141,0.513783,0.0122842,24.5684,1.76087,47.8185,3.23094,,,,,1.99578,1.08727,,,,,1.07762,1.08727,,,,,15.5186,11.7201,,,,,0,0,,0.236155,,,1.10098,0.179489,0.156673,0.0364623,0.291349,0.0473713,1.8596,0.288434,0.510357,0.140732,9.98104,1.73513,19.557,1.99596,0.153406,0.130408,1.4335,0.249953,9.34449,1.08159,0.921467,0.139261,33.0701,5.67653,35.8885,3.60148,0.770245,0.119245,9.14299,1.43342,11.8702,1.20821,1.0114,0.169635,89.8215,17.5722,88.8094,8.94361,0.327464,0.0625415,0.0909308,0.0108503,0.277682,0.0282187,0.60046,0.0849178,0.472423,0.218499,0.786768,0.3577,0.60046,0.0849178,0.0471193,0.021793,0.0784721,0.0356769,,114.225,,,0.538201,0.382771,0.156673,0.0364623,0.109919,0.0473713,0.701583,0.288434,0.0506164,0.0164894,1.2395,0.144684,24.4881,2.82978,0.702411,0.109887,15.8521,2.35246,22.5682,2.25089,,,,,0.26266,0.0265113,,0.271283,,,0.816674,4.07E+11,0.156673,0.0364623,0.389717,0.0473713,2.48746,0.288434
41879.20833,41879.22361,8/28/2014 5:00,8/28/2014 5:11,8/28/2014 5:22,,,,,0.818916,0.0905356,,,,,2.02907,0.560591,,,,,5.43761,1.75426,,,,,0.41328,0.251804,,,,,28.9126,3.80058,,,,,0.44684,0.147386,,,,,4.18434,3.05477,,,,,0,0.1,,,,,0,0.1,,,,,10.5761,1.27149,,,,,3.41178,1.67806,,,,,49.6122,3.35187,,,,,1.65707,1.08727,,,,,1.07762,1.08727,,,,,25.4002,11.4896,,,,,0,0,,,,,1.14729,0.189338,,,,,1.63221,0.252131,,,,,21.9977,2.4182,,,,,9.70423,1.45108,,,,,42.2661,4.62727,,,,,14.2161,1.62279,,,,,64.4883,6.51358,,,,,0.322242,0.0340809,,,,,0.783395,0.549767,,,,,0.0781357,0.0548337,,,,,0.158572,0.241874,,,,,0.658995,0.252131,,,,,23.3272,3.13306,,,,,28.1251,2.92782,,,,,0.285792,0.028846,,,,,0.90371,4.50E+11,,,,,2.17097,0.252131
41879.25,41879.26528,8/28/2014 6:00,8/28/2014 6:11,8/28/2014 6:22,0.00527185,0.03,0.0126688,0.00144982,2.4031,0.265394,0.0565385,0.128718,0.132062,0.302818,2.33579,0.638737,1.29952,0.409161,6.18991,3.4408,4.76323,2.18206,1.17183,0.408391,0.203159,0.957324,0.17337,0.814713,1.10812,0.231981,24.059,6.38256,21.7115,3.53783,,,,,0.421295,0.125056,,,,,4.18505,3.05529,,,,,0.00655065,0.0602761,,,,,0,0.1,0.811521,0.0432508,19.5014,1.3589,24.0307,1.07875,0,,0,,9.13429,0.978379,0.620595,0.0135592,27.7289,1.96958,44.6812,3.01982,,,,,1.91057,1.08727,,,,,1.07762,1.08727,,,,,24.5269,13.1328,,,,,0,0,,0.166882,,,1.66422,0.26916,0.15753,0.0357159,0.482759,0.0504403,3.06455,0.305986,0.479934,0.138383,9.16339,1.57524,19.093,1.94727,0.096365,0.133618,0.850954,0.151438,8.83052,1.03799,0.887728,0.135614,28.5832,4.82892,32.1982,3.24396,0.762047,0.119189,8.35581,1.31324,10.9649,1.12329,0.837467,0.133319,124.994,23.548,149.253,15.0363,0.310889,0.064964,0.069427,0.00836529,0.223318,0.0226617,0.292314,0.0413394,0.312103,0.108126,1.0677,0.367255,0.292314,0.0413394,0.0311291,0.0107845,0.106492,0.03663,,0.139392,,,0,0.1,0.15753,0.0357159,0.0912827,0.0504403,0.579461,0.305986,0.0548941,0.0202413,0.796513,0.0982482,14.51,1.76552,0.764108,0.120425,15.7512,2.46303,20.6139,2.05617,0.281962,0.0566845,0.0660388,0.00764476,0.234211,0.0236399,0,0.15669,0,0.238384,1.52138,7.57E+11,0.15753,0.0357159,0.416015,0.0504403,2.64085,0.305986
41879.29167,41879.30694,8/28/2014 7:00,8/28/2014 7:11,8/28/2014 7:22,,,,,3.88045,0.427229,,,,,27.6853,7.48617,,,,,15.1232,2.01061,,,,,7.59386,1.30778,,,,,21.515,2.54129,,,,,2.79821,0.282725,,,,,10.8717,2.98898,,,,,7.99521,73.0439,,,,,0,0.1,,,,,81.5151,1.49692,,,,,38.4771,2.37707,,,,,49.7623,3.36199,,,,,4.84097,1.08727,,,,,1.07762,1.08727,,,,,19.7588,12.1901,,,,,0,0,,,,,1.76425,0.286663,,,,,3.50497,0.323443,,,,,16.692,2.0005,,,,,8.20966,1.4318,,,,,31.82,3.78826,,,,,9.4747,1.25252,,,,,422.694,42.7371,,,,,0.245819,0.026015,,,,,1.04066,0.60452,,,,,0.103795,0.0602947,,,,,0,0.1,,,,,0.700969,0.323443,,,,,15.8058,2.50601,,,,,18.1742,1.94697,,,,,,,,,,,1.61286,8.03E+11,,,,,2.79728,0.323443
41879.33333,41879.34861,8/28/2014 8:00,8/28/2014 8:11,8/28/2014 8:22,,0.12885,,,0.427129,0.0475071,-0.00874281,0.0468548,0,0.287072,6.12684,1.65951,0.629679,0.23003,4.03333,1.85216,6.40538,1.78231,,,,,0.00289884,0.816684,1.57554,0.36341,23.9053,6.69933,15.1727,2.415,,,,,0.39575,0.117474,,,,,4.18576,3.05581,,,,,0,0.1,,,,,0,0.1,1.3579,0.0907156,19.934,1.93278,14.68,1.03158,0,,0,,3.1238,1.0642,0.425341,0.0108879,23.6166,1.70602,55.5239,3.75068,,,,,1.99164,1.08727,,,,,1.07762,1.08727,,,,,19.7588,14.9224,0,0.806853,0,0.0210391,0.0260755,0,,,,,0.643803,0.107508,0.219773,0.0682132,0.179586,0.0369394,0.817141,0.145644,0.89947,0.204208,19.2553,4.38403,21.4074,2.15534,0.40238,0.18032,3.69584,0.787301,9.18496,1.04175,1.01638,0.150842,46.6598,8.43689,45.9076,4.57731,0.84435,0.127039,13.0955,2.11837,15.5095,1.55316,1.47857,0.255989,89.8405,17.9929,60.7616,6.11729,0.23357,0.0405357,0.116216,0.012753,0.497563,0.0507384,,0.769548,,,0.649277,0.340036,,0.769548,,,0.0647587,0.0339151,,0.0837744,,,0.646562,0.383217,0.219773,0.0682132,0.144611,0.0369394,0.658,0.145644,0.0298893,0.03,0.937096,0.110398,31.3523,3.57182,0.880542,0.132871,25.8922,4.30414,29.4049,2.93734,,,,,0.362676,0.0366062,,0.37778,,,0.607391,3.02E+11,0.219773,0.0682132,0.270301,0.0369394,1.22991,0.145644
41879.41667,41879.43194,8/28/2014 10:00,8/28/2014 10:11,8/28/2014 10:22,,,,,0.242997,0.0279604,,,,,2.78954,0.770947,,,,,2.47228,1.12191,,,,,0,0.0355749,,,,,18.5028,2.7598,,,,,0.44684,0.147386,,,,,4.18434,3.05477,,,,,0,0.1,,,,,1.78947,0.60408,,,,,6.31011,1.38477,,,,,2.47257,,,,,,53.4325,3.60977,,,,,1.65669,1.34427,,,,,1.92464,1.34427,,,,,20.1727,12.2786,,,,,0,0,,,,,0.522382,0.0921259,,,,,0.152002,0.0901689,,,,,33.1682,3.51854,,,,,13.3439,1.72695,,,,,66.4429,7.07655,,,,,21.1649,2.29743,,,,,44.9369,4.53774,,,,,1.03335,0.109793,,,,,0.533155,0.62167,,,,,0.0531768,0.0620052,,,,,0.527479,0.245147,,,,,0.415086,0.0901689,,,,,36.9308,4.71693,,,,,40.1294,4.16603,,,,,0.495193,0.0499818,,,,,0.44281,2.20E+11,,,,,0.617182,0.0901689
41879.45833,41879.47361,8/28/2014 11:00,8/28/2014 11:11,8/28/2014 11:22,-0.145378,0.166389,0,0.0532159,0.319828,0.0358318,0.0603374,0.133563,0.124879,0.278517,2.06968,0.563776,0.289148,0.280681,0.535917,0.641853,1.85344,1.30022,,,,,0,0.0355749,0.754542,0.176572,15.237,4.47967,20.1937,3.59393,,,,,0.44684,0.132639,,,,,4.18434,3.05477,,,,,0,0.1,,,,,0,0.1,1.0173,0.163431,6.0386,1.45428,5.93589,1.06501,0,,0,,2.12109,0.71501,0.652946,0.0124345,33.6199,2.35951,51.4895,3.47806,,,,,1.17206,0.754998,,,,,0.748302,0.754998,,,,,28.8987,15.0687,,,,,0,0,,,,,0.643371,0.111259,0.828141,0.249781,0.31926,0.134934,0.385514,0.0719596,0.684054,0.134936,23.0685,3.87119,33.7231,3.36447,0.329498,0.100601,5.08532,0.733298,15.4335,1.59442,0.818861,0.11971,56.6852,8.83525,69.2245,6.90978,0.78264,0.115921,15.8135,2.41709,20.2053,2.013,1.08938,0.212321,45.3027,9.93697,41.5858,4.18478,0.137386,0.0225939,0.129822,0.0135873,0.944947,0.096567,,,,,0.63393,0.331808,,,,,0.0632281,0.0330945,,1.37849,,,0.770031,0.384463,0.828141,0.249781,0.334725,0.134934,0.404189,0.0719596,0.015674,0.03,0.554371,0.0651531,35.3688,4.01905,0.793968,0.118145,29.5242,4.57285,37.1856,3.72435,0.396711,0.0637768,0.178462,0.0213074,0.449854,0.0454055,,0.452774,,,0.486734,2.42E+11,0.828141,0.249781,0.484672,0.134934,0.585253,0.0719596
41879.5,41879.51528,8/28/2014 12:00,8/28/2014 12:11,8/28/2014 12:22,,,,,0.362704,0.0409798,,,,,3.37357,0.939521,,,,,2.86727,0.946409,,,,,0,0.0355749,,,,,14.17,1.637,,,,,0.44684,0.162133,,,,,4.18434,3.05477,,,,,0,0.1,,,,,0,0.1,,,,,7.10281,1.69998,,,,,3.86985,,,,,,62.8425,4.24495,,,,,1.55781,1.94186,,,,,1.92464,1.94186,,,,,12.5355,9.46713,,,,,0,0,,,,,0.390326,0.0717271,,,,,0,0.113306,,,,,40.9223,4.49215,,,,,18.6047,2.42042,,,,,89.1771,9.75715,,,,,27.8456,3.11416,,,,,58.1392,5.89092,,,,,1.56224,0.172595,,,,,0.533155,0.913032,,,,,0.0531768,0.0910656,,,,,0,0.1,,,,,0.345332,0.113306,,,,,42.9075,5.96597,,,,,56.4127,6.02825,,,,,0.654752,0.0660866,,,,,0.397857,1.98E+11,,,,,0.721556,0.113306
41879.54167,41879.55694,8/28/2014 13:00,8/28/2014 13:11,8/28/2014 13:22,,0.230184,,,0.188325,0.0216661,0.102755,0.18823,0.155912,0.288796,1.51732,0.416669,,,,,0.0865679,2.05329,,,,,0,0.0355749,,,,,9.50272,2.30705,,,,,0.397678,0.118046,,,,,4.18434,3.05477,,,,,0,0.1,,,,,0,0.1,0.930755,0.206804,3.8045,1.46945,4.08754,1.29138,0,,0,,1.12399,0.771586,0.343968,0.0100442,25.139,1.85033,73.0852,4.93789,,,,,0.90963,1.08727,,,,,1.07762,1.08727,,,,,20.1704,15.2332,,,,,0,0,,,,,0.382111,0.0738967,,0.368528,,,0,0.0494793,0.635376,0.114275,30.4373,4.61856,47.9045,4.78233,0.323922,0.0842616,6.41275,0.845966,19.7972,2.00946,0.651781,0.0940275,75.7857,10.4196,116.275,11.6634,0.580868,0.0843829,20.571,2.68886,35.4142,3.53521,0.84808,0.187836,27.1011,6.59233,31.9558,3.21394,0.0839996,0.0133752,0.191821,0.0197949,2.2836,0.233667,,,,,0.975429,0.707145,,,,,0.0972891,0.0705305,,0.0726712,,,0.110841,0.386925,,0.368528,,,0.46315,0.0494793,0.0428742,0.0177544,1.96536,0.224989,45.8401,5.18414,0.606075,0.0882073,38.3075,5.12347,63.206,6.35444,0.28056,0.0436611,0.206501,0.0227095,0.736034,0.0742907,,0.47501,,,0.379387,1.89E+11,,0.368528,,,0.366365,0.0494793
41879.58333,41879.59861,8/28/2014 14:00,8/28/2014 14:11,8/28/2014 14:22,,,,,0.15973,0.019407,,,,,2.63516,0.725857,,,,,0.847674,1.38832,,,,,0,0.0355749,,,,,21.9791,2.59385,,,,,1.071,0.166531,,,,,4.18434,3.05477,,,,,0,0.1,,,,,0,0.1,,,,,11.0755,1.26853,,,,,16.1876,2.36994,,,,,73.6581,4.97633,,,,,1.21487,1.08727,,,,,1.07762,1.08727,,,,,20.1704,12.2781,,,,,0,0,,,,,0.602814,0.124164,,,,,0,0.07106,,,,,53.7215,5.57627,,,,,24.405,2.65626,,,,,151.238,15.6938,,,,,44.9093,4.65775,,,,,82.3141,8.31579,,,,,2.28273,0.243102,,,,,0.232132,0.555732,,,,,0.0231528,0.0554286,,,,,0.268388,0.241385,,,,,0.405525,0.07106,,,,,54.3101,6.73238,,,,,92.5311,9.61504,,,,,0.967722,0.0976758,,,,,0.339963,1.69E+11,,,,,0.419323,0.07106
