"","Compound.Name","Compound.Name_ES","Library.Match.Factor_ES"
"1","1128_1901_blob_639","monopalmitin",873
"2","1128_1901_blob_678","C26",889
"3","1128_1901_blob_825","C28",826
"4","1128_1901_blob_843","C24",809
"5","1128_1901_blob_854","C23",828
"6","1128_1901_blob_1285","C32",783
"7","1128_1901_fb_add_blob_1","C16 Acid",951
"8","1128_1901_fb_add_blob_7","C18 Acid",944
"9","1128_1901_fb_add_blob_43","FAME16 (Methyl Palmitate)",952
"10","1128_1901_fb_add_blob_46","C17 acid",931
"11","1128_1901_fb_add_blob_586","C24 acid",939
"12","1128_1901_fb_add_blob_591","hexadecanol, TMS",920
"13","1128_1901_fb_add_blob_607","octadecanol",899
"14","1128_1901_fb_add_blob_619","DEET",925
"15","1128_1901_fb_add_blob_633","C22 acid",879
"16","1128_1901_fb_add_blob_642","pinic acid 1",889
"17","1128_1901_fb_add_blob_704","pinonic acid",894
"18","1128_1901_fb_add_blob_787","triacetin",919
"19","1128_1901_fb_add_blob_924","C10 carboxylic acid",862
"20","1128_1901_fb_add_blob_1175","C9 acid",850
"21","1128_2052_blob_639","beta-caryophyllene aldehyde",903
"22","1129_1334_blob_660","vanillic acid",856
"23","1129_1334_blob_662","galactosan",902
"24","1129_1334_blob_820","vanillin",894
"25","1129_1334_blob_1054","2-Ketoglutaric acid, tri-TMS",837
"26","1129_1334_blob_1095","beta-nocaryophyllinic acid, TMS",766
"27","1129_1334_blob_1125","erythreitol",833
"28","1129_1334_blob_1218","C35",821
"29","1202_0046_blob_817","syringaldehyde",748
"30","1202_0046_blob_951","C27",846
"31","1202_0046_blob_1263","a-Amyrin",839
"32","1202_0046_blob_1575","C28",716
"33","1202_1412_blob_1","levoglucosan",940
"34","1202_1412_blob_642","C13 acid",721
"35","1202_1412_blob_766","beta-nocaryophyllone aldehyde",898
"36","1205_0335_blob_706","syringaldehyde",830
"37","1205_0335_blob_856","FAME16 (Methyl Palmitate)",743
"38","1205_0335_blob_967","a-Amyrin",830
"39","1205_0335_blob_997","lupeol",791
"40","1206_0924_blob_56","4-nitrocatechol",947
"41","1206_0924_blob_75","sinapinaldehyde",925
"42","1206_0924_blob_87","beta-sitosterol",897
"43","1213_2145_blob_732","C26 acid",875
"44","1213_2145_blob_863","C28 acid",847
"45","1213_2145_blob_1254","gamma dodecalactone",743
"46","1216_0703_blob_780","levoglucosan",722
"47","1216_0703_blob_1131","monopalmitin",712
"48","1221_0832_blob_5","MBTCA",922
"49","1221_0832_blob_100","phthalic acid",908
"50","1221_0832_blob_656","C25",792
"51","1221_0832_blob_662","C29",813
"52","1221_0832_blob_713","mannosan",704
"53","1221_0832_blob_734","C29",723
"54","1221_0832_blob_745","C30",794
"55","1221_0832_blob_758","gamma dodecalactone",850
"56","1221_0832_blob_785","C31",822
"57","1221_0832_blob_842","FAME18 (Methyl Stearate)",757
"58","1221_0832_blob_914","C33",719
"59","1221_0832_blob_953","beta-nocaryophyllonic acid, TMS",761
"60","1221_0832_blob_967","4-hydroxybenzoic acid",746
"61","1221_2326_blob_600","squalene",865
"62","1221_2326_blob_657","beta-caryophyllene aldehyde",851
"63","1221_2326_blob_790","C26 acid",780
"64","1221_2326_blob_817","C28",761
