PMF_factor_1,PMF_factor_2,PMF_factor_3,PMF_factor_4,PMF_factor_5,PMF_factor_6,time_start,time_end,time_start_num,,,
0.20576829,0.095785141,0.43404055,0.13388051,0.079175934,0.039869811,00:01.3,03:01.0,41677,,,
0.21762492,0.038640436,0.46252948,0.048456628,0.11699043,0.025551988,08:01.3,11:01.0,41677.01,,,
0.22082314,0.13760579,0.42454243,0.06740085,0.068448015,0.008866493,16:01.3,19:01.0,41677.01,,,
0.19375722,0.18184136,0.42669952,0.045183726,0.084442429,0.022653006,24:01.3,27:01.0,41677.02,,,
0.21246935,0.19010465,0.4464193,0.12839614,0.066240102,0.009836257,32:01.2,35:00.9,41677.02,,,
0.16381057,0.09478315,0.44787678,0.13466057,0.16048636,0.0842935,40:01.2,43:01.4,41677.03,,,
0.21511678,0.1509745,0.46169314,0.047571916,0.055654295,0.021111529,48:01.3,51:01.0,41677.03,,,
0.17562515,0.14431708,0.48104343,0.089088,0.12287243,0.030865515,56:01.3,59:01.4,41677.04,,,
0.038282633,0.06572549,0.24707457,0.25124606,0.050951153,0.049664356,00:01.3,03:01.1,41678,,,
0.039338399,0.19422466,0.20679972,0.2341287,0.10787671,0.023513721,08:01.2,11:00.9,41678.01,,,
0.030990543,0.24713671,0.22604421,0.26881534,0.10179636,0.059046563,16:01.1,19:01.1,41678.01,,,
0.048417199,0.14599442,0.21907008,0.22827463,0.080285139,0.047597364,24:01.2,27:00.9,41678.02,,,
0.039429229,0.084794,0.21056308,0.24302007,0.10702293,0.047031477,32:01.1,35:00.9,41678.02,,,
0.037348736,0.29984906,0.16164528,0.24850021,0.082421929,0.052000001,40:01.4,43:01.0,41678.03,,,
0.015230215,0.2340733,0.16254471,0.24422,0.11472057,0.053651292,48:01.2,51:01.0,41678.03,,,
0.055547543,0.18138736,0.16467428,0.21927793,0.07193771,0.041003305,56:01.1,59:00.8,41678.04,,,
0.081533358,0.22276835,0.34078136,0.22285542,0.24987409,0.10275672,01:10.3,03:00.2,41679,,,
0.087550357,0.13049722,0.36471984,0.1886483,0.12445771,0.062540531,09:10.3,11:00.2,41679.01,,,
0.16609585,0.066610634,0.33950987,0.16154049,0.10713699,0.079364359,17:10.2,19:00.2,41679.01,,,
0.10719493,0.028423121,0.32412779,0.17880921,0.13477878,0.084035717,25:10.1,27:00.1,41679.02,,,
0.13347664,0.1631985,0.26726136,0.16270263,0.15798807,0.099412285,33:10.0,35:00.1,41679.02,,,
0.10607978,0.23122886,0.29291463,0.16284265,0.14553729,0.089022145,41:10.0,43:00.1,41679.03,,,
0.097284921,0.31526071,0.23886293,0.20157893,0.13576822,0.097951286,49:10.1,51:00.2,41679.03,,,
0.10211679,0.26882836,0.32761821,0.17240913,0.170623,0.10502706,57:10.2,59:00.2,41679.04,,,
0.20968556,0.23517837,0.30968514,0.415898,0.085613646,0.04711267,00:01.0,03:01.2,41680,,,
0.219768,0.11915971,0.097361781,0.33240551,0.063916072,1.5396043,08:01.3,11:01.1,41680.01,,,
0.24570608,0.04731147,0.31385791,0.49483615,0.078096427,0.29658443,16:01.1,19:01.0,41680.01,,,
0.20826985,0.16212486,0.18361892,0.43857065,3.06E-07,1.1240329,24:01.0,27:00.9,41680.02,,,
0.22670378,0.33568621,0.32221779,0.34569815,0.10631986,0.048608072,32:00.9,35:00.9,41680.02,,,
0.20905086,0.15667,0.30996951,0.37226033,0.12483307,0.090606138,40:00.9,43:00.9,41680.03,,,
0.2232985,0.15235114,0.31618541,0.38176188,0.079684362,0.092910498,48:00.9,51:00.9,41680.03,,,
0.19506143,0.20382515,0.32941836,0.34406072,0.099251859,0.034063827,56:00.9,59:00.9,41680.04,,,
0.048311055,0.009526243,0.10370456,0.20944929,0.1472995,0.069500923,00:01.1,03:00.9,41681,,,
0.060142677,6.72E-07,0.1135235,0.17085664,0.09197779,0.056092814,08:01.0,11:00.9,41681.01,,,
0.040762905,0.060699571,0.11196372,0.14820421,0.10421929,0.059882306,16:01.4,19:00.8,41681.01,,,
0.045478944,0.009464914,0.094308428,0.17510079,0.11327964,0.078388713,24:01.4,27:00.8,41681.02,,,
0.041174103,0.10660093,0.12541007,0.1524943,0.047059219,0.088434286,32:01.2,35:01.2,41681.02,,,
5.51E-08,1.42E-07,3.53E-08,0.032149144,1.04E-07,1.9252421,40:01.3,43:00.8,41681.03,,,
0.05412795,0.019446921,0.118426,0.17494836,0.1016655,0.079788074,48:01.4,51:00.9,41681.03,,,
0.045517892,0.051671539,0.10706864,0.11032857,0.10433907,0.077670716,56:01.2,59:01.2,41681.04,,,
0.094324574,0.22654472,0.31750086,0.091612928,0.13615786,0.030168965,00:01.2,03:01.1,41682,,,
0.10488336,0.12761836,0.32434452,0.041662395,0.12559435,0.035308324,08:01.2,11:01.2,41682.01,,,
0.10158393,0.29658613,0.30363715,0.048636708,0.11479207,0.04494635,16:01.1,19:01.0,41682.01,,,
0.094157502,0.17488936,0.30461091,0.071791925,0.14089629,0.026172699,24:00.9,27:00.9,41682.02,,,
0.098118357,0.19456708,0.29446042,0.035089556,0.12442872,0.037784684,32:01.0,35:00.9,41682.02,,,
0.11975843,0.221191,0.25497171,0.036415201,0.071991712,0.033662565,40:01.3,43:00.8,41682.03,,,
0.11276215,0.20732714,0.28911865,0.065370701,0.10548785,0.030822027,48:01.3,51:00.8,41682.03,,,
0.089544855,0.32829192,0.23051371,0.047245126,0.11283837,0.028917456,56:01.4,59:00.9,41682.04,,,
0.14431158,0.24003313,0.37780008,0.16324128,0.11775829,0.039017551,00:01.4,03:01.2,41683,,,
0.14299543,0.25839093,0.36166924,0.24652128,0.091838785,0.008406435,08:01.1,11:01.5,41683.01,,,
0.12974593,0.23292865,0.36845198,0.21594714,0.10977614,0.045141499,16:01.2,19:01.1,41683.01,,,
0.12803535,0.32505643,0.3282347,0.16979036,0.10798658,0.041049093,24:01.3,27:01.2,41683.02,,,
0.14973979,0.2664167,0.31244743,0.13177279,0.21256615,0.054402579,32:01.2,35:01.1,41683.02,,,
