"","Compound.Name","cluster_vol.z1","cluster_vol.z2","cluster_vol.z3","cluster_vol.z4","cluster_vol.z5","cluster_vol.z6","bbvol","anthrovol","cluster","max_corr","Assigned_Option_1","Assigned_Option_2","Assigned_option_3","Assigned_option_4","Notes","BlobID","Library Name","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Library.Molecular.Weight_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","Library.Reverse.Match.Factor_chamber","Library.RI_chamber"
"1","1221_0832_blob_4",0.195647206,0.314425264,0.278711816,0.380729426,0.287824963,0.517220699,0.436445542,0.136869117,6,"cluster_vol.z6","6","6","6","6",NA,4,"amz_lib_1221_0832","C18",182,576,1873.825503,1830,"6-Methyl-2-tridecanone",776,796,NA,"C14H28O",212,"bcp_ox_L_blob_598",460,520,1856
"2","1202_1412_blob_41",0.073544555,0.251807082,0.450510307,0.246959693,0.168417898,0.870342239,0.419251693,0.018709668,6,"cluster_vol.z6","6","6","6","6",NA,41,"amz_lib_1202_1412","C19",119,308,1950.33557,1934,"Phthalic acid, 2-methylbutyl propyl ester",898,911,NA,"C16H22O4",278,"limonox_S_blob_757",264,320,1967
"3","1221_0832_blob_162",0.141199091,0.238260515,0.361535598,0.254259394,0.099771634,0.728514437,0.388916813,0.008688547,6,"cluster_vol.z6","6","6","6","6",NA,162,"amz_lib_1221_0832","C7 acid",238,414,1845.637584,NA,"Phthalic acid, 2-methylbutyl propyl ester",848,897,NA,"C16H22O4",278,"bcp_ox_L_blob_649",333,333,1839
"4","1202_1412_blob_990",-0.006232371,0.227090268,0.345011177,0.189580476,0.036945353,0.50238035,0.478042962,-0.069953582,NA,"cluster_vol.z6","6","6","6","6",NA,990,"amz_lib_1202_1412","beta-caryophyllonic acid, TMS",578,686,1943.624161,1931,"6-Hydroxy-1-oxogermacr-4,10(15),11(13)-trien-12,8-olide",641,738,NA,"C15H18O4",262,"bcp_ox_L_blob_678",584,656,1959
"5","1202_1412_blob_5",0.083415808,0.192216987,0.337163631,0.557643668,0.351402599,0.843623033,0.360128177,0.007975139,6,"cluster_vol.z6","6","6","6","6",NA,5,"amz_lib_1202_1412","xanthone",86,191,1892.61745,1906,"Phthalic acid, butyl isohexyl ester",886,887,NA,"C18H26O4",306,"bcp_ox_L_blob_650",353,391,1878
"6","1202_1412_blob_2061",0.011007361,0.168802661,0.155473909,0.172448862,-0.058829789,0.214194836,0.185617952,0.003601836,NA,"cluster_vol.z6","6","6","6","6",NA,2061,"amz_lib_1202_1412","C7 acid",395,520,2728.301887,NA,"a-d-Glucopyranoside, methyl 2,3,4-tris-O-(trimethylsilyl)-, hexadecanoate",670,705,NA,"C32H68O7Si3",648,"limonox_S_blob_633",408,544,NA
"7","1129_1334_blob_1233",0.027633657,0.095881492,0.327456282,0.261655666,0.028695072,0.512432082,0.336382454,-0.082637741,NA,"cluster_vol.z6","6","6","6","6",NA,1233,"amz_lib_1129_1334","beta-caryophyllinic acid, TMS",537,628,2068.148148,2060,"1-Naphthalenepentanol, decahydro-5-(hydroxymethyl)-5,8a-dimethyl-t,2-bis(methylene)-, (1a,4aﬂ,5a,8aa)-",674,755,NA,"C20H34O2",306,"bcp_ox_L_blob_758",568,634,2075
"8","1221_0832_blob_910",-0.089696148,0.083546586,0.247038623,0.37674008,0.375096818,0.573952976,0.208032293,-0.086333286,NA,"cluster_vol.z6","6","6","6","6",NA,910,"amz_lib_1221_0832","C7 acid",355,490,1861.744966,NA,"Phthalic acid, ethyl pentadecyl ester",610,729,NA,"C25H40O4",404,"bcp_ox_L_blob_650",524,588,1878
"9","1221_0832_blob_897",-0.13444748,0.050032161,0.353887405,0.362171263,-0.011318164,0.455828859,0.427845011,-0.291556158,NA,"cluster_vol.z6","6","6","6","6",NA,897,"amz_lib_1221_0832","beta-nocaryophyllonic acid, TMS",565,570,1982.550336,1985,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",668,693,NA,"C18H34OSi",294,"limonox_S_blob_788",540,584,1989
"10","1221_0832_blob_831",-0.191175825,0.04257449,0.333440099,0.273827101,0.158851411,0.680074503,0.237624064,-0.203573327,NA,"cluster_vol.z6","6","6","6","6",NA,831,"amz_lib_1221_0832","beta-caryophyllonic acid, TMS",301,341,1940.939597,1931,"Phthalic acid, 6-ethyl-3-octyl butyl ester",826,893,NA,"C22H34O4",362,"bcp_ox_L_blob_890",344,344,1947
