,Compound.Name,cluster_vol.z1,cluster_vol.z2,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,bbvol,anthrovol,cluster,Assigned_cluster,bb_vs_a
1058,1221_0832_blob_946,0.872787301,0.409181877,0.188126366,-0.054092537,0.158619965,-0.060010017,0.082493394,0.488299161,NA,1,-0.405805767
113,1128_1901_blob_1380,0.854482816,0.470571257,0.153238044,-0.073916967,0.15558864,0.000703159,0.132003664,0.502319155,NA,1,-0.370315491
456,1129_1334_blob_891,0.815831163,0.758455656,0.330234187,-0.199283653,0.111189478,-0.004026031,0.299164635,0.759823205,NA,1,-0.46065857
663,1202_1412_blob_1709,0.806406279,0.602155205,0.406870131,-0.255863524,-0.05648453,-0.020348189,0.251900166,0.520787607,NA,1,-0.268887441
170,1128_1901_blob_582,0.79617629,0.447845735,0.423864491,-0.204617954,-0.058806797,0.033775524,0.309920412,0.428229313,NA,1,-0.118308901
688,1202_1412_blob_573,0.792365346,0.8374401,0.409343372,-0.071758986,0.141018996,0.06629393,0.318176205,0.788424325,2,2a,-0.47024812
191,1128_1901_blob_734,0.791814483,0.618416153,0.084700891,-0.113953927,0.085783772,-0.059289979,0.162365281,0.733814263,NA,1,-0.571448983
185,1128_1901_blob_703,0.777939198,0.840994212,0.373127818,-0.128616252,0.079950188,0.07121996,0.406727119,0.787065321,NA,2a,-0.380338202
917,1221_0832_blob_638,0.772279637,0.842803243,0.360280016,-0.084618246,0.164335545,0.022374511,0.329668064,0.813107264,2,2a,-0.4834392
1009,1221_0832_blob_841,0.762336782,0.604887941,0.248099956,-0.100457475,0.005208738,0.067233443,0.169655664,0.574143449,1,1,-0.404487785
57,1128_1901_blob_1174,0.749076598,0.813243421,0.590932517,-0.243176374,0.0518205,0.058093411,0.428679871,0.693588636,NA,2,-0.264908765
912,1221_0832_blob_583,0.74037899,0.821379056,0.239242008,-0.073537716,0.153890645,0.022663418,0.430018889,0.880351557,2,2a,-0.450332669
160,1128_1901_blob_1778,0.740219256,0.687473449,0.113793526,-0.083564448,0.110232455,-0.077958762,0.195079632,0.82361611,NA,2a,-0.628536478
173,1128_1901_blob_620,0.735158295,0.837436367,0.419081953,-0.165037915,-0.028523207,0.078596714,0.423072806,0.722827368,NA,2,-0.299754561
893,1221_0832_blob_37,0.731665499,0.877416988,0.40213469,-0.042822764,0.123477246,0.132366163,0.41984486,0.802332591,2,2a,-0.382487731
462,1129_1334_blob_924,0.731366931,0.848717938,0.268711328,-0.155863653,0.128273443,0.017168835,0.352121136,0.909787427,NA,2a,-0.557666291
962,1221_0832_blob_731,0.727943708,0.891225727,0.351307182,-0.128708203,0.142776953,0.002682786,0.413039271,0.936154974,NA,2a,-0.523115703
957,1221_0832_blob_719,0.718983337,0.831763793,0.305825403,-0.131219127,0.069083306,-0.034725507,0.290242386,0.810288949,2,2a,-0.520046562
366,1129_1334_blob_1352,0.715403169,0.635073034,0.086166499,-0.154284633,0.131258002,-0.033756825,0.32857889,0.724497517,NA,1,-0.395918627
