assigned_cluster_1,anthro_influenced_1,influence_type_1,notes_1
1,FALSE,,"some correlation with anthro, but not strong enough realtive to tother things"
3,FALSE,,"strong LOOOA, also some MOOOA and IEPOX"
4,FALSE,,some HC influence but not clear
5,FALSE,,IEPOX and LOOOA
6,TRUE,BB,
7,FALSE,,total myserty
8,FALSE,,"very strong IEPOX, also some LOOOA and MOOOA"
9,FALSE,,some amd HC and BB but none strong
10,TRUE,BB,Levoglucosan here
11,TRUE,UP,Phthalic acid here; also some bb influence
12,TRUE,UP,
13,TRUE,UP,
