Compound.Name,anthrovol,bbvol,cluster_vol.z1,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,cluster_vol.z7,cluster_vol.z8,cluster_vol.z9,cluster_vol.z10,cluster_vol.z11,cluster_vol.z12,cluster_vol.z13,AMS_PMF_1,AMS_PMF_2,AMS_PMF_3,AMS_PMF_4,AMS_PMF_5,AMS_PMF_6,cluster,max_corr,assigned_cluster
1221_0832_blob_823,0.297945093,0.095859635,0.604893899,0.371340125,-0.193316738,0.059653654,0.279412,0.09329024,0.216241234,-0.142366753,0.130665964,0.327198465,0.309952943,0.477940961,0.193538582,0.451502542,0.150601021,-0.100386776,0.020065896,-0.088745576,1,cluster_vol.z1,1
1221_0832_blob_841,0.574143449,0.169655664,0.762336782,0.29129597,-0.100457475,0.385435686,0.078841813,0.005208738,0.481274865,-0.00871315,0.207070113,0.654358467,0.629239308,0.531151173,0.647383553,0.41860762,0.108690725,-0.059588588,0.179165222,-0.075559991,1,cluster_vol.z1,1
1221_2326_blob_600,-0.025185063,-0.084243518,0.599470053,0.12604288,-0.019419122,-0.118991708,0.12081248,0.018447398,0.005139377,0.005278864,-0.075023584,-0.004807205,0.052828763,0.143539808,0.044104771,0.129898595,-0.15046408,-0.097660725,-0.134797651,-0.086552046,1,cluster_vol.z1,1
1129_1334_blob_594,0.728571073,0.197940483,0.368911765,0.352822215,-0.214009456,0.044119348,0.0276376,0.164706877,0.212853498,-0.171182237,0.242717341,0.64441942,0.557206654,0.522217748,0.307627745,0.490458307,0.393133546,0.00282369,0.268647187,-0.06343079,1,cluster_vol.z11,1
1202_1412_blob_738,0.61907947,0.317020649,0.255050829,0.414216735,-0.201419862,0.033564741,0.193517783,-0.102474023,0.134463491,-0.105974716,0.348940257,0.489941079,0.348864568,0.362641323,0.283723923,0.341271943,0.343427363,0.116205179,0.399302254,0.05832172,1,cluster_vol.z11,1
1221_0832_blob_568,0.783816566,0.347264684,0.702038639,0.181028622,0.01458891,0.155286113,-0.015436989,0.246782678,0.466662333,-0.090518068,0.377105083,0.743792529,0.699439628,0.545959563,0.548371893,0.720600076,-0.033670629,0.026943425,0.134536253,0.074667002,1,cluster_vol.z11,1
1221_0832_blob_571,0.866670303,0.322391553,0.669987165,0.158622885,-0.117554581,0.212291653,-0.074881466,0.092034756,0.411057734,-0.11167656,0.360298784,0.785356787,0.734265551,0.559368158,0.551134375,0.617819877,0.09625171,0.039047711,0.182097861,-0.016028776,1,cluster_vol.z11,1
1221_0832_blob_511,0.826995322,0.329618401,0.59977399,0.142629751,-0.111563904,0.111856283,-0.034621804,0.143787393,0.377715206,-0.143620201,0.367381015,0.735036125,0.737080838,0.483358065,0.513263951,0.646803139,0.091265323,0.057233438,0.148705521,-0.04827733,1,cluster_vol.z12,1
1128_1901_fb_add_blob_43,0.311532154,0.392366908,0.29491957,0.399178577,0.26987089,-0.145005484,0.322704134,0.100385374,0.276591576,0.120876492,0.382243136,0.327383907,0.258987204,0.357132097,0.212385879,0.563001992,-9.67E-06,0.141468828,0.184104772,0.46377217,1,cluster_vol.z3,1
1128_1901_blob_1004,-0.155091312,-0.182752458,-0.083681253,-0.194858623,-0.205914516,0.578425384,-0.076146383,-0.147609442,-0.080793433,-0.254451608,-0.1872199,-0.138797545,-0.098329705,-0.128919963,-0.086039013,-0.232474821,0.072422968,-0.064397314,-0.070329624,-0.13086892,1,cluster_vol.z5,1
