Compound.Name,anthrovol,bbvol,cluster_vol.z1,cluster_vol.z2,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,AMS_PMF_1_iepox,AMS_PMF_2_moooa,AMS_PMF_3_loooa,AMS_PMF_4_bboa,AMS_PMF_5_arom,AMS_PMF_6_hc,cluster,Assigned_Option_2
cluster_vol.z6,-0.063735232,0.304792346,-0.007920895,0.13695001,0.284486209,0.519215604,0.306507973,1,0.129300596,0.021335424,-0.030830673,0.12667137,0.080279179,0.147282155,NA,NA
cluster_vol.z5,0.119667177,-0.14450729,0.079295703,0.021538587,-0.114362384,0.614089308,1,0.306507973,-0.076215346,0.114916603,-0.071552965,-0.219296245,-0.279292059,0.010482876,NA,NA
cluster_vol.z4,-0.149302011,-0.135522521,-0.099243912,-0.170892122,-0.150212159,1,0.614089308,0.519215604,-0.100783565,0.026570973,-0.24840283,-0.097327409,-0.360734729,0.23084189,NA,NA
cluster_vol.z3,0.363983764,0.642008753,0.338163019,0.63018694,1,-0.150212159,-0.114362384,0.284486209,0.570465466,0.514205294,0.562331787,0.347469681,0.688974523,0.113197612,NA,NA
cluster_vol.z2,0.865980385,0.685648396,0.624376279,1,0.63018694,-0.170892122,0.021538587,0.13695001,0.855364669,0.744204419,0.46658895,0.285150456,0.575932499,0.120460162,NA,NA
cluster_vol.z1,0.650358384,0.23532813,1,0.624376279,0.338163019,-0.099243912,0.079295703,-0.007920895,0.541947932,0.660442727,0.039588223,-0.037681106,0.11022872,-0.00836346,NA,NA
Blob with BlobID = 7,-0.16882469,-0.235763906,-0.070802218,-0.212023144,-0.23695882,-0.243395715,-0.185622485,-0.315037335,-0.222910415,-0.215483163,0.012063625,-0.12068015,-0.150481555,-0.151065887,NA,1
Blob with BlobID = 584,0.543309736,0.414037474,0.356505338,0.564889016,0.53930308,-0.272370359,-0.115184685,-0.012980084,0.373168582,0.421360098,0.402856355,0.117619371,0.402211901,-0.009884799,NA,2a
Blob with BlobID = 4,-0.12410834,-0.097979508,-0.124722475,-0.172364876,-0.262442643,0.215477354,0.193076108,0.083788609,-0.177630335,-0.217347348,-0.164185926,0.094822898,-0.148204368,0.439896106,NA,4
bbvol,0.379247349,1,0.23532813,0.685648396,0.642008753,-0.135522521,-0.14450729,0.304792346,0.52738293,0.512838148,0.342171929,0.724319883,0.692885586,0.426587655,NA,NA
anthrovol,1,0.379247349,0.650358384,0.865980385,0.363983764,-0.149302011,0.119667177,-0.063735232,0.62428926,0.718508959,0.349864162,0.005584229,0.330510008,0.007662866,NA,NA
AMS_PMF_6,0.007662866,0.426587655,-0.00836346,0.120460162,0.113197612,0.23084189,0.010482876,0.147282155,0.093489636,0.155814835,0.05587222,0.570208145,0.295013712,1,NA,NA
AMS_PMF_5,0.330510008,0.692885586,0.11022872,0.575932499,0.688974523,-0.360734729,-0.279292059,0.080279179,0.544025346,0.310338621,0.660284517,0.673132277,1,0.295013712,NA,NA
AMS_PMF_4,0.005584229,0.724319883,-0.037681106,0.285150456,0.347469681,-0.097327409,-0.219296245,0.12667137,0.275129526,0.179606131,0.355539861,1,0.673132277,0.570208145,NA,NA
AMS_PMF_3,0.349864162,0.342171929,0.039588223,0.46658895,0.562331787,-0.24840283,-0.071552965,-0.030830673,0.402378511,0.158294374,1,0.355539861,0.660284517,0.05587222,NA,NA
AMS_PMF_2,0.718508959,0.512838148,0.660442727,0.744204419,0.514205294,0.026570973,0.114916603,0.021335424,0.565721488,1,0.158294374,0.179606131,0.310338621,0.155814835,NA,NA
AMS_PMF_1,0.62428926,0.52738293,0.541947932,0.855364669,0.570465466,-0.100783565,-0.076215346,0.129300596,1,0.565721488,0.402378511,0.275129526,0.544025346,0.093489636,NA,NA
1221_2326_blob_887,-0.104222309,-0.044656048,-0.100263669,-0.108294224,-0.024451484,0.28030325,0.265111189,0.214469089,-0.080972606,0.026053785,0.011728264,0.030616678,-0.0557687,-0.0796243,NA,4
1221_2326_blob_871,-0.073115848,-0.148408071,-0.079907348,-0.128010207,-0.182390584,0.046908613,-0.018771282,0.025707839,-0.112745501,-0.096340879,0.005437668,-0.089832,-0.047713929,-0.067846826,NA,4
1221_2326_blob_864,-0.101550982,-0.198878664,-0.108621677,-0.176733103,-0.24242563,0.147731172,0.336402692,-0.030989674,-0.220070738,-0.206580631,-0.164546734,-0.119461811,-0.145063049,0.056514312,NA,5
1221_2326_blob_862,-0.202798477,-0.068182207,-0.185646953,-0.225521317,-0.096403865,0.671331628,0.384190344,0.432562634,-0.189416632,-0.083591679,-0.036151668,0.103376679,-0.187963068,0.211619863,NA,4
1221_2326_blob_861,-0.142505456,-0.114201935,-0.141620155,-0.153312233,-0.110740217,0.29854734,0.018395362,0.121814245,-0.12405047,-0.027046506,-0.003389475,-0.015833299,-0.138957391,-0.082719326,NA,4
1221_2326_blob_776,-0.055324567,0.070068954,-0.034654333,-0.037660448,0.037674409,0.156917777,-0.076244862,-0.066013446,-0.045985113,0.264519845,-0.12595467,0.047404838,-0.083175656,-0.044204533,NA,4
1221_2326_blob_762,-0.092542673,-0.106010308,-0.087335912,-0.123553321,-0.006362376,0.346015352,0.426751362,0.370973714,-0.105094244,-0.05617241,0.060790533,-0.043228278,-0.028101822,-0.081654146,NA,5
1221_2326_blob_754,-0.148132916,-0.180285348,-0.142875783,-0.181564769,-0.119989968,0.212851938,0.085684966,0.229301497,-0.15362956,-0.024309864,-0.023155871,-0.093260092,-0.160622728,-0.102533025,NA,6
1221_2326_blob_741,-0.186896321,-0.100858067,-0.202728898,-0.211126622,-0.156000672,0.541684668,0.289488656,0.390263966,-0.190874135,-0.071561753,0.010373523,0.053999485,-0.174251661,0.147028127,NA,4
1221_2326_blob_722,-0.01206156,0.169317996,-0.046882502,0.112315824,0.532868669,0.002762721,0.118084286,0.292013437,0.058735095,0.043899385,0.473617041,0.095935246,0.289651605,0.146859754,NA,3
1221_2326_blob_716,-0.099366252,-0.054120822,-0.101265049,-0.13321633,-0.234575777,0.146270907,0.079693241,0.054504202,-0.142789198,-0.182583422,-0.142053588,0.119509926,-0.108548456,0.461733816,NA,4
1221_2326_blob_715,-0.098145473,-0.172859661,-0.090140635,-0.151537974,-0.042692992,0.212132076,0.286249396,0.307340195,-0.157406476,-0.081802341,-0.057534334,-0.126164492,-0.131556737,-0.064742473,NA,6
1221_2326_blob_688,-0.197805751,-0.145321143,-0.195486576,-0.237017676,-0.146388319,0.510531148,0.195841192,0.39470218,-0.210571584,-0.119527841,-0.013492241,0.026377444,-0.19752903,0.162938362,NA,4
1221_2326_blob_672,-0.104539055,-0.159604107,-0.116610592,-0.181572757,-0.06748933,0.752935922,0.517854361,0.444459178,-0.233560893,0.047135313,-0.071016569,-0.151900636,-0.230909919,0.031187895,NA,4
1221_2326_blob_671,-0.237239787,-0.276304821,-0.235694548,-0.321976698,-0.181186171,0.569989059,0.469130311,0.471547276,-0.30818607,-0.19297815,-0.066858021,-0.095441509,-0.228582119,0.003773957,NA,4
1221_2326_blob_600,-0.025185063,-0.084243518,0.599470053,-0.015781099,0.133821139,-0.019419122,0.018447398,0.005818395,0.044104771,0.129898595,-0.15046408,-0.097660725,-0.134797651,-0.086552046,1,1
1221_0832_blob_996,0.199353115,0.83014582,0.054341781,0.444194808,0.561780144,-0.232781793,-0.244613704,0.243652244,0.286748889,0.226445222,0.346598989,0.632645249,0.657786571,0.279023853,NA,2b
1221_0832_blob_994,0.566394871,0.410779107,0.51187867,0.519457752,0.095406551,-0.024224305,-0.028482867,0.05347265,0.323996987,0.51150726,-0.087597748,0.131558378,0.208076295,0.261868373,NA,2a
1221_0832_blob_993,0.516881452,0.409667372,0.542832933,0.718448407,0.512811616,0.098394701,0.141492781,0.250469571,0.762124358,0.583427529,0.154266309,0.047929215,0.323423279,0.142865474,2,2a
1221_0832_blob_992,0.027056047,-0.034171321,-0.075770296,0.148895512,0.079450131,0.13600475,0.115944407,0.077250758,0.19504476,0.007706316,0.179635345,-0.172243247,-0.01851028,-0.115840464,NA,2a
1221_0832_blob_988,0.294194482,0.529186339,0.166544888,0.353340602,0.14894985,-0.293175794,-0.17858354,0.056375441,0.133312658,0.211116861,0.0913337,0.333955612,0.352393651,0.056627465,NA,2b
1221_0832_blob_987,0.572982136,0.082643608,0.504228419,0.562806214,0.087690239,0.164349443,0.234424065,0.040225703,0.545577205,0.535255485,0.043736437,-0.159910666,-0.022095724,-0.019759305,NA,2a
1221_0832_blob_986,-0.016675453,0.011549432,-0.079202428,-0.061502204,-0.032355493,0.620834925,0.280794932,0.211164797,-0.139772109,0.275299156,-0.140977499,-0.131514899,-0.206958798,0.168104238,NA,4
1221_0832_blob_985,0.032626754,0.095283818,0.029976026,0.061655265,0.18889871,0.078247551,-0.082324012,-0.111491615,0.020087119,0.260742998,0.017710352,-0.011501753,0.024420867,-0.036675985,NA,3
1221_0832_blob_983,0.16920593,0.159618315,0.231996354,0.138752958,0.067609261,0.39139573,0.186632652,0.030938318,-0.000865827,0.434130702,-0.152600161,-0.064462079,-0.115814575,0.304420594,NA,4
1221_0832_blob_982,-0.081017423,-0.155234308,-0.094099885,-0.101314086,-0.103727046,0.144697044,0.122538634,0.071565099,-0.114364201,-0.027786238,0.049088309,-0.144275308,-0.087387285,-0.057206884,NA,4
1221_0832_blob_981,0.076273016,0.079639219,-0.026335936,0.24498565,0.158854559,0.152870722,0.107783354,0.172103165,0.29014473,0.098035305,0.072686286,-0.093214525,0.035350915,-0.083900313,NA,2b
1221_0832_blob_979,0.60083064,0.175829943,0.357278276,0.676354006,0.295820853,-0.03177881,0.161435471,-0.007006097,0.693623784,0.421371782,0.449880606,-0.00124492,0.270317871,-0.081521816,2,2a
1221_0832_blob_978,0.550562863,0.260002545,0.449737217,0.498134876,0.090151395,0.005844618,0.095638238,0.071375263,0.312982277,0.391513926,0.083359922,-0.019350312,0.156387282,-0.089575209,NA,2a
1221_0832_blob_977,0.123496405,0.130378568,-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.018763628,0.12683599,0.089235655,-0.087091391,-0.007869579,-0.084693057,NA,5
1221_0832_blob_976,0.123496405,0.130378568,-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.018763628,0.12683599,0.089235655,-0.087091391,-0.007869579,-0.084693057,NA,5
1221_0832_blob_974,0.076117661,-0.040595092,0.225652279,0.0576155,0.004285966,0.31413163,0.481301594,0.09791946,-0.039797435,0.263578274,-0.050213904,-0.21996882,-0.244710108,-0.022567058,NA,5
1221_0832_blob_971,-0.028049324,0.132994259,-0.091960795,-0.008207574,-0.159569006,0.366992958,0.267191721,0.161047561,-0.05338854,-0.067580924,-0.009216537,0.18465891,-0.121887374,0.564704423,NA,4
1221_0832_blob_968,0.789837136,0.417937167,0.592392795,0.728295171,0.118918131,-0.045338188,0.066542928,0.026564118,0.532213755,0.643460755,0.06355793,0.114066691,0.185172866,0.080139773,NA,2a
1221_0832_blob_967,0.432747714,0.713681191,0.277985096,0.670062074,0.701719524,-0.349488587,-0.143318745,0.05486533,0.543584118,0.433879664,0.630204619,0.493114995,0.756549762,0.193724612,NA,2b
1221_0832_blob_966,0.52318716,0.049132775,0.227379165,0.376107556,0.037772765,0.048550628,0.099178878,-0.161008274,0.210427825,0.396984102,0.223415041,-0.103571069,-0.051312059,-0.033448929,NA,2a
1221_0832_blob_965,0.322944377,-0.014270445,0.318905439,0.234485036,0.341887065,0.123112267,0.266889442,0.012582006,0.132134541,0.291959032,0.176732914,-0.30647766,0.027662972,-0.133734638,NA,3
1221_0832_blob_961,0.902080345,0.457980852,0.621126297,0.905895938,0.504458431,-0.186670726,0.13493764,-0.015752386,0.702288125,0.70897777,0.503149621,0.141144541,0.421149859,0.016259378,NA,2a
1221_0832_blob_954,0.123496405,0.130378568,-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.018763628,0.12683599,0.089235655,-0.087091391,-0.007869579,-0.084693057,NA,5
1221_0832_blob_953,0.103519805,0.221895686,0.064640379,0.215289214,0.651446287,-0.059750179,-0.045599625,0.193952308,0.150266747,0.280893597,0.330572572,0.057539391,0.228311901,0.038411586,3,3
1221_0832_blob_952,0.343694767,0.416133001,0.079938653,0.567240256,0.694377608,-0.031974131,0.047653219,0.237263318,0.525946599,0.346110327,0.530264605,0.143894337,0.468139985,0.094867688,NA,3
1221_0832_blob_948,0.08621579,0.07368602,-0.032363603,0.111879416,-0.010537589,0.262019463,0.276074533,0.116802836,-0.000876638,0.085142982,0.0966201,-0.1209709,-0.05574211,-0.08839079,NA,5
1221_0832_blob_946,0.488299161,0.082493394,0.872787301,0.409181877,0.188126366,-0.054092537,0.158619965,-0.060010017,0.289486788,0.527469169,-0.014755681,-0.131212822,-0.11122819,-0.12834372,NA,1
1221_0832_blob_942,0.077455951,-0.055028309,0.031023626,0.046639083,-0.032284274,0.396254803,0.648401033,0.176341682,-0.044774874,0.160832384,-0.014914289,-0.189076511,-0.191466185,-0.140688491,NA,5
1221_0832_blob_941,-0.140036548,-0.194204903,-0.173747716,-0.212973883,-0.213194156,0.521031007,0.356424681,0.179676298,-0.261577069,-0.022828086,-0.056344454,-0.223875028,-0.321825408,0.130343409,NA,4
1221_0832_blob_937,-0.041638637,0.043507526,-0.107607774,0.029727117,0.004354038,0.257594029,0.137830398,0.197446339,0.093778851,0.015460648,-0.045190313,-0.026635301,0.091455405,-0.051239065,NA,4
1221_0832_blob_936,-0.084046591,0.39602545,-0.121044858,0.111730788,0.117306457,0.137399097,0.056452712,0.388173874,0.092381292,0.026243522,-0.103212233,0.058585614,0.150848599,0.081327488,NA,2b
1221_0832_blob_934,0.198805927,0.253440212,0.086634979,0.262793529,0.310098885,0.168404684,-0.008496025,0.127956379,0.231944227,0.426601297,-0.020633276,-0.065395898,0.220083659,0.15924347,NA,3
1221_0832_blob_933,0.904656189,0.374568603,0.642344663,0.890742635,0.426421726,-0.01984673,0.159963862,0.053325836,0.734474172,0.73484245,0.325940504,-0.011951646,0.300715848,0.048265485,NA,2a
1221_0832_blob_928,-0.115920208,0.002056341,-0.129414334,-0.121114153,-0.138190303,0.016129956,0.144779969,0.171170237,-0.233631128,-0.100559918,-0.198043055,-0.166497943,-0.175367802,-0.047798291,NA,6
1221_0832_blob_924,0.126108888,0.192436374,0.055655373,0.102860657,-0.075527083,0.462408732,0.263826357,0.119473707,-0.023267357,0.233098157,-0.082946996,0.087123559,-0.124337487,0.650055634,NA,4
1221_0832_blob_920,0.156393093,-0.01776724,0.139071944,0.334924568,0.25588211,0.13170974,0.189069928,0.234588244,0.520472449,0.119817695,0.338145009,-0.172008438,0.110266705,-0.181884065,NA,2a
1221_0832_blob_919,-0.054665266,0.100443392,0.004317293,0.127139956,0.272592637,0.301444272,0.191090268,0.172072457,0.327837705,0.200125371,-0.039092912,-0.020602319,0.069239488,0.039839468,NA,4
1221_0832_blob_914,0.078023574,0.414614278,0.003414184,0.185312088,0.062456279,0.314826526,0.178803705,0.23353332,0.065834313,0.171660922,0.000626534,0.230177967,0.117702849,0.559896528,NA,2b
1221_0832_blob_912,0.546685078,0.677979297,0.345145705,0.760982119,0.718346814,-0.271635626,-0.193326159,0.231704183,0.684213825,0.411686731,0.487435758,0.299428097,0.710460546,0.238296648,NA,2b
1221_0832_blob_910,-0.086333286,0.208032293,-0.089696148,0.083546586,0.247038623,0.37674008,0.375096818,0.573952976,0.062131717,0.000641157,0.103003605,0.099379243,0.114677786,0.037464867,NA,6
1221_0832_blob_909,0.123496405,0.130378568,-0.008340845,0.147866261,0.026947175,0.218544468,0.253240264,0.106215277,0.018763628,0.12683599,0.089235655,-0.087091391,-0.007869579,-0.084693057,NA,5
1221_0832_blob_905,-0.101444434,-0.185042179,-0.101367752,-0.16604153,-0.165152447,0.251287384,0.483478158,0.036130133,-0.178884392,-0.174525183,-0.135403842,-0.116530586,-0.179010261,-0.023935502,NA,5
1221_0832_blob_902,-0.236094112,-0.216402108,-0.227176143,-0.30242575,-0.186729257,0.689352985,0.410022395,0.561840467,-0.280747621,-0.271719,-0.098631792,-0.052539108,-0.275039761,0.117066461,NA,4
1221_0832_blob_900,0.032414519,-0.000304823,0.005906846,0.071202855,0.094994271,0.016246456,0.044364823,-0.052656618,0.167126804,-0.066873845,0.448077809,-0.013606924,0.189482999,0.095376917,NA,3
1221_0832_blob_899,0.094371636,0.076050557,-0.037928277,0.099885351,0.001009445,0.219148893,0.258230021,0.119931808,-0.03384515,0.136306688,0.095570213,-0.122627787,-0.00468797,-0.101428863,NA,5
1221_0832_blob_898,0.363786987,0.502288789,0.307065392,0.649137467,0.536964404,0.087722364,0.096422264,0.238741208,0.751090789,0.43153321,0.481049637,0.305157515,0.450025521,0.122773452,6,6
1221_0832_blob_897,-0.291556158,0.427845011,-0.13444748,0.050032161,0.353887405,0.362171263,-0.011318164,0.455828859,0.188740906,0.109078497,0.089537538,0.473059322,0.216709393,0.324710505,NA,6
1221_0832_blob_895,0.684705524,0.134133735,0.562002807,0.597052419,0.195252619,0.003204818,0.120560291,-0.089567131,0.554880779,0.515817807,0.209168753,-0.124519854,0.127826794,0.000313678,NA,2a
1221_0832_blob_894,0.527990649,0.066147927,0.247675272,0.400220383,-0.0297957,0.161698295,0.282326196,-0.095742561,0.250956782,0.458562833,0.085563406,-0.113375371,-0.126256492,-0.093550025,NA,2a
1221_0832_blob_893,0.203775762,0.07233541,0.248984618,0.199114731,0.033613595,0.207771644,0.544158144,0.032246945,0.087255306,0.329857883,-0.04406916,-0.124383475,-0.086643857,-0.110384638,NA,5
1221_0832_blob_890,0.157210256,0.187078466,0.091664313,0.142131141,0.061790421,0.390885599,0.18150051,0.027698754,-0.008177001,0.408630508,-0.106276776,-0.0517496,-0.082874661,0.214242778,NA,4
1221_0832_blob_889,0.21133227,0.356200362,0.366201995,0.420307383,0.281065884,-0.100061953,-0.037530039,0.145149113,0.539288515,0.211515207,0.117532454,0.096197009,0.373648702,0.028746289,NA,2b
1221_0832_blob_886,-0.100839293,0.051914817,-0.101114788,-0.102035395,-0.221591384,0.234395909,0.089835273,0.098346041,-0.092196475,-0.161916141,-0.08609374,0.240860637,-0.117707226,0.678491423,NA,4
1221_0832_blob_884,-0.009243,0.261090638,-0.069673154,0.200997557,0.31042308,-0.176423976,-0.128444073,-0.041336009,0.308799431,-0.027275363,0.609915558,0.360019788,0.441316119,0.173651562,NA,3
