Compound.Name,4-methoxy-benzaldehyde,chrysene-d,d-anthraquinone,"d-C10 acid, TMS","d-C15 alcohol, TMS","d-C22 acid, TMS",d-C6diacid,d-cholestane,d-cholesterol,d-pyrene,dC14,dC16,dC18,dC20,dC22,dC24,dC26,dC28,dC30,dC32,dC34,dC36,dibenzanthracene-d,glucose-13C6,methoxyphenol-d3,pentaerythritol-C13,perylene-d
4-methoxy-benzaldehyde,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1
chrysene-d,1,1,0.961471685,0.519412612,0.760480272,0.845424638,0.555093008,0.944607928,0.840799518,0.973087795,0.634475588,0.64274134,0.818987233,0.915742732,0.933051947,0.947955504,0.947974386,0.893684464,0.823700789,0.862001214,0.784190394,0.805460134,0.689298011,0.542841933,0.639689521,0.665246761,0.807193213
d-anthraquinone,1,0.961471685,1,0.481148314,0.780042626,0.789143856,0.564512929,0.927107929,0.7684642,0.977833415,0.660513908,0.633278263,0.823618866,0.941541082,0.945619328,0.955534985,0.939436332,0.899401691,0.783485113,0.840562727,0.763583646,0.774767448,0.548722448,0.523044055,0.657200797,0.657547477,0.759548093
"d-C10 acid, TMS",1,0.519412612,0.481148314,1,0.722127695,0.495244546,0.504439495,0.568143896,0.545514259,0.512317537,0.567466379,0.822903128,0.774352608,0.607035789,0.593278893,0.592406355,0.593230196,0.498148734,0.491332392,0.567577101,0.477051874,0.549386996,0.02332016,0.284987864,0.322843867,0.849747903,0.428355683
"d-C15 alcohol, TMS",1,0.760480272,0.780042626,0.722127695,1,0.661630866,0.454203156,0.813428099,0.692647693,0.798054253,0.451474945,0.729658121,0.878481117,0.888125949,0.864911855,0.864960315,0.838468352,0.792659946,0.712678789,0.804946886,0.722835299,0.767592798,-0.084543757,0.335221931,0.408234943,0.78620258,0.562502378
"d-C22 acid, TMS",1,0.845424638,0.789143856,0.495244546,0.661630866,1,0.492427573,0.858197956,0.956645728,0.805449599,0.54227229,0.644864749,0.767073817,0.751976578,0.793812588,0.826285907,0.834038197,0.864135351,0.734294279,0.796291913,0.745914683,0.725561238,0.470811534,0.527319718,0.397869071,0.613606569,0.685876752
d-C6diacid,1,0.555093008,0.564512929,0.504439495,0.454203156,0.492427573,1,0.550279396,0.520855699,0.576134266,0.534683369,0.452341538,0.620129778,0.595864217,0.607071892,0.578802304,0.619749856,0.591340206,0.53428828,0.598259368,0.551276613,0.54681678,0.233994918,0.204094833,0.421437235,0.764437459,0.531750988
d-cholestane,1,0.944607928,0.927107929,0.568143896,0.813428099,0.858197956,0.550279396,1,0.883657833,0.919635978,0.601212456,0.671718666,0.845520068,0.922288497,0.911044675,0.961528708,0.933917885,0.941924547,0.831428342,0.862021312,0.816808894,0.814384956,0.606984029,0.477650837,0.670408305,0.695398363,0.841791839
d-cholesterol,1,0.840799518,0.7684642,0.545514259,0.692647693,0.956645728,0.520855699,0.883657833,1,0.799404903,0.528704385,0.663736193,0.794273701,0.759888029,0.799015838,0.830851454,0.844646576,0.853062387,0.769328835,0.833387367,0.788729479,0.777259152,0.478388698,0.396309835,0.399992715,0.641215348,0.796130569
d-pyrene,1,0.973087795,0.977833415,0.512317537,0.798054253,0.805449599,0.576134266,0.919635978,0.799404903,1,0.639998453,0.669513514,0.858349099,0.953775862,0.969159887,0.958767568,0.962997636,0.896785721,0.80059154,0.877591891,0.782944417,0.807182286,0.54857932,0.488295756,0.638655157,0.668912424,0.7664888
dC14,1,0.634475588,0.660513908,0.567466379,0.451474945,0.54227229,0.534683369,0.601212456,0.528704385,0.639998453,1,0.737729751,0.639810674,0.567555073,0.596864263,0.583950045,0.581818357,0.519599303,0.434410952,0.485170891,0.401727149,0.3944972,0.387181575,0.560623256,0.453222083,0.552523927,0.554003207
dC16,1,0.64274134,0.633278263,0.822903128,0.729658121,0.644864749,0.452341538,0.671718666,0.663736193,0.669513514,0.737729751,1,0.893602692,0.70472079,0.734886646,0.709892725,0.704949293,0.615856203,0.48513035,0.635713747,0.504433447,0.547257474,0.077177716,0.386341851,0.3645446,0.722514701,0.487106633
dC18,1,0.818987233,0.823618866,0.774352608,0.878481117,0.767073817,0.620129778,0.845520068,0.794273701,0.858349099,0.639810674,0.893602692,1,0.914730461,0.9279544,0.908420888,0.904073374,0.820052381,0.697468756,0.845925936,0.719750259,0.766090471,0.149718698,0.36677207,0.570202237,0.822810371,0.623829554
dC20,1,0.915742732,0.941541082,0.607035789,0.888125949,0.751976578,0.595864217,0.922288497,0.759888029,0.953775862,0.567555073,0.70472079,0.914730461,1,0.980045874,0.980589261,0.962473837,0.913478938,0.803954048,0.894767105,0.806377702,0.840500348,0.361578211,0.407502819,0.646608647,0.747423931,0.703875965
dC22,1,0.933051947,0.945619328,0.593278893,0.864911855,0.793812588,0.607071892,0.911044675,0.799015838,0.969159887,0.596864263,0.734886646,0.9279544,0.980045874,1,0.978980135,0.971954342,0.906715076,0.77587021,0.895944274,0.780740592,0.818711153,0.467472367,0.422191911,0.645836973,0.734628859,0.696543557
dC24,1,0.947955504,0.955534985,0.592406355,0.864960315,0.826285907,0.578802304,0.961528708,0.830851454,0.958767568,0.583950045,0.709892725,0.908420888,0.980589261,0.978980135,1,0.969348748,0.939199753,0.810184303,0.897101976,0.812234215,0.836962986,0.580002818,0.461394763,0.675799081,0.727731025,0.737236367
dC26,1,0.947974386,0.939436332,0.593230196,0.838468352,0.834038197,0.619749856,0.933917885,0.844646576,0.962997636,0.581818357,0.704949293,0.904073374,0.962473837,0.971954342,0.969348748,1,0.924151522,0.831453715,0.922147064,0.834474689,0.8663181,0.497528493,0.473514572,0.625095532,0.758173601,0.759690302
dC28,1,0.893684464,0.899401691,0.498148734,0.792659946,0.864135351,0.591340206,0.941924547,0.853062387,0.896785721,0.519599303,0.615856203,0.820052381,0.913478938,0.906715076,0.939199753,0.924151522,1,0.862204888,0.913748008,0.880626349,0.862030411,0.390801085,0.487131548,0.554732386,0.690078447,0.739551571
dC30,1,0.823700789,0.783485113,0.491332392,0.712678789,0.734294279,0.53428828,0.831428342,0.769328835,0.80059154,0.434410952,0.48513035,0.697468756,0.803954048,0.77587021,0.810184303,0.831453715,0.862204888,1,0.941223739,0.966320138,0.955573548,0.229429153,0.510380585,0.360765192,0.653973578,0.711830401
dC32,1,0.862001214,0.840562727,0.567577101,0.804946886,0.796291913,0.598259368,0.862021312,0.833387367,0.877591891,0.485170891,0.635713747,0.845925936,0.894767105,0.895944274,0.897101976,0.922147064,0.913748008,0.941223739,1,0.959155512,0.96942821,0.22548945,0.447619167,0.395618539,0.720934022,0.705728733
dC34,1,0.784190394,0.763583646,0.477051874,0.722835299,0.745914683,0.551276613,0.816808894,0.788729479,0.782944417,0.401727149,0.504433447,0.719750259,0.806377702,0.780740592,0.812234215,0.834474689,0.880626349,0.966320138,0.959155512,1,0.979571807,0.244267713,0.438122592,0.299126255,0.661187541,0.694412233
dC36,1,0.805460134,0.774767448,0.549386996,0.767592798,0.725561238,0.54681678,0.814384956,0.777259152,0.807182286,0.3944972,0.547257474,0.766090471,0.840500348,0.818711153,0.836962986,0.8663181,0.862030411,0.955573548,0.96942821,0.979571807,1,0.192313749,0.423320291,0.280830661,0.703786424,0.684631333
dibenzanthracene-d,NA,0.689298011,0.548722448,0.02332016,-0.084543757,0.470811534,0.233994918,0.606984029,0.478388698,0.54857932,0.387181575,0.077177716,0.149718698,0.361578211,0.467472367,0.580002818,0.497528493,0.390801085,0.229429153,0.22548945,0.244267713,0.192313749,1,0.220226156,0.128095178,0.141957599,0.617435973
glucose-13C6,1,0.542841933,0.523044055,0.284987864,0.335221931,0.527319718,0.204094833,0.477650837,0.396309835,0.488295756,0.560623256,0.386341851,0.36677207,0.407502819,0.422191911,0.461394763,0.473514572,0.487131548,0.510380585,0.447619167,0.438122592,0.423320291,0.220226156,1,0.251229209,0.351942349,0.23495274
methoxyphenol-d3,NA,0.639689521,0.657200797,0.322843867,0.408234943,0.397869071,0.421437235,0.670408305,0.399992715,0.638655157,0.453222083,0.3645446,0.570202237,0.646608647,0.645836973,0.675799081,0.625095532,0.554732386,0.360765192,0.395618539,0.299126255,0.280830661,0.128095178,0.251229209,1,0.424400864,0.52769016
pentaerythritol-C13,1,0.665246761,0.657547477,0.849747903,0.78620258,0.613606569,0.764437459,0.695398363,0.641215348,0.668912424,0.552523927,0.722514701,0.822810371,0.747423931,0.734628859,0.727731025,0.758173601,0.690078447,0.653973578,0.720934022,0.661187541,0.703786424,0.141957599,0.351942349,0.424400864,1,0.530212418
