Compound.Name,cumsum_ISnormnorm,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,A1,BB1,BB2,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT2,SQT3,SQT4,SQT5,man_cat1,man_cat1_alternate,man_cat1_certainty,man_cat1_notes
Blob with BlobID = 7,0.001551955,-0.475282151,-0.546432721,-0.207689201,-0.729697242,-0.63976495,-0.823738065,NA,NA,NA,NA,NA,NA,mannosan,329,493,1673.170732,,"Bis(tert-butyldimethylsilyl) 2,3-bis((tert-butyldimethylsilyl)thio)succinate",608,698,,C28H62O4S2Si4,NA,NA,0,-0.771455103,NA,1,-0.768642901,-0.611423326,-0.825884796,-0.825473151,-0.984475074,-0.447748507,-0.773114315,0,NA,0,-0.848644286,0.018956865,-0.150349255,NA,,,not in iop1,,
Blob with BlobID = 614,0.00020817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tridecanal,188,370,1560.43956,1537,2-(But-2-enylideneamino)-propionitrile,726,734,,C7H10N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,
Blob with BlobID = 610,0.000156862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-5-dimethoxyphenol,261,261,1524.175824,1525,"3H,4H-Pyrrolo[1,2-a]pyrazine",741,764,,C7H8N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,
Blob with BlobID = 607,0.00013938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tridecanal,301,326,1540.659341,1537,"3H,4H-Pyrrolo[1,2-a]pyrazine",743,766,,C7H8N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,
Blob with BlobID = 597,0.000168062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bisabolol,362,362,1774.390244,1770,"1,2,3,4-Tetrahydro-pyridine-2,5-dicarbonitrile",636,647,,C7H7N3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,
Blob with BlobID = 592,0.000514738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,verbenone (-),0,480,1582.417582,1232,"1-Cyclopentene-1-carbonitrile, 2-amino-",695,700,,C6H8N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,
Blob with BlobID = 587,0.000388155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tridecanal,182,394,1563.736264,1537,2-(But-2-enylideneamino)-propionitrile,713,723,,C7H10N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,
Blob with BlobID = 584,0.007374608,0.333753099,0.367790717,0.382565204,0.108325558,0.391929903,-0.02355342,0.433958268,0.024167712,0.191444729,0.327102141,0.413155967,0.294264689,C9 Diacid (azelaic acid),881,889,1821.621622,1822,"Azelaic acid, 2TMS derivative",903,909,,C15H32O4Si2,NA,NA,0.347809426,0.378429582,NA,0.138300431,0.282035382,0.526999882,0.321734535,0.354586218,0.327392657,0.54106816,0.631235463,0.216070742,NA,0.169091755,0.559584097,0.306628845,0.498046393,NA,,H,not in iop1,,
Blob with BlobID = 581,0.000115613,NA,NA,NA,NA,NA,NA,-0.333014732,-0.690853216,-0.51256488,-0.838250607,-0.819190812,-0.898493774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
Blob with BlobID = 580,0.000614772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p-anisic acid (4-methozybenzoic acid),229,259,1552.747253,1544,3-Hexenedinitrile,615,771,,C6H6N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
