PMF_factor_1,PMF_factor_2,PMF_factor_3,PMF_factor_4,PMF_factor_5,PMF_factor_6,PMF_total,time_start,time_end,time_start_num
1.2339008,2.4863851,1.8136404,0.36049935,0.24577335,0.10187773,6.242076673,01:10.7,03:00.4,41875.50
1.1833802,2.6487479,1.8253635,0.65208781,0.20832705,0.092400573,6.61030712,09:10.7,11:00.4,41875.51
1.3507875,2.9939699,1.5940343,0.41654459,0.28526086,0.13473181,6.775329009,41:10.7,43:00.3,41875.53
1.4437733,3.3680725,1.3907738,0.013031841,0.46475443,0.08230415,6.762709976,49:10.5,51:00.5,41875.53
1.4493186,2.9723556,1.6961772,0.57941502,0.26192829,0.15775101,7.116945818,57:10.7,59:00.7,41875.54
1.4733704,3.2453489,1.95149,0.17048131,0.3829228,0.15008302,7.373696536,13:10.6,15:00.6,41875.55
1.1071616,2.9318326,1.396561,1.1786134,0.093660891,0.16685039,6.874679923,21:10.9,23:00.5,41875.56
1.3401361,3.4599223,1.4848043,0.62890112,0.29640642,0.13631457,7.346484751,29:10.4,31:00.6,41875.56
1.3073007,3.6141758,1.6999301,0.67194414,0.34780771,0.2106698,7.851828203,37:10.6,39:00.7,41875.57
1.229996,3.617177,1.70989,1.0492002,0.22942901,0.15350828,7.989200443,45:10.7,47:00.4,41875.57
1.5615283,3.9336169,2.1004364,4.13E-06,0.52133024,0.27970806,8.39662408,53:10.4,55:00.6,41875.58
1.4589071,4.2185826,2.30511,0.36923814,0.54563683,0.30283758,9.200312287,01:10.8,03:00.5,41875.58
1.3044147,3.8919899,2.5381999,1.106058,0.31943429,0.30874929,9.468846172,09:10.6,11:00.8,41875.59
1.5133344,4.2747416,2.4434357,0.63781673,0.50136799,0.34788927,9.7185857,17:10.5,19:00.7,41875.60
1.4996828,4.4338102,2.4476314,0.40523258,0.59910244,0.29790914,9.683368534,25:10.6,27:00.4,41875.60
1.5868458,4.8649902,3.4758584,0.516114,0.79866928,0.48534772,11.72782543,33:10.9,35:00.7,41875.61
1.3088007,4.7189326,3.14275,0.97074127,0.58039784,0.43632257,11.15794504,13:10.7,15:00.8,41875.63
1.5053387,5.2343287,3.0193999,0.38497475,0.72375017,0.48604658,11.3538388,21:11.0,23:00.7,41875.64
1.4222996,5.3397255,2.9606102,0.93265498,0.67106789,0.47116131,11.79751945,29:10.6,31:00.3,41875.65
1.3838898,5.2062826,2.6856699,1.1189538,0.59093726,0.43382445,11.41955784,37:10.5,39:00.2,41875.65
1.5512058,5.3023586,2.8388643,0.16930786,0.84140897,0.6625793,11.36572483,45:11.1,47:00.8,41875.66
1.3527331,4.927774,3.3328798,1.5309299,0.55835253,0.49657214,12.19924146,53:10.5,55:00.2,41875.66
1.0981404,5.2212071,3.2004285,2.1266515,0.51356876,0.41287014,12.57286641,01:10.8,03:01.0,41875.67
1.2610987,5.3420601,3.2208202,1.4153032,0.59473127,0.54309529,12.37710881,09:10.5,11:01.1,41875.67
1.5310543,5.1610513,3.1817887,0.76781613,0.73027158,0.75438917,12.12637109,17:10.8,19:01.0,41875.68
1.1328903,5.3287745,3.1436698,2.3702586,0.46045202,0.59004802,13.02609324,25:10.4,27:00.4,41875.68
1.5600801,5.8753872,3.1097729,0.67789561,0.86604649,0.69517499,12.78435725,33:10.2,35:00.3,41875.69
1.4181508,5.361587,3.2077916,1.226452,0.69401956,0.61058456,12.5185855,41:10.3,43:00.4,41875.70
1.5592757,5.5493431,3.1159585,0.63503671,0.82340938,0.72068387,12.40370727,49:10.9,51:00.7,41875.70
1.1667119,5.1587601,3.0381129,1.6611444,0.47162202,0.63810802,12.13445929,57:10.2,59:00.4,41875.71
1.3611277,5.6270242,3.1223772,1.0838588,0.76363558,0.69634616,12.65436965,05:10.4,07:01.0,41875.71
1.0373168,5.7935557,2.6884172,2.1506658,0.55901313,0.66192156,12.89089018,13:10.2,15:00.9,41875.72
1.58531,5.7179403,3.1400442,0.69919658,0.99792242,0.90449715,13.04491067,21:11.1,23:01.3,41875.72
1.2966949,5.4149857,3.1170971,1.9342529,0.85671341,0.8581714,13.47791535,29:10.7,31:00.9,41875.73
1.4998928,5.800621,2.7801514,1.2814453,1.0426118,0.84284908,13.24757141,37:10.6,39:00.8,41875.73
1.2558413,5.53267,2.851083,2.3854373,0.84743655,0.71363688,13.58610499,45:10.6,47:00.9,41875.74
1.3030834,6.2248583,2.4857013,1.6323071,0.91848695,0.81647271,13.38090974,53:10.5,55:00.8,41875.75
1.45389,5.9907298,2.5997286,1.4024376,0.82949954,0.9511584,13.22744387,01:10.7,03:00.9,41875.75
1.3732833,5.9267073,2.67242,1.4003506,0.70689803,0.86331409,12.94297326,09:10.5,11:00.9,41875.76
1.5516,5.4765716,3.2717402,1.7954428,1.7295914,1.4904186,15.31536448,40:01.2,43:01.3,41875.78
1.4983944,5.6520572,2.9903243,1.2084944,1.2592547,1.1196656,13.72819054,48:01.3,51:01.0,41875.78
1.6193615,5.6545,3.07075,1.45991,1.6834986,1.2878336,14.77585375,56:01.2,59:01.0,41875.79
1.3525076,5.0382299,3.1965771,2.057843,1.0360094,1.0558796,13.7370466,04:01.6,07:01.4,41875.79
1.5855443,5.3908315,3.2703528,0.9320789,1.3795794,1.0953711,13.65375811,12:01.6,15:01.4,41875.80
1.4951514,5.1874099,3.2035313,1.2329417,1.0120915,0.90627307,13.03739887,20:01.2,23:01.5,41875.81
1.4686157,5.4441342,2.931663,1.1461645,1.0524119,0.81186795,12.85485733,28:01.1,31:01.0,41875.81
1.167237,5.0937099,3.0460813,1.9576557,0.71648359,0.75158334,12.73275089,36:01.1,39:01.0,41875.82
1.4469014,5.1878672,3.1156914,1.3881255,1.1836405,0.97384256,13.29606861,44:01.6,47:01.5,41875.82
1.53754,5.0496645,3.237587,1.4994657,1.1651568,1.0461937,13.5356077,52:01.4,55:00.9,41875.83
1.6621928,5.2679925,3.3722601,1.0398637,1.3493998,1.1428039,13.83451283,00:01.5,03:01.2,41875.83
1.6812872,5.6787014,3.0174572,0.6146487,1.2382562,0.99643952,13.22679025,08:01.1,11:01.0,41875.84
1.386072,4.7536631,3.1345813,1.7842371,1.0273587,0.92439455,13.01030678,16:01.4,19:01.2,41875.84
1.4547372,4.8181801,3.1484501,1.6240187,1.2261181,1.1028547,13.37435889,24:01.5,27:01.0,41875.85
1.45529,5.0255246,2.9922388,1.3828841,0.99891442,0.98037302,12.83522493,32:01.3,35:01.2,41875.86
1.2830958,4.8443971,3.0075843,2.0539086,0.74704403,0.71167386,12.64770371,40:01.2,43:01.1,41875.86
1.5277672,5.0344744,2.895093,0.89482105,0.78419346,0.89811987,12.03446889,48:01.3,51:01.0,41875.87
1.3855805,4.7092729,2.9187942,1.3229828,0.99248111,0.83663917,12.16575062,04:01.3,07:01.2,41875.88
1.5544986,4.898603,2.9490926,0.75127482,1.0794984,0.72711951,11.96008688,12:01.6,15:01.6,41875.88
1.3574913,4.3076301,3.0903115,1.7851801,0.70065415,0.66512299,11.90639007,20:01.5,23:01.1,41875.89
1.5940642,4.6457829,2.8655729,0.66076529,0.97507143,0.77388161,11.51513845,28:01.5,31:01.1,41875.89
1.4937658,4.4957099,2.9749672,0.93504661,1.0461472,0.72438741,11.67002422,36:01.3,39:01.0,41875.90
1.5283899,4.4366159,2.9479187,0.95413977,1.0323733,0.78928596,11.68872356,44:01.3,47:01.5,41875.91
1.4770014,4.3585157,2.93909,1.0707041,0.9095121,0.74260116,11.49742454,52:01.2,55:01.3,41875.91
1.6210513,4.6143012,2.8758485,0.58141804,0.98138946,0.7185483,11.39255685,00:01.6,03:01.2,41875.92
1.5985,4.3780313,2.9691913,0.69761586,0.95643872,0.7976889,11.39746606,08:01.6,11:01.2,41875.92
1.6347129,4.1301985,2.97808,0.602808,0.95441467,0.79618359,11.0963977,16:01.6,19:01.7,41875.93
1.5625186,4.4032831,2.8628914,0.53587657,1.0024019,0.76592404,11.13289571,24:01.5,27:01.2,41875.93
1.6810886,4.4486499,2.6852987,0.54866517,1.025982,0.61084372,11.00052804,32:01.5,35:01.1,41875.94
1.4134839,3.98739,2.7174129,1.45818,0.79136753,0.52822047,10.8960548,40:01.5,43:01.2,41875.94
1.6797415,3.9660287,2.7077529,1.2815593,1.1107848,0.61945105,11.3653183,48:01.6,51:01.3,41875.95
1.5164714,4.0143242,2.7273214,1.5459386,1.0109695,0.58175355,11.39677864,56:01.5,59:01.2,41875.96
1.7144473,4.0774198,2.80021,0.92896318,1.1351043,0.66746181,11.32360631,04:01.4,07:01.6,41875.96
1.5956544,3.9302628,2.8193171,1.0924678,1.0237985,0.61228341,11.07378393,12:01.3,15:01.6,41875.97
1.5031613,3.9595745,2.7816615,0.83065563,0.93222058,0.6031304,10.6104039,20:01.8,23:01.6,41875.97
