BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
2859,1129_1334_blob_1229,,,,true,1300.0,1302.0,104,amz_lib_1129_1334,0,250,265,73.04000091552734,,2859,28.222494933566047,0.49300459493591625,2.446601922667469,42.21785715802798,,,0.0,0.0,1.0
2109,1206_0924_blob_916,,,,false,2705.66037735849,2701.0,155,amz_lib_1206_0924,0,594,615,93.37000274658203,,0,67.16080274706583,1.2073581916797949,5.5138159582566,80.04860424637081,,,0.0,0.0,0.0
2710,1129_1334_blob_1038,,,,false,,1302.0,55,amz_lib_1129_1334,0,464,542,20.8700008392334,,0,23.192003490204634,1.6802401500877147,3.2643449066672474,80.13207433829484,,,0.0,0.0,0.0
2153,1206_0924_blob_729,,,,false,3225.8823529411775,3221.0,136,amz_lib_1206_0924,0,522,563,96.9800033569336,,0,76.76097725729754,1.1469902820958051,5.672325989206001,80.13449498683985,,,0.0,0.0,0.0
2810,1128_1901_blob_1028,,,,false,2792.452830188679,2793.0,118,amz_lib_1128_1901,0,429,554,77.62999725341797,,0,68.92723485694847,1.760730696199701,2.636051658744691,80.14646238650948,,,0.0,0.0,0.0
2528,1130_1618_blob_580,,,,false,2985.567010309278,,142,amz_fb_trimmed_esrem,0,329,385,50.25,,0,72.5369004727956,1.4991364213357454,3.986112405982567,80.16585405799424,,,0.0,0.0,0.0
2823,1128_1901_blob_1240,,,,false,2509.734513274336,2504.0,191,amz_lib_1128_1901,0,473,521,97.19000244140625,,0,63.05192805668666,1.5997496039757282,2.5532371061854064,80.23104773399791,,,0.0,0.0,0.0
1314,1128_1901_fb_add_blob_7,,,,false,2281.967213114754,2279.0,13,amz_lib_1128_1901_fb_add,0,742,778,98.05000305175781,,0,57.90623451920247,0.4628206401439214,10.155180747970007,80.24503794561787,,,0.0,0.0,0.0
2797,1129_1334_blob_1462,,,,false,1541.4364640883978,1545.0,146,amz_lib_1129_1334,0,566,597,62.599998474121094,,0,36.901052690815504,0.9658865533438359,2.647033740126062,80.25460875953013,,,0.0,0.0,0.0
2837,1130_1618_blob_580,,,,false,2423.0088495575224,,142,amz_fb_trimmed_esrem,0,215,237,68.58999633789062,,0,61.17029385268125,0.5734951410479026,2.441908946755575,80.25992336712898,,,0.0,0.0,0.0
1815,1206_0924_blob_479,,,,false,2927.835051546392,2927.0,94,amz_lib_1206_0924,0,504,523,98.05000305175781,,0,71.46168092764965,0.9658865533438359,6.908841982614831,80.32110151903044,,,0.0,0.0,0.0
2259,1221_0832_blob_924,,,,false,3348.2352941176478,3345.0,172,amz_lib_1221_0832,0,380,454,70.5199966430664,,0,78.75781355542573,1.519259057863742,5.10186838547088,80.44611461764669,,,0.0,0.0,0.0
