BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
1,1202_1412_blob_1,,,,false,1729.8442210655337,1727.0,1,amz_lib_1202_1412,0,946,946,77.19000244140625,,0,43.03290249370888,0.8714603071532414,9009.28600062296,280106.78148174216,,,0.0,0.0,0.0
2,1130_1618_blob_685,,,,false,1650.353211517049,1646.0,127,amz_fb_trimmed_esrem,0,816,821,79.88999938964844,,0,40.547905046970186,1.0317288693883202,5933.190842911601,119975.29968217715,,,0.0,0.0,0.0
3,1211_0119_blob_617,,,,false,1764.086502101804,1762.0,98,amz_fb_trimmed_esrem,0,870,870,92.7300033569336,,0,44.10336293230401,0.9616113734104733,3556.420523755136,67508.951639401,,,0.0,0.0,0.0
4,1130_1618_blob_2,,,,false,1287.8894467319458,1288.0,148,amz_fb_trimmed_esrem,0,968,968,98.97000122070312,,0,27.664149053878784,1.3923331344172478,3350.8638320975006,55954.50036036086,,,0.0,0.0,0.0
6,dC20,dC20,,,true,2003.0427565482107,2000.0,14,amzi0503_b,0,922,922,98.94000244140625,,6,50.94666359332289,0.5409063975433912,2414.5179918896174,36064.5337809083,,,0.0,0.0,1.0
9,dC22,dC22,,,true,2203.924459071216,2200.0,15,amzi0503_b,0,906,906,98.79000091552734,,9,56.10781213654941,0.5409063975433912,1962.1438352428377,29724.34694082065,,,0.0,0.0,1.0
32,Blob with BlobID = 561,,,,false,1731.067159673972,1705.0,12,amz_add_misc,0,815,831,48.16999816894531,,0,43.07113322365871,1.212031001902784,436.1435825987719,29407.88957892671,,,0.0,0.0,0.0
10,dC24,dC24,,,true,2404.879933912549,2400.0,16,amzi0503_b,0,943,943,98.4800033569336,,10,60.84842265032785,0.5709567529624685,1902.1438548227306,29226.292322120848,,,0.0,0.0,1.0
5,"d-C15 alcohol, TMS",,,,false,1871.3261131822505,1869.0,4,amzi0503_b,0,925,925,98.91999816894531,,0,47.23828278818975,0.5409063975433912,2935.4748697390314,27888.12548735039,,,0.0,0.0,0.0
8,pentaerythritol-C13,pentaerythritol-C13,,,true,1525.664896854395,1525.0,26,amzi0503_b,0,948,948,98.62999725341797,,8,36.380755482439135,0.5208728272640063,1979.6182561409078,21104.334991602576,,,0.0,0.0,1.0
11,1128_1901_fb_add_blob_1,,,,false,2081.781885322619,2079.0,14,amz_lib_1128_1901_fb_add,0,897,897,98.79000091552734,,0,52.97289228066367,0.6911581746387777,1695.4984553791583,21089.366248145587,,,0.0,0.0,0.0
14,dC18,dC18,,,true,1802.2135556080796,1800.0,13,amzi0503_b,0,892,892,96.77999877929688,,14,45.28851556074862,0.5208728272640063,1477.1087973904796,20588.765044208893,,,0.0,0.0,1.0
12,dC26,dC26,,,true,2605.852572541431,2600.0,17,amzi0503_b,0,909,909,98.22000122070312,,12,65.20672586460803,0.5809735381021609,1651.3567640562542,20105.43735950522,,,0.0,0.0,1.0
20,1221_0832_blob_25,,,,false,1871.3261131822505,1870.0,7,amz_lib_1221_0832,0,866,866,96.7699966430664,,0,47.23828278818975,0.6310574638006231,767.3423620318063,19273.505438794724,,,0.0,0.0,0.0
