assigned_cluster_2,anthro_influenced_2,influence_type_2,notes_2
1,FALSE,,some anthro influence and IEPOX but none strong
2,TRUE,BB,"not strong anywhere, but some LOBBOA and IEPOX"
3,TRUE,UP,strogn urban plume corr and strong IEPOX
4,TRUE,BB,very strong BB corr- the strongest factor
5,FALSE,,only correlation is with MOBBOA but its really not strong
6,FALSE,,"no strong corr with anything, a tiny bit with IEPOX"
7,FALSE,,Strong IEPOX and LOOOA connections
8,FALSE,,very strong IEPOX connections
9,FALSE,,decent MOOOA correlation
10,TRUE,BB,only correlations are ams HC and BB tracer
