Compound.Name,cumsum_ISnormnorm,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,A1,BB1,BB2,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT2,SQT3,SQT4,SQT5,man_cat2,man_cat2_alternate,man_cat2_certainty,man_cat2_notes,man_cat1,man_cat1_alternate,man_cat1_certainty,man_cat1_notes
Blob with BlobID = 7,0.001551955,-0.475282151,-0.546432721,-0.207689201,-0.729697242,-0.63976495,-0.823738065,NA,NA,NA,NA,NA,NA,mannosan,329,493,1673.170732,,"Bis(tert-butyldimethylsilyl) 2,3-bis((tert-butyldimethylsilyl)thio)succinate",608,698,,C28H62O4S2Si4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,not in IOP2,NA,,,not in iop1
Blob with BlobID = 614,0.00020817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tridecanal,188,370,1560.43956,1537,2-(But-2-enylideneamino)-propionitrile,726,734,,C7H10N2,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
Blob with BlobID = 610,0.000156862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-5-dimethoxyphenol,261,261,1524.175824,1525,"3H,4H-Pyrrolo[1,2-a]pyrazine",741,764,,C7H8N2,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
Blob with BlobID = 607,0.00013938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tridecanal,301,326,1540.659341,1537,"3H,4H-Pyrrolo[1,2-a]pyrazine",743,766,,C7H8N2,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
Blob with BlobID = 597,0.000168062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bisabolol,362,362,1774.390244,1770,"1,2,3,4-Tetrahydro-pyridine-2,5-dicarbonitrile",636,647,,C7H7N3,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
Blob with BlobID = 592,0.000514738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,verbenone (-),0,480,1582.417582,1232,"1-Cyclopentene-1-carbonitrile, 2-amino-",695,700,,C6H8N2,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
Blob with BlobID = 587,0.000388155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tridecanal,182,394,1563.736264,1537,2-(But-2-enylideneamino)-propionitrile,713,723,,C7H10N2,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
Blob with BlobID = 584,0.007374608,0.333753099,0.367790717,0.382565204,0.108325558,0.391929903,-0.02355342,0.433958268,0.024167712,0.191444729,0.327102141,0.413155967,0.294264689,C9 Diacid (azelaic acid),881,889,1821.621622,1822,"Azelaic acid, 2TMS derivative",903,909,,C15H32O4Si2,NA,NA,NA,NA,NA,0.130287843,0.580359082,NA,0.543230159,0.485839141,0.771424786,0.395826268,0.489225224,0.369268841,0.540203587,0.490757216,0.246643985,0.596678783,NA,0.728272694,0.598391505,0.678589289,BB,SQ,L,"need to get chem info, not a great tracer",NA,,H,not in iop1
Blob with BlobID = 581,0.000115613,NA,NA,NA,NA,NA,NA,-0.333014732,-0.690853216,-0.51256488,-0.838250607,-0.819190812,-0.898493774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914816162,-0.983317759,NA,-0.967570489,-1,-0.888059686,-0.88672311,-0.917274648,-0.022478474,-0.945380124,-0.764132947,-0.224068336,0,NA,-1,0,-0.983868303,NYC,,,,,,,
Blob with BlobID = 580,0.000614772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p-anisic acid (4-methozybenzoic acid),229,259,1552.747253,1544,3-Hexenedinitrile,615,771,,C6H6N2,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
Blob with BlobID = 572,0.000680594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,benzophenone,221,356,1678.04878,1664,"Benzenamine, 4-(1H-tetrazol-1-yl)-",662,709,,C7H7N5,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
Blob with BlobID = 562,0.00418076,NA,NA,NA,NA,NA,NA,-0.117129354,-0.269848759,0.029172075,0.41513154,0.646311801,0.358838161,levoglucosan,523,537,1732.926829,1726,"√ü-D-Galactopyranoside, methyl 2,4-bis-O-(trimethylsilyl)-, diacetate",647,778,,C17H34O8Si2,NA,NA,NA,NA,NA,-0.111133945,0.745830536,NA,0.987188474,0.83260653,0.750470211,0.015906764,0.037365928,-0.150411714,-0.070105399,-0.044518724,-0.144474967,0.235480497,NA,-0.338295934,0.130781638,-0.105799552,BB,,H,,NA,,H,not in iop1
Blob with BlobID = 561,0.001241235,NA,NA,NA,NA,NA,NA,-0.144733976,-0.37790594,0.214414095,0.518371319,0.670613674,0.38770905,mannosan,833,845,1706.097561,1706,"Levoglucosan, 3TMS derivative",831,834,,C15H34O5Si3,NA,NA,NA,NA,NA,0.349829903,0.810578503,NA,0.995492399,0.894257574,0.856119967,0.064465238,0.128556996,0.057644892,0.053893933,0.36831515,0.452410808,0.287411964,NA,0,0.39945724,0.155965184,BB,,H,,NA,,,not in IOP1
Blob with BlobID = 547,0.006135075,NA,NA,NA,NA,NA,NA,0.119684916,-0.213971868,0.123630127,0.676743647,0.856411851,0.659803701,C7 acid,402,494,1801.351351,,"D-Ribo-Hexonic acid, 3-deoxy-2,5,6-tris-O-(trimethylsilyl)-, lactone",685,831,,C15H34O5Si3,NA,NA,NA,NA,NA,-0.048633655,0.946150996,NA,0.761648479,0.773502727,0.869739188,0.209468348,0.250059272,0.166597321,0.041486519,0.157800057,0.000152888,0.358164471,NA,0.856319435,0.322348589,0.429129004,BB,,H,high corr and factor 5,NA,,H,not in iop1
Blob with BlobID = 4,0.000598724,-0.269332847,-0.86106189,-0.844775451,0.331741719,-0.534436227,0.51833966,NA,NA,NA,NA,NA,NA,glyceric acid,594,606,1303.061224,1345,"Hypoxanthine, 2TBDMS derivative",693,740,,C17H32N4OSi2,NA,NA,NA,NA,NA,1,-1,NA,-1,-1,-1,1,1,0,1,1,0,0,NA,0,0,1,NYC,,,,,,,
Blob with BlobID = 334,0.000715814,NA,NA,NA,NA,NA,NA,0.210026457,0.199543516,0.243469345,-0.128067926,-0.16958657,-0.280329824,mannosan,371,614,1726.380368,1706,"[2-(2-Ethoxyethoxy)ethoxy]acetic acid, TBDMS derivative",722,739,,C14H30O5Si,NA,NA,NA,NA,NA,0.329429714,0.021685198,NA,0.124037649,0.287934526,0.374593326,0.066281719,0.191606067,0.33976705,0.292946415,0.219931833,0.362700915,0.771954525,NA,0.826565637,0.378336708,0.590212405,NYC,,,,,,,
1221_2326_blob_902,2.38E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,422,472,1651.219512,NA,"6-Ethyl-3-decanol, TMS derivative",614,671,NA,C15H34OSi,258,apin_ox_S_blob_660,561,600,1646,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,A,,,,,,,
1221_2326_blob_887,7.16E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,555,587,2784.90566,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",718,813,NA,C14H29FO2Si,276,bcp_ox_L_blob_18,526,567,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
1221_2326_blob_871,1.67E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,461,555,1902.013423,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",626,641,NA,C13H26BNO6Si,331,limonox_S_blob_725,602,643,1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_2326_blob_869,8.13E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,575,622,2151.111111,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",673,781,NA,C14H29FO2Si,276,bcp_ox_L_blob_18,547,594,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
1221_2326_blob_864,9.33E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C18,451,499,1826.845638,1830,"2'-Acetonaphthone, 1',2'a,3',4',4'a,5',6',7',8',8'aa-decahydro-5'ﬂ-hydroxy-4'aﬂ,8'ﬂ-dimethyl-, (.+-.)-",690,756,NA,C14H24O2,224,bcp_ox_L_blob_649,589,626,1839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_2326_blob_862,0.000115689,0.427261345,0.293305564,0.548000628,0.610098496,0.399929538,0.347375155,NA,NA,NA,NA,NA,NA,farnesol,508,622,1846.979866,1832,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",627,651,NA,C18H34OSi,294,limonox_L_blob_611,634,680,1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_2326_blob_861,1.08E-05,0.67651785,0.983685921,-0.834787451,0.557141816,-0.159279468,-0.034564037,NA,NA,NA,NA,NA,NA,"beta-nocaryophyllinic acid, TMS",397,498,2112.592593,2127,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",632,654,NA,C18H34OSi,294,limonox_S_blob_905,576,631,2120,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
