"","Compound.Name","LRI_avg_all","Retention.II..sec."
"1","4-methoxy-benzaldehyde",1290.35225351789,1.540659628
"2","chrysene-d",2523.2916518849,1.312045618
"3","d-anthraquinone",2013.3662418963,1.461141711
"4","d-C10 acid, TMS",1465.82465856048,0.715661246
"5","d-C15 alcohol, TMS",1869.26585879127,0.536745935
"6","d-C22 acid, TMS",2647.22253667554,0.715661246
"7","d-C6diacid",1524.32361491651,0.993973953
"8","d-cholestane",2914.25131784315,0.84487786
"9","d-cholesterol",3202.59939230134,0.8548176
"10","d-pyrene",2168.13013123682,1.252407181
"11","dC14",1400,0.496986977
"12","dC16",1600,0.506926716
"13","dC18",1800,0.516866456
"14","dC20",2000.02723311547,0.536745935
"15","dC22",2200,0.546685674
"16","dC24",2400.2270463496,0.566565153
"17","dC26",2599.96751137102,0.576504893
"18","dC28",2799.93668658432,0.596384372
"19","dC30",3000,0.616263851
"20","dC32",3200,0.63614333
"21","dC34",3400,0.675902288
"22","dC36",3600,0.755420205
"23","dibenzanthracene-d",3271.43410852713,1.540659628
"24","glucose-13C6",1987.66224559292,1.242467442
"25","methoxyphenol-d3",1254.35837299236,0.805118902
"26","pentaerythritol-C13",1524.68394861515,0.506926716
"27","perylene-d",2960.05885766203,1.471081451
