"","Compound.Name","LRI_avg_all","Retention.II..sec.","relative_LRI","relative_LRI2"
"1","4-methoxy-benzaldehyde",1290.35225351789,1.540659628,0.556390755413311,5.46820557646338
"2","chrysene-d",2523.2916518849,1.312045618,1.0880254941957,4.65679442398028
"3","d-anthraquinone",2013.3662418963,1.461141711,0.868149267921444,5.18597560868483
"4","d-C10 acid, TMS",1465.82465856048,0.715661246,0.632053214040142,2.54006968516211
"5","d-C15 alcohol, TMS",1869.26585879127,0.536745935,0.806014203025347,1.90505226564621
"6","d-C22 acid, TMS",2647.22253667554,0.715661246,1.14146361422821,2.54006968516211
"7","d-C6diacid",1524.32361491651,0.993973953,0.657277549820615,3.52787456351387
"8","d-cholestane",2914.25131784315,0.84487786,1.25660453397775,2.99869337880933
"9","d-cholesterol",3202.59939230134,0.8548176,1.38093818204352,3.03397212611262
"10","d-pyrene",2168.13013123682,1.252407181,0.934882361203617,4.44512195080832
"11","dC14",1400,0.496986977,0.603670087338546,1.76393728353157
"12","dC16",1600,0.506926716,0.689908671244053,1.7992160272856
"13","dC18",1800,0.516866456,0.776147255149559,1.83449477458889
"14","dC20",2000.02723311547,0.536745935,0.862397581781632,1.90505226564621
"15","dC22",2200,0.546685674,0.948624422960572,1.94033100940024
"16","dC24",2400.2270463496,0.566565153,1.03496090764443,2.01088850045756
"17","dC26",2599.96751137102,0.576504893,1.1210875819048,2.04616724776085
"18","dC28",2799.93668658432,0.596384372,1.20731287438054,2.11672473881818
"19","dC30",3000,0.616263851,1.2935787585826,2.1872822298755
"20","dC32",3200,0.63614333,1.37981734248811,2.25783972093282
"21","dC34",3400,0.675902288,1.46605592639361,2.39895470304746
"22","dC36",3600,0.755420205,1.55229451029912,2.68118467082601
"23","dibenzanthracene-d",3271.43410852713,1.540659628,1.41061922429777,5.46820557646338
"24","glucose-13C6",1987.66224559292,1.242467442,0.857065886711865,4.40984320705429
"25","methoxyphenol-d3",1254.35837299236,0.805118902,0.540870448984383,2.85757839669469
"26","pentaerythritol-C13",1524.68394861515,0.506926716,0.657432923160135,1.7992160272856
"27","perylene-d",2960.05885766203,1.471081451,1.27635642080863,5.22125435598812
