Compound.Name,LRI_avg_all,Retention.II..sec.,relative_LRI,relative_LRI2,4-methoxy-benzaldehyde,chrysene-d,d-anthraquinone,"d-C10 acid, TMS","d-C15 alcohol, TMS","d-C22 acid, TMS",d-C6diacid,d-cholestane,d-cholesterol,d-pyrene,dC14,dC16,dC18,dC20,dC22,dC24,dC26,dC28,dC30,dC32,dC34,dC36,dibenzanthracene-d,glucose-13C6,methoxyphenol-d3,pentaerythritol-C13,perylene-d
4-methoxy-benzaldehyde,1290.352254,1.540659628,0.556390755,5.468205576,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
chrysene-d,2523.291652,1.312045618,1.088025494,4.656794424,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
d-anthraquinone,2013.366242,1.461141711,0.868149268,5.185975609,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"d-C10 acid, TMS",1465.824659,0.715661246,0.632053214,2.540069685,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"d-C15 alcohol, TMS",1869.265859,0.536745935,0.806014203,1.905052266,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"d-C22 acid, TMS",2647.222537,0.715661246,1.141463614,2.540069685,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
d-C6diacid,1524.323615,0.993973953,0.65727755,3.527874564,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
d-cholestane,2914.251318,0.84487786,1.256604534,2.998693379,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
d-cholesterol,3202.599392,0.8548176,1.380938182,3.033972126,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
d-pyrene,2168.130131,1.252407181,0.934882361,4.445121951,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC14,1400,0.496986977,0.603670087,1.763937284,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC16,1600,0.506926716,0.689908671,1.799216027,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC18,1800,0.516866456,0.776147255,1.834494775,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC20,2000.027233,0.536745935,0.862397582,1.905052266,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC22,2200,0.546685674,0.948624423,1.940331009,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC24,2400.227046,0.566565153,1.034960908,2.0108885,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC26,2599.967511,0.576504893,1.121087582,2.046167248,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC28,2799.936687,0.596384372,1.207312874,2.116724739,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC30,3000,0.616263851,1.293578759,2.18728223,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC32,3200,0.63614333,1.379817342,2.257839721,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC34,3400,0.675902288,1.466055926,2.398954703,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC36,3600,0.755420205,1.55229451,2.681184671,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dibenzanthracene-d,3271.434109,1.540659628,1.410619224,5.468205576,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
glucose-13C6,1987.662246,1.242467442,0.857065887,4.409843207,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
methoxyphenol-d3,1254.358373,0.805118902,0.540870449,2.857578397,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
pentaerythritol-C13,1524.683949,0.506926716,0.657432923,1.799216027,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
perylene-d,2960.058858,1.471081451,1.276356421,5.221254356,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
