"","4-methoxy-benzaldehyde","chrysene-d","d-anthraquinone","d-C10 acid, TMS","d-C15 alcohol, TMS","d-C22 acid, TMS","d-C6diacid","d-cholestane","d-cholesterol","d-pyrene","dC14","dC16","dC18","dC20","dC22","dC24","dC26","dC28","dC30","dC32","dC34","dC36","dibenzanthracene-d","glucose-13C6","methoxyphenol-d3","pentaerythritol-C13","perylene-d"
"4-methoxy-benzaldehyde",1,0.685341000980077,0.661331937260261,0.699964547198119,0.757794043512611,0.666447511096806,0.352576687241609,0.76577368296364,0.698394056726939,0.709778206898302,0.475051017221155,0.749413410533729,0.831080319770767,0.786088740558804,0.782219420369939,0.796829409618404,0.743206475043022,0.721298886934156,0.55439291221526,0.692010482526995,0.56377164151764,0.618640272222683,-0.101679744409284,0.307189951409471,0.61502901741027,0.595428338235156,0.524825859996158
"chrysene-d",0.685341000980077,1,0.896993749929018,0.152171253723681,0.41915361765769,0.744588538517124,0.185737294557292,0.868445903571828,0.80031401858421,0.896061598225437,0.333298743385818,0.532274239741177,0.524562630526673,0.666830845121451,0.765393066348753,0.827462141350669,0.810637397603738,0.719666375688999,0.690754704239101,0.638353511239933,0.611087306325273,0.571541914758769,0.844440448378314,0.383144917093012,0.464043336660508,0.236032784096216,0.81261916378647
"d-anthraquinone",0.661331937260261,0.896993749929018,1,0.118726223948946,0.484430317635502,0.743118094553998,0.200879811211137,0.852930316222982,0.714311809855213,0.933132759320649,0.301125319522925,0.494615313588319,0.574172271467856,0.77168186310425,0.840386736864499,0.874976431639647,0.837422285297924,0.76631005249587,0.633848522736354,0.542353487714789,0.514522059545864,0.49800084403139,0.74041834976051,0.444727770505465,0.5321993781298,0.309003059142179,0.619336563734458
"d-C10 acid, TMS",0.699964547198119,0.152171253723681,0.118726223948946,1,0.389462569548436,0.350183078573102,0.719949942199818,0.38304000807511,0.400436204328375,0.106384849718702,0.307736156180051,0.367845919018375,0.449738628545311,0.230703494327278,0.281856048630546,0.263256026155631,0.36391504376273,0.323359652226535,0.323401915999043,0.304892263169658,0.171291479732062,0.155967790386574,0.12395497506426,0.126131843563036,0.415025694926435,0.77643807850832,0.230083686518566
"d-C15 alcohol, TMS",0.757794043512611,0.41915361765769,0.484430317635502,0.389462569548436,1,0.495797101927721,0.385329826362868,0.592942101670887,0.493067606633129,0.563158100637035,0.180446376910014,0.480767643006811,0.682132877622426,0.703593976529607,0.692737899848549,0.667400578619544,0.57996709632258,0.525082211504676,0.402924657792423,0.413040886852638,0.287544239453391,0.260754588293372,0.214044008737772,0.0354305776038313,0.00945299272849616,0.520267855791812,0.397973524018387
"d-C22 acid, TMS",0.666447511096806,0.744588538517124,0.743118094553998,0.350183078573102,0.495797101927721,1,0.460021631404234,0.845350716635368,0.883081105930455,0.753677356478074,0.173654208619461,0.364224418276848,0.556044597682126,0.707013498525484,0.761621868313657,0.727132439678267,0.782346237936716,0.816707306302602,0.675057948118243,0.586983553896981,0.429029739329901,0.321887845215309,0.593146039898491,0.30925499642957,0.355381951706745,0.394639352065953,0.650632631710727
"d-C6diacid",0.352576687241609,0.185737294557292,0.200879811211137,0.719949942199818,0.385329826362868,0.460021631404234,1,0.453276518339143,0.437937247800257,0.198300583340063,0.241744382706725,0.263055606231882,0.484786418730457,0.33595751555376,0.337811726792481,0.278325949279099,0.378651656543668,0.431979044661576,0.377171150291023,0.303292930715403,0.14227405098137,0.0513351764569574,0.165140112576333,0.0181535639957945,0.466155770774019,0.732531472923047,0.32807382764806
"d-cholestane",0.76577368296364,0.868445903571828,0.852930316222982,0.38304000807511,0.592942101670887,0.845350716635368,0.453276518339143,1,0.889985887338435,0.816177903083613,0.303678638990638,0.528478850024029,0.632239993743105,0.741911667442555,0.807358050716488,0.87844011651765,0.835564547068908,0.837346483564538,0.681159819744042,0.559402315353131,0.482110178469025,0.408503542710097,0.783926668463903,0.34344483245625,0.554205959032053,0.468871399262991,0.784465157496265
"d-cholesterol",0.698394056726939,0.80031401858421,0.714311809855213,0.400436204328375,0.493067606633129,0.883081105930455,0.437937247800257,0.889985887338435,1,0.703740489941815,0.280615256271237,0.504496964900065,0.571720079775959,0.584025316410298,0.708060021071786,0.758131331350697,0.792770271457753,0.815130229121554,0.715356313363469,0.658306021978973,0.570892178867923,0.482554724910006,0.705523742294317,0.290804299990171,0.388584466096162,0.422611026588535,0.755711295108621
"d-pyrene",0.709778206898302,0.896061598225437,0.933132759320649,0.106384849718702,0.563158100637035,0.753677356478074,0.198300583340063,0.816177903083613,0.703740489941815,1,0.281137369796629,0.560048191651376,0.674678304849251,0.875566014412437,0.912207820978059,0.893269177886166,0.852019905172479,0.745295221136236,0.667883009063332,0.637280803220446,0.569737456939769,0.539177304646595,0.673462975913037,0.277927971916785,0.329776111468614,0.266430196705654,0.664185964158892
