Compound.Name,4-methoxy-benzaldehyde,chrysene-d,d-anthraquinone,"d-C10 acid, TMS","d-C15 alcohol, TMS","d-C22 acid, TMS",d-C6diacid,d-cholestane,d-cholesterol,d-pyrene,dC14,dC16,dC18,dC20,dC22,dC24,dC26,dC28,dC30,dC32,dC34,dC36,dibenzanthracene-d,glucose-13C6,methoxyphenol-d3,pentaerythritol-C13,perylene-d
4-methoxy-benzaldehyde,1,0.685341001,0.661331937,0.699964547,0.757794044,0.666447511,0.352576687,0.765773683,0.698394057,0.709778207,0.475051017,0.749413411,0.83108032,0.786088741,0.78221942,0.79682941,0.743206475,0.721298887,0.554392912,0.692010483,0.563771642,0.618640272,-0.101679744,0.307189951,0.615029017,0.595428338,0.52482586
chrysene-d,0.685341001,1,0.89699375,0.152171254,0.419153618,0.744588539,0.185737295,0.868445904,0.800314019,0.896061598,0.333298743,0.53227424,0.524562631,0.666830845,0.765393066,0.827462141,0.810637398,0.719666376,0.690754704,0.638353511,0.611087306,0.571541915,0.844440448,0.383144917,0.464043337,0.236032784,0.812619164
d-anthraquinone,0.661331937,0.89699375,1,0.118726224,0.484430318,0.743118095,0.200879811,0.852930316,0.71431181,0.933132759,0.30112532,0.494615314,0.574172271,0.771681863,0.840386737,0.874976432,0.837422285,0.766310052,0.633848523,0.542353488,0.51452206,0.498000844,0.74041835,0.444727771,0.532199378,0.309003059,0.619336564
"d-C10 acid, TMS",0.699964547,0.152171254,0.118726224,1,0.38946257,0.350183079,0.719949942,0.383040008,0.400436204,0.10638485,0.307736156,0.367845919,0.449738629,0.230703494,0.281856049,0.263256026,0.363915044,0.323359652,0.323401916,0.304892263,0.17129148,0.15596779,0.123954975,0.126131844,0.415025695,0.776438079,0.230083687
"d-C15 alcohol, TMS",0.757794044,0.419153618,0.484430318,0.38946257,1,0.495797102,0.385329826,0.592942102,0.493067607,0.563158101,0.180446377,0.480767643,0.682132878,0.703593977,0.6927379,0.667400579,0.579967096,0.525082212,0.402924658,0.413040887,0.287544239,0.260754588,0.214044009,0.035430578,0.009452993,0.520267856,0.397973524
"d-C22 acid, TMS",0.666447511,0.744588539,0.743118095,0.350183079,0.495797102,1,0.460021631,0.845350717,0.883081106,0.753677356,0.173654209,0.364224418,0.556044598,0.707013499,0.761621868,0.72713244,0.782346238,0.816707306,0.675057948,0.586983554,0.429029739,0.321887845,0.59314604,0.309254996,0.355381952,0.394639352,0.650632632
d-C6diacid,0.352576687,0.185737295,0.200879811,0.719949942,0.385329826,0.460021631,1,0.453276518,0.437937248,0.198300583,0.241744383,0.263055606,0.484786419,0.335957516,0.337811727,0.278325949,0.378651657,0.431979045,0.37717115,0.303292931,0.142274051,0.051335176,0.165140113,0.018153564,0.466155771,0.732531473,0.328073828
d-cholestane,0.765773683,0.868445904,0.852930316,0.383040008,0.592942102,0.845350717,0.453276518,1,0.889985887,0.816177903,0.303678639,0.52847885,0.632239994,0.741911667,0.807358051,0.878440117,0.835564547,0.837346484,0.68115982,0.559402315,0.482110178,0.408503543,0.783926668,0.343444832,0.554205959,0.468871399,0.784465157
d-cholesterol,0.698394057,0.800314019,0.71431181,0.400436204,0.493067607,0.883081106,0.437937248,0.889985887,1,0.70374049,0.280615256,0.504496965,0.57172008,0.584025316,0.708060021,0.758131331,0.792770271,0.815130229,0.715356313,0.658306022,0.570892179,0.482554725,0.705523742,0.2908043,0.388584466,0.422611027,0.755711295
d-pyrene,0.709778207,0.896061598,0.933132759,0.10638485,0.563158101,0.753677356,0.198300583,0.816177903,0.70374049,1,0.28113737,0.560048192,0.674678305,0.875566014,0.912207821,0.893269178,0.852019905,0.745295221,0.667883009,0.637280803,0.569737457,0.539177305,0.673462976,0.277927972,0.329776111,0.266430197,0.664185964
